,all,relation,bird,mammal,no-cat,yellow,animal,food,plant,object,fruit,vegetable,fish,vehicle,measure,mean,median
marigold,0.12051188486117631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836968425245357,0.1145327336022233,0.0,0.0,0.0,0.0,0.0,0.02124943073252902,0.0
lemonade,0.008263199723748048,0.008566534542291749,0.0,0.0,0.0,0.0,0.0,0.010103861657611977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017955730615767849,0.0
bus,0.010236286885393634,0.0,0.0,0.0,0.01182644434879287,0.0,0.0,0.0,0.0,0.010144613864849416,0.0,0.0,0.0,0.014210834343330186,0.0,0.0030945452961577405,0.0
pyramid,0.000616827336334596,0.0006739593833463104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60524479787271e-05,0.0
sun,0.0045167398526005185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004588805991674858,0.0,0.0,0.0,0.0,0.0,0.0006070363896183584,0.0
budgie,0.037171568028378385,0.0,0.04287719063152301,0.0,0.0,0.0,0.04032787062480054,0.0,0.0,0.037792449864763135,0.0,0.0,0.0,0.0,0.0,0.010544605276631005,0.0
buttercup,0.3281645318153266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26509022935450705,0.32573237323164206,0.0,0.0,0.0,0.0,0.0,0.06126580896009838,0.0
mustard,0.09829372352900255,0.0,0.0,0.0,0.0,0.0,0.0,0.1177068857543173,0.10394040146311424,0.09632162286711496,0.0,0.13250828516715815,0.0,0.0,0.0,0.03658472791871382,0.0
plum,0.014800687067465854,0.0,0.0,0.0,0.0,0.0,0.0,0.01754548647550956,0.015463743047248011,0.014714471450615618,0.014894334403758322,0.0,0.0,0.0,0.0,0.005161248162973158,0.0
lemon,0.01947714627097001,0.0,0.0,0.0,0.0,0.0,0.0,0.02398044650899547,0.02174592782710201,0.019505744633494998,0.02187704353627189,0.0,0.0,0.0,0.0,0.007105753918455625,0.0
banana,0.024997676882877615,0.0,0.0,0.0,0.0,0.0,0.0,0.02645572744068936,0.024187597989026557,0.024658834917009827,0.025351796651495697,0.0,0.0,0.0,0.0,0.008376775592073272,0.0
giraffe,0.009849888431062348,0.0,0.0,0.010267433237123796,0.0,0.0,0.00907156408090973,0.0,0.0,0.009616121633207932,0.0,0.0,0.0,0.0,0.0,0.002587000492153587,0.0
hornet,0.0025449355957810156,0.0,0.0,0.0,0.0,0.0,0.00292314528964336,0.0,0.0,0.0025137574938582366,0.0,0.0,0.0,0.0,0.0,0.0005321225586188409,0.0
champagne,0.0025078064426406724,0.0023539886858586325,0.0,0.0,0.0,0.0,0.0,0.0027746648087514534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005090973291500506,0.0
cheese,0.0035708337077018436,0.0,0.0,0.0,0.0,0.0,0.0,0.0044732129615970015,0.003921132627480606,0.0035098199424588765,0.0,0.0,0.0,0.0,0.0,0.0010316666159492218,0.0
goldfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.001847557104677754,0.0,0.0,0.0,0.0,0.0,0.0,0.0019489755937535512,0.0017395712477078482,0.0018511564123245329,0.002109274884059473,0.0,0.0,0.0,0.0,0.000633102349501544,0.0
sandpaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.031995618865565574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029392493406015633,0.031509039269130894,0.0,0.0,0.0,0.0,0.038585328151102556,0.008765498646120976,0.0
nectarine,0.009467216926024532,0.0,0.0,0.0,0.0,0.0,0.0,0.011911770982436266,0.011224862436282484,0.009356452345693657,0.012271310852648987,0.0,0.0,0.0,0.0,0.0036154409028723946,0.0
sunbeam,0.006031430688982545,0.0,0.0,0.0,0.0,0.009679124486622158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010473703450403135,0.0
pineapple,0.00699034137826783,0.0,0.0,0.0,0.0,0.0,0.0,0.00831038603685341,0.0074069079871261195,0.006946333495639013,0.007737260946928369,0.0,0.0,0.0,0.0,0.0024927486563209827,0.0
corncob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paint,0.040414239553429716,0.03900365427032888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000108379480673,0.0,0.0,0.0,0.0,0.0,0.007961265174571023,0.0
yolk,0.02562817913935778,0.0,0.0,0.0,0.0,0.0,0.0,0.030112704420497242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003716058903990335,0.0
pansy,0.006473197423989108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052680528111757104,0.005766397857747865,0.0,0.0,0.0,0.0,0.0,0.0011671765395275123,0.0
daffodil,0.17194503840780642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1674670673948375,0.1704092603938277,0.0,0.0,0.0,0.0,0.0,0.033988091079764776,0.0
orchid,0.014704649072616668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010633667014679831,0.014440030993651138,0.0,0.0,0.0,0.0,0.0,0.002651889805396509,0.0
bee,0.004402012921768411,0.0,0.0,0.0,0.0,0.0,0.005352383524361221,0.0,0.0,0.004292809506961131,0.0,0.0,0.0,0.0,0.0,0.0009364803968727175,0.0
cider,0.0008172508484906208,0.0007874626219860558,0.0,0.0,0.0,0.0,0.0,0.0010306252436695874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017568924760975093,0.0
beer,0.0019790659426510235,0.0018005215038340817,0.0,0.0,0.0,0.0,0.0,0.0021788251056465407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039722750347544303,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,0.006263023903454368,0.0,0.0,0.0,0.0,0.0,0.0,0.008105438110478765,0.0,0.006168204731353696,0.0,0.0,0.0,0.0,0.0,0.0013691111163524551,0.0
taxi,0.016572787669655482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01649739530775969,0.0,0.0,0.0,0.023677662924978332,0.0,0.0037831897268262335,0.0
peach,0.04268312616958773,0.0,0.0,0.0,0.04476943393695868,0.0,0.0,0.050221229789286136,0.044851940694052954,0.04210817652458304,0.049689514885365736,0.0,0.0,0.0,0.0,0.018288228133322284,0.0
grapefruit,0.006179688351699935,0.0,0.0,0.0,0.0,0.0,0.0,0.007298113253112022,0.006501620125279748,0.006194123353478143,0.006852403178599433,0.0,0.0,0.0,0.0,0.0022017298841446186,0.0
sunflower,0.03234685963831164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03772538844768941,0.03171996118687312,0.0,0.0,0.0,0.0,0.0,0.006786147284858278,0.0
daisy,0.021803619847844274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017209360158630338,0.021135680195109755,0.0,0.0,0.0,0.0,0.0,0.004009910680105625,0.0
lion,0.002681905457524751,0.0,0.0,0.0030453983372164045,0.0,0.0,0.0029256311851787145,0.0,0.0,0.0026312258496594965,0.0,0.0,0.0,0.0,0.0,0.0007522773886386244,0.0
locust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dandelion,0.041994772292426534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04135481907207196,0.04268169528751725,0.0,0.0,0.0,0.0,0.0,0.008402085776801049,0.0
corn,0.011850435249500127,0.011524940920197988,0.0,0.0,0.0,0.0,0.0,0.01436681145927712,0.012618433768677694,0.0116851925303795,0.012994393390766173,0.0,0.0,0.0,0.0,0.0050026804879199065,0.0
wasp,0.010624472326685522,0.0,0.0,0.0,0.0,0.0,0.00852735284676774,0.0,0.0,0.008417461372065414,0.0,0.0,0.0,0.0,0.0,0.0018379524363679118,0.0
herb,0.0007562464545634467,0.0,0.0,0.0,0.0,0.0,0.0,0.0007243165190789618,0.0006864578936967962,0.0007726933577231524,0.0,0.0,0.0,0.0,0.0,0.00019598094833749044,0.0
cream,0.0038643940112107113,0.0,0.0,0.0,0.0,0.0,0.0,0.004710389192822741,0.0,0.0037401446543527065,0.0,0.0,0.0,0.0,0.0,0.0008209951905590772,0.0
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.002975552552099185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030137450330804004,0.0,0.0,0.0,0.0,0.0,0.00039928650567863904,0.0
spinach,0.002919029390226142,0.0,0.0,0.0,0.0,0.0,0.0,0.003542049656550005,0.00307705199277961,0.002957040257168677,0.0,0.0043292318626783404,0.0,0.0,0.0,0.0011216268772935183,0.0
fox,0.0003228096594853759,0.0004263027352672608,0.0,0.0005098511897216833,0.0,0.0,0.00040435016000486644,0.0,0.0,0.000338491733930078,0.0,0.0,0.0,0.0,0.0,0.00013345369856061765,0.0
seaweed,0.0025351013766666064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002585808175894778,0.0,0.0,0.0,0.0,0.0,0.00034139397017075894,0.0
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0013445810004776857,0.0,0.0,0.0,0.0,0.0,0.0014113666105376073,0.0014439285614052323,0.0,0.0013404163000252226,0.0,0.0,0.0022440768666742938,0.0,0.0,0.0005189579559413362,0.0
lagoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skunk,0.0029621354606959548,0.0,0.0,0.004525123761824194,0.0,0.0,0.003919766041914796,0.0,0.0,0.0030922063050791014,0.0,0.0,0.0,0.0,0.0,0.000966615437967603,0.0
syrup,0.0009130449957196231,0.0,0.0,0.0,0.0,0.0,0.0,0.0011065403129489157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013463902057790256,0.0
