property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,0.06368317634605278,0.051992387029718916,,0.051992387029718916,,,,0.051992387029718916,0.003045683100389079,,0.06368317634605278
warm,0.05748541809408652,0.03521231520770341,0.008469550886285237,0.03521231520770341,0.008469550886285237,0.00503170315799463,0.006482138285163388,0.03521231520770341,0.026318083638174235,,0.05748541809408652
black,0.03848506185814939,0.01408246701801092,0.01408246701801092,0.010720215759078833,0.01408246701801092,0.0016896473997767194,,0.010720215759078833,0.004244361811519696,,0.03848506185814939
red,0.04871612942599797,0.04871612942599797,0.02435050191895927,0.04871612942599797,0.02435050191895927,,,0.04871612942599797,0.009382962604661616,,0.03021022293278494
fly,0.031914009290790274,0.00836934617895676,0.00836934617895676,0.007813411643699614,0.00836934617895676,0.007052838560272994,0.0019550099341002587,0.007813411643699614,0.006895703280166544,0.001688197006281865,0.031914009290790274
dangerous,0.028793353899306078,0.01719041786984634,0.009486367692744621,0.01719041786984634,0.0027828653769941805,0.007419976207626865,0.009486367692744621,0.01719041786984634,0.011844866784449948,0.003807951870452628,0.028793353899306078
wings,0.016150764959401105,0.014281564610476688,0.008357478389277277,0.014281564610476688,0.006738609460297148,0.008357478389277277,,0.010558577601039603,0.014281564610476688,0.0042516578869973036,0.016150764959401105
sweet,0.02710360690299016,0.02710360690299016,0.01658283341679171,0.02710360690299016,0.01658283341679171,,,0.02710360690299016,,,0.0047369609019677385
hot,0.03491907362518602,0.03491907362518602,0.025775012323188677,0.03491907362518602,0.025775012323188677,,0.01245641576512791,0.03491907362518602,0.012582013699716555,,0.013790409546875625
used_in_cooking,0.06099205208629416,0.06099205208629416,0.021565273361584415,0.06099205208629416,0.021565273361584415,0.017200782238549487,0.0027638415420680107,0.06099205208629416,0.02767928641632543,,0.02060135440868248
juicy,0.061625192828853655,0.061625192828853655,0.061625192828853655,0.03699482236360885,0.061625192828853655,,,0.03699482236360885,0.016294451876074315,,0.04201685657501415
green,0.034244395368201286,0.034244395368201286,0.015086182021258226,0.034244395368201286,0.015086182021258226,,,0.034244395368201286,0.013251799789668423,,0.018204995217128504
made_of_wood,0.02440418854820478,0.02440418854820478,0.02440418854820478,0.012525415800573474,0.02440418854820478,,,0.012018962164060093,0.012525415800573474,,0.011798209217005471
blue,0.036285749030597385,0.013374120882961043,0.012730420274201014,0.013374120882961043,0.012730420274201014,,,0.013374120882961043,0.009206330746952545,,0.036285749030597385
yellow,0.015023713985480646,0.015023713985480646,0.015023713985480646,0.011034019586559779,0.015023713985480646,,,0.011034019586559779,,,0.008442805141654882
roll,0.03925937434362476,0.018665225320476816,0.015596440592229165,0.018665225320476816,0.004831228593048117,0.015596440592229165,,0.01568184451635366,0.018665225320476816,,0.03925937434362476
female,0.04280493903054834,0.04280493903054834,0.007823631570527224,0.04280493903054834,,0.007823631570527224,,0.04280493903054834,,0.01105590623665233,0.020446307370096756
cold,0.05727409177583049,0.026358451280874343,0.011294172869061809,0.026358451280874343,0.011294172869061809,,0.008718396696906766,0.026358451280874343,0.012562316177316223,,0.05727409177583049
round,0.036178478198663294,0.02607266292141146,0.008290861003170528,0.02607266292141146,0.0012046539175362629,0.008290861003170528,,0.02607266292141146,0.006513892613434065,,0.036178478198663294
wheels,0.05778857131161194,0.05778857131161194,0.021200395016926974,0.05778857131161194,0.021200395016926974,0.008204148319929827,,0.02790284532193622,0.05778857131161194,,0.02877252584429801
lay_eggs,0.0164372744083787,0.0164372744083787,0.013304896964905565,0.0164372744083787,0.013304896964905565,,,0.0164372744083787,0.013479119036575749,,0.0150395652952349
swim,0.0318138478060505,0.0318138478060505,0.0034650936165789127,0.0318138478060505,0.0034650936165789127,,,0.0318138478060505,0.02013705544803704,,0.029154621361453116
median,0.03623211361463034,0.02673102909193225,0.01408246701801092,0.02673102909193225,0.013693681991458243,0.008013889945228525,0.007600267491035077,0.02673102909193225,0.012582013699716555,0.004029804878724966,0.028973987630379595
