relation,p,n_pairs
pos,0.008330541565331792,1598
neg,0.0019004420024786141,1077
all,0.009927805994104236,886
some,0.007469515288358806,712
few,0.0019004420024786141,1077
evidence,0.009847136662566196,956
no_evidence_pos,0.0048950414287559285,312
no_evidence_neg,0.0017081834789092409,982
implied_category,0.004688745905936367,85
typical_of_concept,0.020244242301112426,91
typical_of_property,0.014871117003683803,184
affording_activity,0.01153581063403167,120
afforded_usual,0.0032389251907546067,31
afforded_unusual,0.0012907914083846864,41
variability_limited,0.008636737172862598,443
variability_open,0.005619939446946085,156
variability_open_scalar,0.007469515288358806,165
rare,0.004001005232867793,98
unusual,0.001835691137968492,278
impossible,0.0010885873516292826,409
creative,0.002968178878590383,68
