relation,prop-specific,n_pairs
pos,0.012181564582944494,1598
neg,0.0029373601275221187,1077
all,0.01717866415030113,886
some,0.008764616443576468,712
few,0.0029373601275221187,1077
evidence,0.01445142440929656,956
no_evidence_pos,0.007673223989901064,312
no_evidence_neg,0.0026887429510529626,982
implied_category,0.008239578246202778,85
typical_of_concept,0.028568083319062222,91
typical_of_property,0.027514724123748786,184
affording_activity,0.017184575163595884,120
afforded_usual,0.0032389251907546067,31
afforded_unusual,0.0016785985091851293,41
variability_limited,0.009366651916047516,443
variability_open,0.006966702373350897,156
variability_open_scalar,0.011021361216014141,165
rare,0.00515787696692588,98
unusual,0.003374386416564408,278
impossible,0.0019703932846670464,409
creative,0.004196758080794316,68
