relation,p,n_pairs
pos,,1598
neg,0.00046799861464497957,1077
all,,886
some,0.021832584055746826,712
few,0.01177531674386303,1077
evidence,0.11605201934008419,956
no_evidence_pos,,312
no_evidence_neg,0.01928271938961914,982
implied_category,0.0006557515309615158,14
typical_of_concept,0.031142443913161125,3
affording_activity,0.010251837720869662,4
afforded_usual,0.07208410642999782,2
afforded_unusual,0.001365445870006093,19
variability_limited,,104
variability_open,,76
variability_open_scalar,0.0060113087183591655,95
rare,0.003754909732899757,18
unusual,0.0017306879554774715,75
impossible,0.004472387753494258,265
creative,0.0014878191742193415,21
