relation,non-specific,n_pairs
pos,0.0857444941175293,1598
neg,0.02286402133397156,1077
all,0.09622810381547191,886
some,0.07639460807868612,712
few,0.02286402133397156,1077
evidence,0.08951699964731094,956
no_evidence_pos,0.07754564734383543,312
no_evidence_neg,0.022156679807247757,982
implied_category,0.10052582348431911,14
typical_of_concept,0.1365688493290144,3
affording_activity,0.054591090416650404,4
afforded_usual,0.13464496681378219,2
afforded_unusual,0.0268792667151834,19
variability_limited,0.07802280444094349,104
variability_open,0.0571749240403461,76
variability_open_scalar,0.08022911604148765,95
rare,0.03668097453901817,18
unusual,0.03139207074389961,75
impossible,0.018867340868273342,265
creative,0.02177907415018536,21
