,context,n_concepts,mean_tfidf,mean_diff,evidence
0,entirely,30,0.0,0.0,-
1,apart,29,0.0,0.0,-
2,suitable,27,0.0,0.0,-
3,supposed,27,0.0,0.0,-
4,seen,27,0.01,0.0,-
5,offers,26,0.0,0.0,-
6,likewise,26,0.0,0.0,-
7,numbers,26,0.0,0.0,-
8,goes,26,0.01,0.0,-
9,entire,26,0.0,0.0,-
10,take,26,0.01,0.0,-
11,nights,26,0.01,0.01,-
12,giving,26,0.0,0.0,-
13,low,26,0.01,0.01,-
14,by,25,0.02,0.01,-
15,actually,25,0.0,0.0,-
16,confined,25,0.0,0.0,-
17,setting,25,0.0,0.0,-
18,guests,25,0.0,0.0,-
19,return,25,0.0,0.0,-
20,blue,25,0.05,0.04,-
