,context,n_concepts,mean_tfidf,mean_diff,evidence
0,rainbow,10,0.02,0.02,-
1,grey,10,0.03,0.02,-
2,extinction,9,0.01,0.0,-
3,relatives,9,0.01,0.0,-
4,heron,9,0.01,0.01,-
5,family,9,0.03,0.02,-
6,lived,9,0.01,0.0,-
7,hanging,9,0.02,0.01,-
8,parrot,9,0.13,0.13,-
9,suggests,9,0.0,0.0,-
10,apart,9,0.0,0.0,-
11,numbers,9,0.0,0.0,-
12,surviving,9,0.0,0.0,-
13,prefers,9,0.0,0.0,-
14,confined,9,0.0,0.0,-
15,bird,9,0.05,0.04,-
16,pacific,9,0.03,0.02,-
17,zealand,9,0.01,0.01,-
18,thirty,9,0.0,0.0,-
19,species,9,0.09,0.07,-
20,blue,9,0.04,0.04,-
