,context,n_concepts,mean_tfidf,mean_diff
0,he,113,0.05,0.03
1,himself,106,0.02,0.01
2,major,101,0.01,0.01
3,leader,93,0.01,0.01
4,joseph,92,0.01,0.01
5,paul,92,0.01,0.01
6,fellow,91,0.01,0.01
7,active,90,0.01,0.01
8,decades,90,0.0,0.0
9,mid,89,0.01,0.0
10,bill,88,0.01,0.01
11,military,88,0.01,0.01
12,recognition,87,0.0,0.0
13,anthony,87,0.01,0.01
14,peter,87,0.02,0.01
15,army,87,0.01,0.01
16,field,87,0.01,0.01
17,mark,87,0.01,0.01
18,began,86,0.01,0.0
19,opposed,86,0.0,0.0
20,female,21,0.02,0.01
