,context,n_concepts,mean_tfidf,mean_diff,evidence
0,she,98,0.07,0.05,-
1,herself,88,0.02,0.02,-
2,woman,85,0.03,0.02,-
3,beautiful,84,0.02,0.02,-
4,her,84,0.08,0.05,-
5,lady,81,0.04,0.04,-
6,mistress,71,0.04,0.03,-
7,mary,71,0.04,0.03,-
8,women,70,0.02,0.01,-
9,alice,70,0.02,0.02,-
10,sister,70,0.04,0.03,-
11,marie,69,0.03,0.03,-
12,princess,67,0.04,0.03,-
13,actress,66,0.05,0.04,-
14,queen,66,0.04,0.03,-
15,girl,65,0.03,0.02,-
16,mrs,65,0.04,0.04,-
17,love,65,0.03,0.02,-
18,anna,65,0.03,0.02,-
19,sarah,65,0.02,0.02,-
20,female,58,0.02,0.01,-
