,context,n_concepts,mean_tfidf,mean_diff,evidence
0,flight,6,0.0,0.0,-
1,vicinity,6,0.0,0.0,-
2,20th,6,0.0,0.0,-
3,fishing,5,0.01,0.0,-
4,effect,5,0.0,0.0,-
5,sequence,5,0.0,0.0,-
6,partially,5,0.0,0.0,-
7,attracts,5,0.0,0.0,-
8,habitat,5,0.01,0.01,-
9,winter,5,0.01,0.0,-
10,lake,5,0.01,0.01,-
11,amongst,5,0.0,0.0,-
12,eagle,5,0.01,0.0,-
13,snow,5,0.01,0.0,-
14,million,5,0.0,0.0,-
15,grouse,5,0.08,0.08,-
16,permitted,5,0.0,0.0,-
17,protagonist,5,0.0,0.0,-
18,affected,5,0.0,0.0,-
19,cuckoo,5,0.01,0.01,-
20,fly,5,0.01,0.0,-
21,flew,4,0.02,0.02,-
22,flies,4,0.0,0.0,-
23,flown,3,0.01,0.01,-
24,flying,2,0.03,0.02,-
