,context,n_concepts,mean_tfidf,mean_diff,evidence
0,leaf,35,0.02,0.02,-
1,leaves,34,0.03,0.03,-
2,plants,34,0.02,0.02,-
3,garden,33,0.02,0.01,-
4,grow,32,0.01,0.01,-
5,fruits,32,0.04,0.04,-
6,planted,32,0.02,0.02,-
7,planting,31,0.01,0.01,-
8,citrus,31,0.04,0.04,-
9,cultivars,31,0.02,0.02,-
10,green,31,0.02,0.02,-
11,grown,31,0.02,0.02,-
12,trees,30,0.08,0.07,-
13,flowers,30,0.01,0.01,-
14,growing,30,0.02,0.02,-
15,berries,30,0.01,0.01,-
16,bamboo,30,0.01,0.01,-
17,gardens,30,0.01,0.01,-
18,pest,29,0.01,0.01,-
19,tree,29,0.07,0.06,-
20,green,31,0.02,0.02,-
