,context,n_concepts,mean_tfidf,mean_diff,evidence
0,baked,28,0.06,0.05,-
1,beef,27,0.07,0.06,-
2,beans,27,0.03,0.03,-
3,prepared,27,0.02,0.02,-
4,fried,27,0.07,0.06,-
5,potato,27,0.03,0.03,-
6,cooked,27,0.06,0.05,-
7,dish,26,0.11,0.1,-
8,recipe,26,0.03,0.02,-
9,cook,26,0.01,0.01,-
10,recipes,26,0.03,0.02,-
11,rice,26,0.05,0.05,-
12,bread,25,0.07,0.06,-
13,steamed,25,0.02,0.01,-
14,pork,25,0.06,0.06,-
15,snack,25,0.02,0.02,-
16,variety,25,0.01,0.01,-
17,cuisine,25,0.04,0.03,-
18,ingredients,24,0.05,0.04,-
19,mixture,24,0.02,0.02,-
20,hot,22,0.03,0.02,-
