,context,n_concepts,mean_tfidf,mean_diff,evidence
0,tears,5,0.03,0.02,-
1,relatives,5,0.0,0.0,-
2,lizard,5,0.03,0.02,-
3,sandy,5,0.0,0.0,-
4,colonies,5,0.0,0.0,-
5,mortality,5,0.0,0.0,-
6,frequently,5,0.0,0.0,-
7,nest,5,0.01,0.01,-
8,coast,5,0.01,0.0,-
9,green,5,0.02,0.01,-
10,rare,5,0.01,0.0,-
11,olive,5,0.02,0.02,-
12,means,5,0.0,0.0,-
13,endangered,5,0.05,0.04,-
14,iucn,5,0.01,0.0,-
15,snake,5,0.04,0.04,-
16,turtle,5,0.34,0.34,-
17,reptiles,5,0.02,0.02,-
18,snakes,5,0.02,0.02,-
19,largest,5,0.01,0.01,-
20,eggs,4,0.03,0.03,-
21,egg,3,0.01,0.01,-
