,context,n_concepts,mean_tfidf,mean_diff,evidence
0,red,10,0.02,0.01,-
1,rare,10,0.0,0.0,-
2,bird,10,0.01,0.0,-
3,sweet,10,0.0,0.0,-
4,whereas,10,0.0,0.0,-
5,businesses,10,0.0,0.0,-
6,principally,10,0.0,0.0,-
7,village,10,0.01,0.01,-
8,green,10,0.01,0.01,-
9,collections,10,0.0,0.0,-
10,family,10,0.01,0.0,-
11,pioneers,9,0.0,0.0,-
12,notably,9,0.0,0.0,-
13,comprises,9,0.0,0.0,-
14,contrast,9,0.0,0.0,-
15,gray,9,0.0,0.0,-
16,representing,9,0.0,0.0,-
17,poles,9,0.02,0.02,-
18,bank,9,0.0,0.0,-
19,enters,9,0.0,0.0,-
20,wood,8,0.05,0.04,-
21,wooden,5,0.04,0.03,-
