,context,n_concepts,mean_tfidf,mean_diff,evidence
0,planted,6,0.01,0.01,-
1,combination,5,0.01,0.01,-
2,jones,5,0.03,0.02,-
3,lands,5,0.01,0.01,-
4,resembling,5,0.01,0.0,-
5,pot,5,0.01,0.01,-
6,include,5,0.01,0.0,-
7,called,5,0.01,0.0,-
8,tool,5,0.01,0.01,-
9,old,5,0.01,0.01,-
10,just,5,0.01,0.01,-
11,red,5,0.01,0.0,-
12,begins,5,0.01,0.01,-
13,rare,5,0.01,0.01,-
14,nicknamed,5,0.01,0.01,-
15,spike,5,0.01,0.01,-
16,possibly,5,0.01,0.01,-
17,encounter,5,0.01,0.01,-
18,used,5,0.02,0.01,-
19,jerry,5,0.02,0.02,-
20,wooden,4,0.03,0.03,-
21,wood,2,0.02,0.01,-
