,context,n_concepts,mean_tfidf,mean_diff,evidence
0,included,45,0.01,0.0,-
1,since,40,0.0,0.0,-
2,then,40,0.01,0.0,-
3,three,39,0.01,0.01,-
4,multi,39,0.01,0.0,-
5,notable,39,0.0,0.0,-
6,home,39,0.01,0.0,-
7,initially,39,0.0,0.0,-
8,its,38,0.01,0.0,-
9,soon,38,0.0,0.0,-
10,american,38,0.01,0.01,-
11,five,38,0.01,0.0,-
12,takes,38,0.01,0.0,-
13,local,38,0.01,0.01,-
14,cross,38,0.01,0.0,-
15,on,37,0.02,0.01,-
16,quickly,37,0.0,0.0,-
17,red,37,0.03,0.02,-
18,1970,37,0.0,0.0,-
19,plus,37,0.0,0.0,-
20,red,37,0.03,0.02,-
