,context,n_concepts,mean_tfidf,mean_diff,evidence
0,included,23,0.0,0.0,-
1,commonly,22,0.01,0.01,-
2,sour,21,0.03,0.02,-
3,varieties,21,0.04,0.04,-
4,red,21,0.03,0.02,-
5,popular,21,0.01,0.01,-
6,traditional,21,0.01,0.01,-
7,since,21,0.0,0.0,-
8,signature,21,0.0,0.0,-
9,versions,21,0.01,0.0,-
10,columbia,20,0.0,0.0,-
11,based,20,0.01,0.01,-
12,quickly,20,0.0,0.0,-
13,cider,20,0.01,0.01,-
14,name,20,0.01,0.0,-
15,roses,20,0.01,0.0,-
16,grape,20,0.08,0.07,-
17,notable,19,0.0,0.0,-
18,paired,19,0.0,0.0,-
19,loaded,19,0.0,0.0,-
20,red,21,0.03,0.02,-
