,context,n_concepts,mean_tfidf,mean_diff,evidence
0,grape,14,0.06,0.05,-
1,blackberry,13,0.06,0.05,-
2,cherry,13,0.07,0.06,-
3,strawberry,12,0.07,0.05,-
4,raspberry,12,0.06,0.05,-
5,flavors,12,0.04,0.03,-
6,berry,12,0.04,0.04,-
7,fruit,12,0.06,0.05,-
8,apple,12,0.07,0.06,-
9,watermelon,12,0.04,0.04,-
10,blossom,12,0.06,0.06,-
11,cultivar,12,0.03,0.02,-
12,apricot,11,0.04,0.04,-
13,wines,11,0.03,0.03,-
14,includes,11,0.0,0.0,-
15,cultivars,11,0.02,0.01,-
16,pear,11,0.05,0.04,-
17,plum,11,0.05,0.05,-
18,kiwi,11,0.01,0.01,-
19,peach,11,0.07,0.06,-
20,red,10,0.03,0.02,-
