,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fruit,18,0.09,0.09,-
1,species,18,0.02,0.01,-
2,fruits,18,0.03,0.03,-
3,pineapple,17,0.04,0.04,-
4,grown,17,0.01,0.01,-
5,crops,17,0.03,0.03,-
6,seeds,16,0.03,0.02,-
7,grew,16,0.01,0.01,-
8,watermelon,16,0.09,0.09,-
9,banana,16,0.06,0.05,-
10,grape,16,0.03,0.03,-
11,mango,16,0.05,0.05,-
12,pine,15,0.01,0.01,-
13,native,15,0.01,0.01,-
14,plantations,15,0.04,0.04,-
15,harvest,15,0.01,0.01,-
16,agricultural,15,0.01,0.01,-
17,agriculture,15,0.01,0.01,-
18,crop,15,0.03,0.02,-
19,cotton,15,0.01,0.01,-
20,round,12,0.01,0.0,-
