,context,n_concepts,mean_tfidf,mean_diff,evidence
0,berry,53,0.03,0.02,-
1,raspberry,53,0.03,0.03,-
2,grape,51,0.05,0.04,-
3,entitled,50,0.0,0.0,-
4,sweet,49,0.03,0.02,-
5,honey,49,0.02,0.02,-
6,peach,49,0.04,0.04,-
7,plum,47,0.04,0.04,-
8,fruits,47,0.04,0.03,-
9,jam,47,0.02,0.02,-
10,covered,47,0.01,0.0,-
11,home,47,0.01,0.0,-
12,strawberry,46,0.04,0.03,-
13,flavours,46,0.01,0.01,-
14,flavors,46,0.03,0.02,-
15,fruit,46,0.07,0.06,-
16,cherry,46,0.05,0.04,-
17,apple,46,0.06,0.05,-
18,best,46,0.01,0.01,-
19,similar,46,0.01,0.0,-
20,sweet,49,0.03,0.02,-
