,context,n_concepts,mean_tfidf,mean_diff,evidence
0,berry,44,0.03,0.02,-
1,grape,41,0.04,0.03,-
2,raspberry,40,0.04,0.04,-
3,peach,38,0.05,0.05,-
4,fruits,38,0.04,0.03,-
5,plum,37,0.05,0.05,-
6,apple,37,0.04,0.04,-
7,cherry,36,0.05,0.05,-
8,entitled,36,0.0,0.0,-
9,respectively,36,0.0,0.0,-
10,pomegranate,35,0.03,0.02,-
11,year,35,0.01,0.01,-
12,strawberry,35,0.04,0.04,-
13,sweet,35,0.02,0.02,-
14,honey,35,0.02,0.02,-
15,fruit,35,0.08,0.06,-
16,flavours,34,0.01,0.01,-
17,30,34,0.0,0.0,-
18,recent,34,0.0,0.0,-
19,full,34,0.01,0.01,-
20,sweet,35,0.02,0.02,-
