,context,n_concepts,mean_tfidf,mean_diff,evidence
0,sweet,34,0.04,0.04,-
1,dish,33,0.03,0.03,-
2,potato,32,0.07,0.07,-
3,eaten,32,0.02,0.02,-
4,plant,32,0.02,0.02,-
5,crops,31,0.05,0.05,-
6,seeds,31,0.02,0.02,-
7,food,30,0.01,0.01,-
8,fruit,30,0.05,0.05,-
9,commonly,30,0.01,0.0,-
10,rice,30,0.04,0.04,-
11,meat,30,0.02,0.02,-
12,bean,30,0.05,0.04,-
13,green,30,0.01,0.01,-
14,leaves,30,0.02,0.01,-
15,such,29,0.01,0.01,-
16,mixture,29,0.01,0.01,-
17,grown,29,0.02,0.02,-
18,chicken,29,0.02,0.02,-
19,wild,29,0.03,0.03,-
20,cooking,27,0.01,0.01,-
21,cooked,16,0.05,0.05,-
22,cook,16,0.01,0.0,-
