,context,n_concepts,mean_tfidf,mean_diff,evidence
0,number,27,0.01,0.0,-
1,name,27,0.01,0.01,-
2,only,26,0.01,0.0,-
3,so,26,0.01,0.0,-
4,ep,26,0.01,0.0,-
5,whereas,26,0.0,0.0,-
6,by,25,0.02,0.01,-
7,nicknamed,25,0.01,0.01,-
8,like,25,0.01,0.01,-
9,became,24,0.01,0.0,-
10,noted,24,0.0,0.0,-
11,also,24,0.01,0.0,-
12,popular,24,0.01,0.0,-
13,compared,24,0.0,0.0,-
14,feature,24,0.01,0.0,-
15,may,24,0.01,0.0,-
16,except,24,0.0,0.0,-
17,called,24,0.01,0.01,-
18,and,24,0.04,0.01,-
19,variant,23,0.0,0.0,-
20,yellow,21,0.03,0.03,-
