,context,n_concepts,mean_tfidf,mean_diff,evidence
0,mixture,14,0.01,0.0,-
1,producer,14,0.01,0.0,-
2,expanded,14,0.0,0.0,-
3,18th,14,0.0,0.0,-
4,whereas,14,0.0,0.0,-
5,honey,14,0.02,0.01,-
6,made,13,0.01,0.01,-
7,apples,13,0.03,0.03,-
8,production,13,0.02,0.01,-
9,1970s,13,0.0,0.0,-
10,variant,13,0.0,0.0,-
11,became,13,0.01,0.0,-
12,produced,13,0.01,0.01,-
13,breakfast,13,0.01,0.01,-
14,sold,13,0.01,0.01,-
15,homemade,13,0.01,0.01,-
16,flavour,13,0.01,0.01,-
17,make,13,0.01,0.01,-
18,and,13,0.04,0.01,-
19,flavor,13,0.02,0.02,-
20,yellow,9,0.02,0.02,-
