context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
populations,28,0.01,0.01,0.0,0.05
population,27,0.0,0.0,0.0,0.01
birds,27,0.01,0.01,0.0,0.08
extinct,26,0.02,0.02,0.0,0.09
adult,26,0.01,0.0,0.0,0.03
predator,26,0.01,0.01,0.0,0.02
inhabited,26,0.0,0.0,0.0,0.01
aggressive,26,0.0,0.0,0.0,0.01
kills,26,0.01,0.0,0.0,0.01
tail,26,0.01,0.01,0.0,0.03
sized,25,0.01,0.01,0.0,0.04
prey,25,0.02,0.02,0.0,0.17
flight,25,0.01,0.01,0.0,0.03
attempts,25,0.0,0.0,0.0,0.01
living,25,0.0,0.0,0.0,0.01
animal,25,0.02,0.01,0.0,0.09
animals,25,0.01,0.01,0.0,0.03
appears,25,0.01,0.0,0.0,0.02
legs,25,0.01,0.01,0.0,0.05
declining,24,0.0,0.0,0.0,0.01
tiny,24,0.01,0.0,0.0,0.05
extinction,24,0.0,0.0,0.0,0.02
escapes,24,0.0,0.0,0.0,0.02
unknown,24,0.0,0.0,0.0,0.01
sharp,24,0.0,0.0,0.0,0.01
separate,24,0.0,0.0,0.0,0.0
sent,24,0.0,0.0,0.0,0.01
transformed,24,0.0,0.0,0.0,0.01
spotted,24,0.03,0.03,0.0,0.21
same,24,0.01,0.0,0.0,0.02
live,24,0.01,0.0,0.0,0.04
sex,24,0.01,0.0,0.0,0.06
finds,24,0.01,0.0,0.0,0.01
voiced,24,0.01,0.01,0.0,0.02
black,24,0.04,0.03,0.01,0.17
mammals,24,0.01,0.01,0.0,0.05
call,24,0.0,0.0,0.0,0.01
anthropomorphic,24,0.01,0.01,0.0,0.07
perhaps,24,0.0,0.0,0.0,0.01
longest,24,0.0,0.0,0.0,0.02
breed,24,0.03,0.03,0.0,0.27
have,23,0.01,0.0,0.0,0.02
predators,23,0.01,0.01,0.0,0.06
foot,23,0.0,0.0,0.0,0.02
breeding,23,0.01,0.01,0.0,0.08
mortality,23,0.0,0.0,0.0,0.02
inhabit,23,0.0,0.0,0.0,0.02
initial,23,0.0,0.0,0.0,0.0
fauna,23,0.01,0.01,0.0,0.07
tries,23,0.01,0.01,0.0,0.11
might,23,0.0,0.0,0.0,0.01
kill,23,0.01,0.01,0.0,0.01
who,23,0.01,0.01,0.0,0.04
similarity,23,0.0,0.0,0.0,0.03
male,23,0.01,0.01,0.0,0.05
saved,23,0.0,0.0,0.0,0.01
killing,23,0.01,0.0,0.0,0.01
lived,23,0.01,0.0,0.0,0.05
character,23,0.01,0.01,0.0,0.04
pig,23,0.03,0.03,0.0,0.38
wolf,23,0.02,0.01,0.0,0.06
humans,23,0.01,0.0,0.0,0.03
long,23,0.02,0.01,0.01,0.07
smallest,23,0.01,0.0,0.0,0.01
travels,23,0.0,0.0,0.0,0.01
reference,23,0.01,0.0,0.0,0.05
among,23,0.0,0.0,0.0,0.01
goose,23,0.01,0.01,0.0,0.15
offspring,23,0.0,0.0,0.0,0.02
duck,22,0.01,0.01,0.0,0.05
predation,22,0.01,0.0,0.0,0.03
word,22,0.01,0.0,0.0,0.02
meaning,22,0.01,0.01,0.0,0.07
appearance,22,0.0,0.0,0.0,0.02
believed,22,0.0,0.0,0.0,0.01
typical,22,0.01,0.0,0.0,0.04
bones,22,0.01,0.01,0.0,0.03
seems,22,0.0,0.0,0.0,0.02
death,22,0.01,0.0,0.0,0.03
escape,22,0.01,0.0,0.0,0.03
length,22,0.01,0.0,0.0,0.01
female,22,0.01,0.01,0.0,0.03
skull,22,0.01,0.0,0.0,0.01
apparently,22,0.0,0.0,0.0,0.01
relatives,22,0.0,0.0,0.0,0.01
suggesting,22,0.0,0.0,0.0,0.01
specifically,22,0.0,0.0,0.0,0.05
killed,22,0.01,0.01,0.0,0.02
observed,22,0.0,0.0,0.0,0.02
members,22,0.01,0.0,0.0,0.05
any,22,0.01,0.0,0.0,0.02
eat,22,0.01,0.01,0.0,0.06
do,22,0.0,0.0,0.0,0.01
though,22,0.0,0.0,0.0,0.01
thought,22,0.0,0.0,0.0,0.01
mate,22,0.0,0.0,0.0,0.01
calls,22,0.0,0.0,0.0,0.02
realizes,22,0.0,0.0,0.0,0.01
adapted,22,0.0,0.0,0.0,0.0
attacking,22,0.0,0.0,0.0,0.0
chased,22,0.0,0.0,0.0,0.02
visits,22,0.0,0.0,0.0,0.0
destruction,22,0.0,0.0,0.0,0.01
arrive,22,0.0,0.0,0.0,0.01
endangered,21,0.02,0.01,0.01,0.04
rare,21,0.01,0.0,0.0,0.03
southeastern,21,0.0,0.0,0.0,0.01
successfully,21,0.0,0.0,0.0,0.0
threats,21,0.0,0.0,0.0,0.01
capable,21,0.0,0.0,0.0,0.03
throughout,21,0.0,0.0,0.0,0.01
study,21,0.0,0.0,0.0,0.02
accidentally,21,0.0,0.0,0.0,0.01
looking,21,0.0,0.0,0.0,0.01
numerous,21,0.0,0.0,0.0,0.01
dna,21,0.0,0.0,0.0,0.02
lays,21,0.0,0.0,0.0,0.01
detected,21,0.0,0.0,0.0,0.01
victim,21,0.0,0.0,0.0,0.01
reaches,21,0.0,0.0,0.0,0.01
characteristics,21,0.0,0.0,0.0,0.01
islands,21,0.01,0.0,0.0,0.02
enough,21,0.0,0.0,0.0,0.01
referring,21,0.0,0.0,0.0,0.01
cartoon,21,0.02,0.01,0.0,0.06
cat,21,0.05,0.04,0.0,0.49
but,21,0.01,0.01,0.01,0.02
found,21,0.01,0.01,0.01,0.04
sequence,21,0.01,0.01,0.0,0.06
pet,21,0.03,0.03,0.01,0.16
find,21,0.0,0.0,0.0,0.01
him,21,0.01,0.01,0.0,0.02
hind,21,0.0,0.0,0.0,0.01
mating,21,0.0,0.0,0.0,0.02
behavior,21,0.01,0.01,0.0,0.05
pen,21,0.01,0.01,0.0,0.05
manages,21,0.0,0.0,0.0,0.01
encounters,21,0.0,0.0,0.0,0.01
crow,21,0.03,0.03,0.0,0.29
captured,21,0.0,0.0,0.0,0.02
resembled,21,0.0,0.0,0.0,0.01
grey,21,0.02,0.02,0.0,0.24
immediately,21,0.0,0.0,0.0,0.01
nickname,21,0.01,0.0,0.0,0.01
despite,21,0.0,0.0,0.0,0.01
occasionally,21,0.0,0.0,0.0,0.01
resembles,21,0.01,0.01,0.0,0.09
back,21,0.01,0.0,0.0,0.02
very,21,0.0,0.0,0.0,0.01
just,21,0.01,0.0,0.0,0.01
of,21,0.03,0.01,0.02,0.06
man,21,0.02,0.01,0.01,0.05
like,21,0.01,0.01,0.01,0.03
head,21,0.01,0.01,0.0,0.04
capture,21,0.0,0.0,0.0,0.01
number,21,0.0,0.0,0.0,0.01
another,21,0.01,0.0,0.0,0.01
men,21,0.0,0.0,0.0,0.01
villain,21,0.0,0.0,0.0,0.01
depicts,21,0.0,0.0,0.0,0.01
bill,21,0.0,0.0,0.0,0.01
folklore,21,0.0,0.0,0.0,0.01
familiar,21,0.0,0.0,0.0,0.01
saw,21,0.0,0.0,0.0,0.01
yet,21,0.0,0.0,0.0,0.05
army,21,0.0,0.0,0.0,0.01
mainland,21,0.0,0.0,0.0,0.01
search,21,0.0,0.0,0.0,0.02
helping,21,0.0,0.0,0.0,0.0
arrives,21,0.0,0.0,0.0,0.01
species,20,0.07,0.05,0.02,0.24
lives,20,0.01,0.0,0.0,0.02
wildlife,20,0.01,0.01,0.0,0.04
concern,20,0.0,0.0,0.0,0.01
nature,20,0.01,0.01,0.0,0.06
its,20,0.01,0.0,0.01,0.02
extend,20,0.0,0.0,0.0,0.01
contact,20,0.0,0.0,0.0,0.01
false,20,0.0,0.0,0.0,0.01
threatened,20,0.01,0.0,0.0,0.02
discovered,20,0.0,0.0,0.0,0.01
mammal,20,0.01,0.01,0.0,0.07
squirrel,20,0.03,0.03,0.0,0.2
slender,20,0.01,0.01,0.0,0.03
constantly,20,0.0,0.0,0.0,0.0
arrival,20,0.0,0.0,0.0,0.0
breeds,20,0.03,0.03,0.0,0.2
hawk,20,0.01,0.01,0.0,0.07
lists,20,0.0,0.0,0.0,0.01
danger,20,0.0,0.0,0.0,0.02
specimen,20,0.0,0.0,0.0,0.02
canyon,20,0.01,0.01,0.0,0.03
score,20,0.0,0.0,0.0,0.02
care,20,0.0,0.0,0.0,0.01
attempt,20,0.0,0.0,0.0,0.01
support,20,0.0,0.0,0.0,0.01
themselves,20,0.0,0.0,0.0,0.01
occur,20,0.0,0.0,0.0,0.01
presence,20,0.0,0.0,0.0,0.01
numbers,20,0.0,0.0,0.0,0.01
chosen,20,0.0,0.0,0.0,0.01
mad,20,0.02,0.02,0.0,0.22
about,20,0.01,0.01,0.0,0.02
nicknamed,20,0.01,0.0,0.0,0.01
monster,20,0.01,0.0,0.0,0.02
primitive,20,0.0,0.0,0.0,0.01
stolen,20,0.0,0.0,0.0,0.01
noted,20,0.0,0.0,0.0,0.01
rabbit,20,0.04,0.04,0.0,0.54
published,20,0.01,0.01,0.0,0.12
island,20,0.02,0.02,0.0,0.09
possess,20,0.0,0.0,0.0,0.01
learning,20,0.0,0.0,0.0,0.01
unnamed,20,0.0,0.0,0.0,0.01
actual,20,0.0,0.0,0.0,0.01
supposed,20,0.0,0.0,0.0,0.0
searching,20,0.0,0.0,0.0,0.01
wrong,20,0.0,0.0,0.0,0.06
whom,20,0.0,0.0,0.0,0.01
amongst,20,0.0,0.0,0.0,0.01
comic,20,0.0,0.0,0.0,0.02
instance,20,0.0,0.0,0.0,0.01
action,20,0.01,0.01,0.0,0.05
again,20,0.0,0.0,0.0,0.01
attacked,20,0.0,0.0,0.0,0.01
skin,20,0.01,0.01,0.0,0.03
smaller,20,0.01,0.0,0.0,0.05
comes,20,0.01,0.0,0.0,0.01
finally,20,0.0,0.0,0.0,0.0
late,20,0.0,0.0,0.0,0.01
resembling,20,0.01,0.0,0.0,0.01
dog,20,0.05,0.05,0.0,0.38
the,20,0.06,0.02,0.03,0.12
headed,20,0.01,0.01,0.0,0.09
subspecies,20,0.03,0.02,0.01,0.08
human,20,0.01,0.01,0.0,0.08
has,20,0.01,0.0,0.01,0.02
deer,20,0.03,0.02,0.0,0.17
evil,20,0.01,0.0,0.0,0.02
well,20,0.01,0.01,0.01,0.02
bear,20,0.02,0.02,0.0,0.22
face,20,0.01,0.0,0.0,0.02
life,20,0.01,0.01,0.0,0.03
himself,20,0.01,0.01,0.0,0.1
rescue,20,0.01,0.01,0.0,0.04
fur,20,0.01,0.01,0.0,0.08
critically,20,0.0,0.0,0.0,0.01
pete,20,0.01,0.0,0.0,0.03
drums,20,0.0,0.0,0.0,0.01
rescued,20,0.0,0.0,0.0,0.01
would,20,0.01,0.0,0.0,0.02
protagonist,20,0.01,0.01,0.0,0.12
real,20,0.0,0.0,0.0,0.01
revealed,20,0.0,0.0,0.0,0.01
ability,20,0.0,0.0,0.0,0.01
ancestor,20,0.0,0.0,0.0,0.01
near,20,0.01,0.0,0.0,0.02
bald,20,0.0,0.0,0.0,0.02
help,20,0.0,0.0,0.0,0.01
attributed,20,0.0,0.0,0.0,0.0
trails,20,0.0,0.0,0.0,0.01
possible,20,0.0,0.0,0.0,0.01
sound,20,0.0,0.0,0.0,0.01
turned,20,0.0,0.0,0.0,0.01
vulnerable,20,0.0,0.0,0.0,0.01
fictional,20,0.0,0.0,0.0,0.01
1990,20,0.0,0.0,0.0,0.0
led,20,0.0,0.0,0.0,0.01
keeper,20,0.0,0.0,0.0,0.01
fairly,20,0.0,0.0,0.0,0.01
ranges,20,0.0,0.0,0.0,0.01
involving,20,0.0,0.0,0.0,0.01
stays,20,0.0,0.0,0.0,0.01
kangaroo,20,0.0,0.0,0.0,0.01
originates,20,0.0,0.0,0.0,0.0
returning,20,0.0,0.0,0.0,0.0
distinct,20,0.0,0.0,0.0,0.0
ahead,20,0.0,0.0,0.0,0.01
observe,20,0.0,0.0,0.0,0.01
difficulty,20,0.0,0.0,0.0,0.01
odd,20,0.0,0.0,0.0,0.01
only,20,0.01,0.01,0.0,0.04
take,20,0.01,0.0,0.0,0.04
unusual,20,0.0,0.0,0.0,0.01
least,20,0.0,0.0,0.0,0.01
decline,20,0.0,0.0,0.0,0.01
absent,20,0.0,0.0,0.0,0.0
crossed,20,0.0,0.0,0.0,0.01
raven,20,0.01,0.01,0.0,0.06
reserve,20,0.0,0.0,0.0,0.03
scientific,19,0.01,0.0,0.0,0.04
host,19,0.01,0.0,0.0,0.04
brown,19,0.02,0.01,0.0,0.07
feeds,19,0.01,0.01,0.0,0.05
otter,19,0.01,0.01,0.0,0.1
body,19,0.01,0.01,0.0,0.05
eurasian,19,0.02,0.02,0.0,0.15
spends,19,0.0,0.0,0.0,0.03
confirmed,19,0.0,0.0,0.0,0.0
likely,19,0.0,0.0,0.0,0.01
mean,19,0.0,0.0,0.0,0.01
documented,19,0.0,0.0,0.0,0.01
shown,19,0.0,0.0,0.0,0.01
few,19,0.0,0.0,0.0,0.01
europe,19,0.0,0.0,0.0,0.01
once,19,0.0,0.0,0.0,0.01
hunters,19,0.01,0.0,0.0,0.01
actions,19,0.0,0.0,0.0,0.01
teeth,19,0.0,0.0,0.0,0.01
confined,19,0.0,0.0,0.0,0.01
destroys,19,0.0,0.0,0.0,0.01
map,19,0.0,0.0,0.0,0.01
accident,19,0.0,0.0,0.0,0.0
gain,19,0.0,0.0,0.0,0.0
myth,19,0.0,0.0,0.0,0.01
manner,19,0.0,0.0,0.0,0.0
whilst,19,0.0,0.0,0.0,0.0
greater,19,0.01,0.0,0.0,0.03
evolved,19,0.0,0.0,0.0,0.01
normal,19,0.01,0.01,0.0,0.05
active,19,0.0,0.0,0.0,0.01
slightly,19,0.01,0.0,0.0,0.05
hair,19,0.01,0.0,0.0,0.02
act,19,0.0,0.0,0.0,0.01
somewhat,19,0.0,0.0,0.0,0.0
spider,19,0.02,0.02,0.0,0.21
was,19,0.02,0.01,0.01,0.03
on,19,0.02,0.01,0.01,0.04
robot,19,0.01,0.01,0.0,0.03
considered,19,0.01,0.0,0.0,0.01
cannot,19,0.01,0.01,0.0,0.06
they,19,0.01,0.01,0.01,0.02
diet,19,0.01,0.0,0.0,0.02
eats,19,0.01,0.01,0.0,0.02
can,19,0.01,0.01,0.01,0.02
short,19,0.02,0.01,0.01,0.07
believes,19,0.0,0.0,0.0,0.01
tested,19,0.0,0.0,0.0,0.01
saying,19,0.0,0.0,0.0,0.01
depicted,19,0.01,0.0,0.0,0.01
takes,19,0.01,0.0,0.0,0.01
still,19,0.0,0.0,0.0,0.01
be,19,0.01,0.0,0.01,0.02
so,19,0.01,0.0,0.0,0.01
jake,19,0.01,0.01,0.0,0.05
females,19,0.0,0.0,0.0,0.01
mice,19,0.01,0.01,0.0,0.03
enjoys,19,0.0,0.0,0.0,0.01
vs,19,0.01,0.0,0.0,0.03
mission,19,0.0,0.0,0.0,0.0
males,19,0.0,0.0,0.0,0.01
identify,19,0.0,0.0,0.0,0.01
worm,19,0.01,0.01,0.0,0.09
noticed,19,0.0,0.0,0.0,0.01
trick,19,0.0,0.0,0.0,0.01
loses,19,0.0,0.0,0.0,0.01
reveals,19,0.0,0.0,0.0,0.01
description,19,0.0,0.0,0.0,0.01
wearing,19,0.01,0.01,0.0,0.02
player,19,0.0,0.0,0.0,0.01
difference,19,0.0,0.0,0.0,0.0
save,19,0.0,0.0,0.0,0.01
tell,19,0.0,0.0,0.0,0.01
against,19,0.01,0.0,0.0,0.01
subsequently,19,0.0,0.0,0.0,0.0
similarly,19,0.0,0.0,0.0,0.01
modern,19,0.01,0.01,0.0,0.05
mr,19,0.01,0.0,0.0,0.03
previously,19,0.0,0.0,0.0,0.01
central,19,0.0,0.0,0.0,0.01
own,19,0.0,0.0,0.0,0.01
friend,19,0.0,0.0,0.0,0.01
having,19,0.0,0.0,0.0,0.01
get,19,0.0,0.0,0.0,0.02
tailed,19,0.04,0.03,0.01,0.12
super,19,0.01,0.0,0.0,0.04
