context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
currently,6,0.0,0.0,0.0,0.01
earlier,6,0.0,0.0,0.0,0.01
black,5,0.03,0.02,0.01,0.06
year,5,0.01,0.0,0.01,0.02
left,5,0.01,0.01,0.0,0.02
founder,5,0.0,0.0,0.0,0.01
pickers,5,0.01,0.01,0.0,0.04
rosa,5,0.0,0.0,0.0,0.01
all,5,0.01,0.0,0.01,0.01
led,5,0.0,0.0,0.0,0.0
bitter,5,0.01,0.01,0.0,0.01
developed,5,0.0,0.0,0.0,0.01
succeeded,5,0.0,0.0,0.0,0.02
rico,5,0.0,0.0,0.0,0.01
according,5,0.0,0.0,0.0,0.0
best,5,0.01,0.0,0.0,0.01
northwest,5,0.0,0.0,0.0,0.0
68,5,0.0,0.0,0.0,0.0
came,5,0.0,0.0,0.0,0.0
sporting,5,0.0,0.0,0.0,0.0
vincent,5,0.0,0.0,0.0,0.02
al,5,0.0,0.0,0.0,0.01
free,5,0.0,0.0,0.0,0.01
states,5,0.0,0.0,0.0,0.01
took,5,0.01,0.0,0.0,0.01
assumed,5,0.0,0.0,0.0,0.0
partner,5,0.0,0.0,0.0,0.0
historic,5,0.01,0.0,0.0,0.01
walnut,5,0.01,0.01,0.0,0.04
pronounced,5,0.0,0.0,0.0,0.0
prominent,5,0.0,0.0,0.0,0.0
public,5,0.01,0.0,0.0,0.01
offered,5,0.0,0.0,0.0,0.0
80,5,0.0,0.0,0.0,0.0
continued,5,0.0,0.0,0.0,0.0
transition,5,0.0,0.0,0.0,0.0
introduce,5,0.0,0.0,0.0,0.0
less,5,0.0,0.0,0.0,0.01
varying,5,0.0,0.0,0.0,0.01
though,5,0.0,0.0,0.0,0.0
census,5,0.0,0.0,0.0,0.01
beauty,5,0.0,0.0,0.0,0.0
extends,5,0.0,0.0,0.0,0.01
frances,5,0.0,0.0,0.0,0.01
miller,5,0.0,0.0,0.0,0.0
obtained,5,0.0,0.0,0.0,0.01
overall,5,0.0,0.0,0.0,0.0
mount,5,0.02,0.02,0.0,0.12
additionally,5,0.0,0.0,0.0,0.0
sites,5,0.0,0.0,0.0,0.0
dates,5,0.0,0.0,0.0,0.0
unknown,5,0.0,0.0,0.0,0.0
adequate,5,0.0,0.0,0.0,0.0
apart,5,0.0,0.0,0.0,0.0
walnuts,5,0.0,0.0,0.0,0.0
1850s,5,0.0,0.0,0.0,0.0
further,5,0.0,0.0,0.0,0.0
merger,5,0.0,0.0,0.0,0.0
cincinnati,5,0.0,0.0,0.0,0.0
zones,5,0.0,0.0,0.0,0.0
motto,5,0.0,0.0,0.0,0.01
degree,5,0.0,0.0,0.0,0.0
bounded,5,0.0,0.0,0.0,0.01
railroad,5,0.0,0.0,0.0,0.0
quit,5,0.0,0.0,0.0,0.02
blended,5,0.01,0.01,0.0,0.05
siblings,5,0.0,0.0,0.0,0.0
dot,5,0.0,0.0,0.0,0.0
walked,5,0.0,0.0,0.0,0.0
southeastern,5,0.0,0.0,0.0,0.0
organized,5,0.0,0.0,0.0,0.0
changing,5,0.0,0.0,0.0,0.0
claims,5,0.0,0.0,0.0,0.02
thirty,5,0.0,0.0,0.0,0.0
historically,5,0.0,0.0,0.0,0.01
evidence,5,0.0,0.0,0.0,0.0
extensively,5,0.0,0.0,0.0,0.0
criticism,5,0.0,0.0,0.0,0.0
hungary,5,0.0,0.0,0.0,0.01
1853,5,0.0,0.0,0.0,0.0
39,5,0.0,0.0,0.0,0.0
hardly,5,0.0,0.0,0.0,0.0
amid,5,0.0,0.0,0.0,0.0
91,5,0.0,0.0,0.0,0.0
informs,5,0.0,0.0,0.0,0.02
71,5,0.0,0.0,0.0,0.0
10th,5,0.0,0.0,0.0,0.0
consultant,5,0.0,0.0,0.0,0.0
intention,5,0.0,0.0,0.0,0.0
eighteenth,5,0.0,0.0,0.0,0.0
