context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
entirely,30,0.0,0.0,0.0,0.01
apart,29,0.0,0.0,0.0,0.01
suitable,27,0.0,0.0,0.0,0.02
supposed,27,0.0,0.0,0.0,0.02
seen,27,0.01,0.0,0.0,0.03
low,26,0.01,0.01,0.0,0.03
giving,26,0.0,0.0,0.0,0.02
nights,26,0.01,0.01,0.0,0.07
take,26,0.01,0.0,0.0,0.02
offers,26,0.0,0.0,0.0,0.02
goes,26,0.01,0.0,0.0,0.03
numbers,26,0.0,0.0,0.0,0.01
entire,26,0.0,0.0,0.0,0.01
likewise,26,0.0,0.0,0.0,0.0
blue,25,0.05,0.04,0.01,0.23
displayed,25,0.0,0.0,0.0,0.01
lights,25,0.01,0.01,0.0,0.06
wide,25,0.01,0.0,0.0,0.02
tiny,25,0.0,0.0,0.0,0.02
1970s,25,0.0,0.0,0.0,0.01
utilized,25,0.0,0.0,0.0,0.01
collector,25,0.0,0.0,0.0,0.02
remain,25,0.0,0.0,0.0,0.01
thirty,25,0.0,0.0,0.0,0.02
by,25,0.02,0.01,0.01,0.04
for,25,0.02,0.01,0.01,0.06
also,25,0.01,0.01,0.01,0.06
can,25,0.02,0.01,0.01,0.06
closest,25,0.0,0.0,0.0,0.02
coming,25,0.0,0.0,0.0,0.01
return,25,0.0,0.0,0.0,0.02
guests,25,0.0,0.0,0.0,0.02
setting,25,0.0,0.0,0.0,0.01
confined,25,0.0,0.0,0.0,0.01
actually,25,0.0,0.0,0.0,0.02
through,24,0.01,0.01,0.0,0.02
designed,24,0.01,0.0,0.0,0.02
into,24,0.01,0.01,0.01,0.03
were,24,0.01,0.0,0.01,0.02
multi,24,0.01,0.0,0.0,0.03
over,24,0.01,0.01,0.0,0.02
case,24,0.01,0.0,0.0,0.03
included,24,0.0,0.0,0.0,0.01
scale,24,0.01,0.0,0.0,0.05
available,24,0.01,0.01,0.0,0.03
16,24,0.01,0.0,0.0,0.02
simple,24,0.0,0.0,0.0,0.01
limited,24,0.01,0.0,0.0,0.03
except,24,0.0,0.0,0.0,0.01
specialised,24,0.0,0.0,0.0,0.01
compared,24,0.0,0.0,0.0,0.01
drawn,24,0.0,0.0,0.0,0.01
higher,24,0.0,0.0,0.0,0.01
expanded,24,0.0,0.0,0.0,0.01
easier,24,0.0,0.0,0.0,0.01
additionally,24,0.0,0.0,0.0,0.01
specialized,24,0.0,0.0,0.0,0.01
remarkable,24,0.0,0.0,0.0,0.01
and,24,0.04,0.02,0.03,0.08
link,24,0.0,0.0,0.0,0.02
off,24,0.01,0.01,0.01,0.03
which,24,0.02,0.01,0.01,0.03
an,24,0.02,0.01,0.01,0.07
has,24,0.01,0.01,0.01,0.03
time,24,0.01,0.01,0.01,0.04
only,24,0.01,0.0,0.01,0.02
this,24,0.01,0.01,0.01,0.04
back,24,0.01,0.01,0.0,0.03
they,24,0.01,0.01,0.01,0.05
gets,24,0.01,0.01,0.0,0.03
throughout,24,0.0,0.0,0.0,0.02
seven,24,0.0,0.0,0.0,0.03
few,24,0.0,0.0,0.0,0.01
approximately,24,0.0,0.0,0.0,0.01
managed,24,0.0,0.0,0.0,0.03
immediately,24,0.0,0.0,0.0,0.01
escapes,24,0.0,0.0,0.0,0.02
biggest,24,0.0,0.0,0.0,0.01
but,24,0.01,0.01,0.01,0.04
find,24,0.01,0.0,0.0,0.01
panel,23,0.0,0.0,0.0,0.01
with,23,0.02,0.01,0.01,0.04
made,23,0.01,0.01,0.01,0.04
used,23,0.01,0.01,0.01,0.03
design,23,0.01,0.0,0.0,0.02
use,23,0.01,0.0,0.0,0.02
material,23,0.0,0.0,0.0,0.01
non,23,0.01,0.01,0.0,0.02
placed,23,0.01,0.0,0.0,0.01
full,23,0.01,0.01,0.0,0.02
create,23,0.0,0.0,0.0,0.03
rather,23,0.0,0.0,0.0,0.02
london,23,0.01,0.01,0.0,0.02
bright,23,0.01,0.01,0.0,0.04
edge,23,0.01,0.0,0.0,0.02
directly,23,0.01,0.0,0.0,0.03
cannot,23,0.0,0.0,0.0,0.02
hanging,23,0.01,0.01,0.0,0.11
safe,23,0.0,0.0,0.0,0.03
lifted,23,0.0,0.0,0.0,0.01
sets,23,0.0,0.0,0.0,0.01
note,23,0.0,0.0,0.0,0.02
jumps,23,0.0,0.0,0.0,0.02
details,23,0.0,0.0,0.0,0.01
laura,23,0.0,0.0,0.0,0.01
48,23,0.0,0.0,0.0,0.01
to,23,0.04,0.02,0.02,0.07
is,23,0.03,0.01,0.02,0.07
on,23,0.03,0.01,0.01,0.09
in,23,0.04,0.02,0.02,0.09
there,23,0.01,0.01,0.0,0.06
operations,23,0.0,0.0,0.0,0.02
sydney,23,0.0,0.0,0.0,0.02
mid,23,0.01,0.01,0.01,0.04
when,23,0.01,0.01,0.01,0.03
many,23,0.01,0.0,0.0,0.02
around,23,0.01,0.01,0.0,0.05
both,23,0.01,0.0,0.0,0.01
during,23,0.01,0.01,0.0,0.07
since,23,0.01,0.0,0.0,0.01
then,23,0.01,0.0,0.0,0.02
different,23,0.01,0.0,0.0,0.01
evening,23,0.0,0.0,0.0,0.03
without,23,0.01,0.01,0.0,0.04
does,23,0.01,0.0,0.0,0.01
carry,23,0.0,0.0,0.0,0.01
much,23,0.01,0.0,0.0,0.03
begins,23,0.01,0.0,0.0,0.03
becoming,23,0.0,0.0,0.0,0.02
starts,23,0.01,0.0,0.0,0.03
dropped,23,0.0,0.0,0.0,0.01
help,23,0.01,0.0,0.0,0.03
thus,23,0.0,0.0,0.0,0.01
temporarily,23,0.0,0.0,0.0,0.01
marked,23,0.0,0.0,0.0,0.01
fan,23,0.0,0.0,0.0,0.02
of,23,0.04,0.02,0.02,0.08
after,23,0.01,0.01,0.0,0.03
quickly,23,0.0,0.0,0.0,0.01
attempts,23,0.0,0.0,0.0,0.0
gave,23,0.01,0.0,0.0,0.02
shoot,23,0.0,0.0,0.0,0.01
helps,23,0.0,0.0,0.0,0.01
investigate,23,0.0,0.0,0.0,0.0
shown,23,0.0,0.0,0.0,0.02
showed,23,0.0,0.0,0.0,0.01
tend,23,0.0,0.0,0.0,0.01
suggests,23,0.0,0.0,0.0,0.01
mr,23,0.0,0.0,0.0,0.01
windows,22,0.01,0.01,0.0,0.16
window,22,0.01,0.01,0.0,0.09
looking,22,0.01,0.01,0.0,0.03
plates,22,0.01,0.0,0.0,0.04
large,22,0.01,0.01,0.01,0.02
high,22,0.01,0.01,0.0,0.05
inside,22,0.01,0.01,0.0,0.02
painting,22,0.0,0.0,0.0,0.01
work,22,0.01,0.0,0.0,0.02
above,22,0.01,0.01,0.0,0.03
installation,22,0.0,0.0,0.0,0.01
features,22,0.01,0.0,0.0,0.01
circular,22,0.0,0.0,0.0,0.03
using,22,0.01,0.0,0.0,0.01
collection,22,0.01,0.0,0.0,0.03
set,22,0.01,0.0,0.0,0.01
these,22,0.01,0.0,0.0,0.02
typically,22,0.01,0.0,0.0,0.03
includes,22,0.0,0.0,0.0,0.01
covering,22,0.0,0.0,0.0,0.02
between,22,0.01,0.0,0.0,0.02
instead,22,0.01,0.0,0.0,0.01
consists,22,0.0,0.0,0.0,0.01
