context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
rainbow,10,0.02,0.02,0.0,0.12
grey,10,0.03,0.02,0.0,0.07
species,9,0.09,0.07,0.04,0.26
endangered,9,0.03,0.02,0.01,0.09
blue,9,0.04,0.04,0.01,0.19
sized,9,0.02,0.02,0.01,0.04
abundant,9,0.02,0.02,0.0,0.08
zealand,9,0.01,0.01,0.0,0.02
habitat,9,0.02,0.01,0.0,0.03
feeds,9,0.02,0.01,0.01,0.04
juvenile,9,0.02,0.02,0.0,0.07
inhabits,9,0.02,0.02,0.0,0.1
successfully,9,0.0,0.0,0.0,0.03
thirty,9,0.0,0.0,0.0,0.02
pacific,9,0.03,0.02,0.0,0.17
extinction,9,0.01,0.0,0.0,0.02
confined,9,0.0,0.0,0.0,0.01
prefers,9,0.0,0.0,0.0,0.01
surviving,9,0.0,0.0,0.0,0.0
numbers,9,0.0,0.0,0.0,0.01
apart,9,0.0,0.0,0.0,0.0
suggests,9,0.0,0.0,0.0,0.01
bird,9,0.05,0.04,0.01,0.18
parrot,9,0.13,0.13,0.01,0.72
hanging,9,0.02,0.01,0.0,0.11
lived,9,0.01,0.0,0.0,0.02
family,9,0.03,0.02,0.01,0.07
heron,9,0.01,0.01,0.0,0.09
relatives,9,0.01,0.0,0.0,0.03
endemic,8,0.04,0.03,0.01,0.09
swan,8,0.01,0.01,0.0,0.02
fish,8,0.08,0.08,0.01,0.33
rare,8,0.01,0.01,0.01,0.03
extinct,8,0.03,0.02,0.01,0.05
wide,8,0.01,0.0,0.0,0.01
declining,8,0.0,0.0,0.0,0.01
occurs,8,0.01,0.0,0.0,0.01
specimens,8,0.02,0.02,0.0,0.06
suitable,8,0.0,0.0,0.0,0.01
tiny,8,0.0,0.0,0.0,0.01
diving,8,0.01,0.01,0.0,0.04
introduced,8,0.01,0.0,0.0,0.01
spends,8,0.0,0.0,0.0,0.01
genera,8,0.01,0.0,0.0,0.01
extremely,8,0.01,0.01,0.0,0.03
population,8,0.01,0.01,0.0,0.03
looking,8,0.0,0.0,0.0,0.01
throughout,8,0.0,0.0,0.0,0.0
typical,8,0.0,0.0,0.0,0.01
shown,8,0.0,0.0,0.0,0.0
numerous,8,0.0,0.0,0.0,0.01
banded,8,0.03,0.03,0.0,0.16
specialised,8,0.0,0.0,0.0,0.01
utilized,8,0.0,0.0,0.0,0.0
observation,8,0.0,0.0,0.0,0.01
inhabit,8,0.01,0.01,0.0,0.02
paradise,8,0.03,0.03,0.0,0.11
survival,8,0.0,0.0,0.0,0.01
inhabited,8,0.0,0.0,0.0,0.01
readily,8,0.0,0.0,0.0,0.01
renowned,8,0.0,0.0,0.0,0.0
occasional,8,0.01,0.0,0.0,0.03
somewhat,8,0.01,0.0,0.0,0.03
australian,8,0.01,0.01,0.0,0.06
little,8,0.02,0.01,0.01,0.05
australia,8,0.01,0.01,0.0,0.03
member,8,0.01,0.01,0.0,0.07
known,8,0.03,0.02,0.01,0.08
supposed,8,0.0,0.0,0.0,0.02
encounter,8,0.0,0.0,0.0,0.02
coming,8,0.0,0.0,0.0,0.01
amongst,8,0.0,0.0,0.0,0.01
smaller,8,0.01,0.01,0.0,0.02
common,8,0.02,0.01,0.01,0.04
birds,8,0.03,0.03,0.01,0.07
tropical,8,0.01,0.01,0.0,0.03
tail,8,0.01,0.01,0.0,0.02
island,8,0.01,0.01,0.01,0.04
specimen,8,0.01,0.01,0.0,0.01
pairs,8,0.0,0.0,0.0,0.01
smallest,8,0.01,0.01,0.01,0.03
colourful,8,0.01,0.0,0.0,0.01
behaviour,8,0.01,0.01,0.0,0.01
beak,8,0.03,0.02,0.0,0.06
described,8,0.01,0.0,0.0,0.01
headed,8,0.03,0.03,0.0,0.09
islands,8,0.01,0.01,0.0,0.02
eye,8,0.01,0.0,0.0,0.02
highly,8,0.0,0.0,0.0,0.01
bright,8,0.0,0.0,0.0,0.01
probably,8,0.0,0.0,0.0,0.01
relative,8,0.01,0.0,0.0,0.01
sexual,8,0.0,0.0,0.0,0.01
entirely,8,0.0,0.0,0.0,0.0
sounds,8,0.0,0.0,0.0,0.01
remarkable,8,0.0,0.0,0.0,0.0
closest,8,0.01,0.0,0.0,0.02
mates,8,0.0,0.0,0.0,0.0
scientific,7,0.01,0.01,0.0,0.03
populations,7,0.02,0.02,0.01,0.04
medium,7,0.03,0.02,0.01,0.04
green,7,0.03,0.02,0.01,0.06
asian,7,0.01,0.0,0.0,0.01
inlet,7,0.01,0.01,0.0,0.04
mediterranean,7,0.02,0.02,0.0,0.12
collected,7,0.01,0.01,0.0,0.01
predation,7,0.02,0.01,0.0,0.04
sites,7,0.0,0.0,0.0,0.01
cavity,7,0.0,0.0,0.0,0.01
attracted,7,0.0,0.0,0.0,0.01
wildlife,7,0.04,0.04,0.0,0.24
lagoon,7,0.01,0.0,0.0,0.01
predators,7,0.02,0.02,0.0,0.06
feeding,7,0.02,0.02,0.0,0.06
protected,7,0.01,0.0,0.0,0.02
eater,7,0.01,0.01,0.0,0.02
able,7,0.01,0.0,0.0,0.01
adult,7,0.01,0.01,0.0,0.03
recreational,7,0.01,0.0,0.0,0.02
shape,7,0.0,0.0,0.0,0.01
eliminated,7,0.0,0.0,0.0,0.0
