context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
include,35,0.01,0.0,0.0,0.04
brand,32,0.01,0.01,0.0,0.07
cake,32,0.03,0.03,0.0,0.61
drops,32,0.01,0.01,0.0,0.03
sugar,31,0.02,0.02,0.0,0.1
items,31,0.01,0.0,0.0,0.02
taste,30,0.01,0.01,0.0,0.03
typically,30,0.01,0.0,0.0,0.02
contains,30,0.01,0.01,0.0,0.04
bread,30,0.03,0.02,0.0,0.14
soft,29,0.01,0.01,0.0,0.03
cherry,29,0.02,0.02,0.0,0.19
apple,29,0.02,0.02,0.0,0.27
egg,29,0.01,0.01,0.0,0.03
candy,29,0.01,0.01,0.0,0.03
containing,29,0.01,0.0,0.0,0.02
quality,29,0.01,0.01,0.0,0.08
wine,28,0.02,0.02,0.0,0.26
note,28,0.0,0.0,0.0,0.04
typical,28,0.01,0.0,0.0,0.03
includes,28,0.01,0.0,0.0,0.02
food,28,0.02,0.01,0.0,0.09
ice,27,0.08,0.07,0.01,0.7
bottles,27,0.02,0.02,0.0,0.15
chocolate,27,0.03,0.03,0.0,0.25
variety,27,0.01,0.0,0.0,0.02
known,27,0.01,0.0,0.01,0.03
dog,27,0.01,0.01,0.0,0.03
united,27,0.01,0.0,0.0,0.02
name,27,0.01,0.0,0.0,0.02
referred,27,0.01,0.0,0.0,0.02
disambiguation,26,0.01,0.0,0.0,0.02
foods,26,0.01,0.01,0.0,0.05
australia,26,0.01,0.0,0.0,0.02
rare,26,0.01,0.01,0.0,0.08
restaurant,26,0.01,0.01,0.0,0.03
tv,26,0.01,0.01,0.0,0.09
contained,26,0.01,0.0,0.0,0.02
ranging,26,0.0,0.0,0.0,0.01
eating,26,0.01,0.01,0.0,0.05
eaten,26,0.02,0.02,0.0,0.08
rice,26,0.02,0.02,0.0,0.13
serving,26,0.0,0.0,0.0,0.02
makes,26,0.01,0.0,0.0,0.02
stand,25,0.01,0.01,0.0,0.19
beer,25,0.06,0.05,0.0,0.4
juice,25,0.03,0.03,0.0,0.33
milk,25,0.05,0.05,0.0,0.36
sells,25,0.01,0.01,0.0,0.03
2010,25,0.01,0.01,0.0,0.06
end,25,0.01,0.0,0.0,0.02
customer,25,0.0,0.0,0.0,0.01
ingredients,25,0.02,0.02,0.0,0.06
hold,25,0.01,0.01,0.0,0.04
christmas,25,0.01,0.01,0.0,0.07
shop,25,0.03,0.03,0.0,0.34
commercial,25,0.01,0.0,0.0,0.01
largest,25,0.01,0.0,0.0,0.02
fish,25,0.01,0.01,0.0,0.05
contain,25,0.01,0.0,0.0,0.02
runs,25,0.01,0.01,0.0,0.05
cafe,25,0.01,0.01,0.0,0.07
plain,25,0.01,0.0,0.0,0.02
dutch,25,0.0,0.0,0.0,0.04
paintings,25,0.0,0.0,0.0,0.01
bars,25,0.01,0.01,0.0,0.04
inc,25,0.0,0.0,0.0,0.02
gift,25,0.0,0.0,0.0,0.04
donated,25,0.0,0.0,0.0,0.01
shaped,25,0.01,0.01,0.0,0.04
maker,25,0.01,0.01,0.0,0.04
filling,25,0.01,0.01,0.0,0.06
meal,25,0.01,0.01,0.0,0.05
abundance,25,0.0,0.0,0.0,0.01
usually,25,0.01,0.0,0.01,0.03
purchased,25,0.01,0.0,0.0,0.02
aka,25,0.0,0.0,0.0,0.01
some,25,0.01,0.0,0.01,0.03
normally,25,0.0,0.0,0.0,0.01
bottle,24,0.03,0.03,0.0,0.35
sell,24,0.01,0.01,0.0,0.05
fruit,24,0.02,0.02,0.0,0.2
fresh,24,0.02,0.02,0.0,0.13
selling,24,0.01,0.01,0.0,0.04
advertising,24,0.0,0.0,0.0,0.02
commercially,24,0.0,0.0,0.0,0.01
item,24,0.0,0.0,0.0,0.01
usa,24,0.0,0.0,0.0,0.01
prior,24,0.0,0.0,0.0,0.01
door,24,0.02,0.01,0.0,0.07
california,24,0.0,0.0,0.0,0.01
found,24,0.02,0.01,0.01,0.11
campbell,24,0.01,0.01,0.0,0.26
customers,24,0.01,0.0,0.0,0.02
dinner,24,0.01,0.01,0.0,0.02
fashioned,24,0.0,0.0,0.0,0.02
notably,24,0.0,0.0,0.0,0.01
countries,24,0.0,0.0,0.0,0.01
founded,24,0.01,0.0,0.0,0.02
roughly,24,0.0,0.0,0.0,0.01
locally,24,0.0,0.0,0.0,0.01
both,24,0.01,0.0,0.01,0.02
mini,24,0.01,0.01,0.0,0.09
2005,24,0.01,0.0,0.0,0.02
1999,24,0.01,0.0,0.0,0.02
variations,24,0.0,0.0,0.0,0.02
