context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
window,7,0.03,0.03,0.0,0.12
painted,7,0.01,0.0,0.0,0.01
paintings,7,0.01,0.0,0.0,0.01
flowers,7,0.01,0.01,0.0,0.02
drops,7,0.01,0.01,0.0,0.02
variety,7,0.01,0.0,0.0,0.02
note,7,0.0,0.0,0.0,0.01
harry,7,0.0,0.0,0.0,0.01
bread,7,0.01,0.01,0.0,0.03
wishes,7,0.0,0.0,0.0,0.01
bottle,6,0.07,0.07,0.0,0.35
wine,6,0.05,0.05,0.0,0.26
transparent,6,0.01,0.01,0.0,0.02
door,6,0.01,0.01,0.0,0.02
beer,6,0.11,0.1,0.0,0.4
shaped,6,0.01,0.01,0.01,0.04
glasses,6,0.01,0.01,0.0,0.03
placed,6,0.01,0.01,0.01,0.02
onto,6,0.01,0.0,0.0,0.01
designs,6,0.01,0.0,0.0,0.01
modern,6,0.01,0.0,0.0,0.01
candy,6,0.0,0.0,0.0,0.01
juice,6,0.01,0.01,0.0,0.03
colors,6,0.01,0.01,0.0,0.02
include,6,0.01,0.0,0.0,0.02
items,6,0.01,0.01,0.0,0.02
image,6,0.01,0.0,0.0,0.01
brass,6,0.01,0.01,0.0,0.02
composer,6,0.0,0.0,0.0,0.02
throws,6,0.01,0.01,0.0,0.04
cups,6,0.0,0.0,0.0,0.01
shop,6,0.02,0.01,0.0,0.05
dan,6,0.0,0.0,0.0,0.0
fit,6,0.01,0.0,0.0,0.01
attached,6,0.01,0.0,0.0,0.01
rare,6,0.0,0.0,0.0,0.01
bearing,6,0.01,0.0,0.0,0.01
drunk,6,0.01,0.01,0.0,0.03
bill,6,0.0,0.0,0.0,0.02
chair,6,0.0,0.0,0.0,0.01
peter,6,0.0,0.0,0.0,0.0
widely,6,0.0,0.0,0.0,0.01
item,6,0.01,0.0,0.0,0.01
passage,6,0.0,0.0,0.0,0.0
fairly,6,0.0,0.0,0.0,0.0
holds,6,0.0,0.0,0.0,0.01
discovery,6,0.0,0.0,0.0,0.01
olive,6,0.0,0.0,0.0,0.0
ontario,6,0.0,0.0,0.0,0.01
bees,6,0.0,0.0,0.0,0.0
sale,6,0.0,0.0,0.0,0.01
enlarged,6,0.0,0.0,0.0,0.01
assembled,6,0.0,0.0,0.0,0.01
dutch,6,0.0,0.0,0.0,0.01
handed,6,0.0,0.0,0.0,0.01
variations,6,0.0,0.0,0.0,0.01
gift,6,0.0,0.0,0.0,0.01
arthur,6,0.0,0.0,0.0,0.01
miller,6,0.0,0.0,0.0,0.01
portrait,6,0.0,0.0,0.0,0.01
ranging,6,0.0,0.0,0.0,0.01
reception,6,0.0,0.0,0.0,0.01
invited,6,0.0,0.0,0.0,0.01
burial,6,0.0,0.0,0.0,0.0
campbell,6,0.0,0.0,0.0,0.01
hold,6,0.02,0.01,0.0,0.04
dark,6,0.02,0.02,0.01,0.08
brief,6,0.0,0.0,0.0,0.01
sees,6,0.01,0.0,0.0,0.01
participants,6,0.01,0.01,0.0,0.02
she,6,0.02,0.01,0.01,0.04
placing,6,0.01,0.0,0.0,0.01
sick,6,0.01,0.0,0.0,0.01
apple,6,0.0,0.0,0.0,0.01
even,6,0.01,0.01,0.01,0.02
both,6,0.01,0.0,0.01,0.02
cap,6,0.02,0.02,0.0,0.08
missing,6,0.0,0.0,0.0,0.01
fly,6,0.01,0.01,0.0,0.02
tradition,6,0.0,0.0,0.0,0.01
charity,6,0.0,0.0,0.0,0.01
sleep,6,0.01,0.0,0.0,0.01
leave,6,0.01,0.0,0.0,0.01
frequently,6,0.0,0.0,0.0,0.01
marked,6,0.0,0.0,0.0,0.01
critics,6,0.0,0.0,0.0,0.01
memories,6,0.0,0.0,0.0,0.01
glass,5,0.07,0.07,0.01,0.17
bottles,5,0.04,0.04,0.0,0.11
ceramics,5,0.02,0.02,0.0,0.06
plate,5,0.01,0.01,0.0,0.05
looking,5,0.01,0.01,0.0,0.04
fiber,5,0.01,0.01,0.0,0.03
containers,5,0.01,0.01,0.0,0.03
wall,5,0.01,0.01,0.01,0.02
depicting,5,0.01,0.01,0.0,0.02
large,5,0.01,0.0,0.01,0.02
artist,5,0.01,0.0,0.0,0.02
breaking,5,0.01,0.01,0.0,0.01
sliding,5,0.01,0.0,0.0,0.01
mirror,5,0.01,0.0,0.0,0.01
envelope,5,0.0,0.0,0.0,0.01
slide,5,0.0,0.0,0.0,0.01
inside,5,0.02,0.01,0.01,0.03
manufacturers,5,0.01,0.0,0.0,0.01
wool,5,0.01,0.01,0.0,0.02
frames,5,0.0,0.0,0.0,0.01
production,5,0.01,0.0,0.01,0.01
drinking,5,0.03,0.03,0.0,0.07
bronze,5,0.01,0.01,0.0,0.02
quality,5,0.01,0.0,0.0,0.01
industry,5,0.0,0.0,0.0,0.01
bulb,5,0.0,0.0,0.0,0.01
illuminated,5,0.01,0.01,0.0,0.02
products,5,0.01,0.0,0.01,0.02
box,5,0.01,0.0,0.0,0.01
features,5,0.01,0.0,0.0,0.01
saint,5,0.0,0.0,0.0,0.01
smoked,5,0.0,0.0,0.0,0.01
embedded,5,0.01,0.0,0.0,0.01
alice,5,0.0,0.0,0.0,0.01
collection,5,0.01,0.0,0.0,0.01
hollow,5,0.0,0.0,0.0,0.01
inserted,5,0.01,0.01,0.0,0.01
cloth,5,0.01,0.0,0.0,0.01
bullet,5,0.0,0.0,0.0,0.0
organ,5,0.0,0.0,0.0,0.01
silver,5,0.01,0.01,0.0,0.03
typically,5,0.01,0.0,0.0,0.01
shape,5,0.01,0.01,0.0,0.03
table,5,0.01,0.01,0.0,0.02
shapes,5,0.01,0.0,0.0,0.01
contained,5,0.01,0.0,0.0,0.01
crown,5,0.0,0.0,0.0,0.01
colours,5,0.01,0.0,0.0,0.01
today,5,0.01,0.01,0.0,0.02
hatch,5,0.0,0.0,0.0,0.0
cutting,5,0.01,0.01,0.0,0.05
spin,5,0.01,0.01,0.0,0.06
allow,5,0.01,0.0,0.0,0.01
seals,5,0.0,0.0,0.0,0.01
working,5,0.0,0.0,0.0,0.01
camera,5,0.01,0.01,0.0,0.02
donated,5,0.0,0.0,0.0,0.0
sugar,5,0.01,0.0,0.0,0.01
locked,5,0.0,0.0,0.0,0.0
decorations,5,0.0,0.0,0.0,0.0
16,5,0.01,0.0,0.0,0.01
fashioned,5,0.0,0.0,0.0,0.01
foam,5,0.0,0.0,0.0,0.0
colour,5,0.01,0.01,0.0,0.03
various,5,0.01,0.0,0.0,0.01
18th,5,0.0,0.0,0.0,0.01
comfort,5,0.0,0.0,0.0,0.01
exhibits,5,0.0,0.0,0.0,0.01
distinctive,5,0.01,0.0,0.0,0.01
stored,5,0.01,0.01,0.0,0.02
bell,5,0.01,0.01,0.0,0.05
garden,5,0.01,0.01,0.0,0.03
figures,5,0.0,0.0,0.0,0.01
lid,5,0.01,0.01,0.0,0.02
oldest,5,0.0,0.0,0.0,0.0
mercury,5,0.0,0.0,0.0,0.01
coins,5,0.0,0.0,0.0,0.01
stands,5,0.0,0.0,0.0,0.01
knife,5,0.01,0.0,0.0,0.01
exhibited,5,0.0,0.0,0.0,0.01
connected,5,0.0,0.0,0.0,0.01
skeleton,5,0.0,0.0,0.0,0.01
ribbon,5,0.01,0.0,0.0,0.02
specialty,5,0.0,0.0,0.0,0.0
david,5,0.0,0.0,0.0,0.0
cuts,5,0.01,0.01,0.0,0.03
carefully,5,0.0,0.0,0.0,0.0
oval,5,0.0,0.0,0.0,0.0
ingredients,5,0.01,0.0,0.0,0.01
specially,5,0.0,0.0,0.0,0.01
characterized,5,0.0,0.0,0.0,0.01
tons,5,0.0,0.0,0.0,0.0
sided,5,0.0,0.0,0.0,0.01
cafe,5,0.01,0.01,0.0,0.03
earliest,5,0.0,0.0,0.0,0.01
halls,5,0.0,0.0,0.0,0.01
shelter,5,0.0,0.0,0.0,0.01
ad,5,0.0,0.0,0.0,0.01
elsewhere,5,0.0,0.0,0.0,0.01
piano,5,0.0,0.0,0.0,0.01
demon,5,0.01,0.0,0.0,0.01
arranged,5,0.0,0.0,0.0,0.01
museums,5,0.0,0.0,0.0,0.01
lifted,5,0.0,0.0,0.0,0.01
stronger,5,0.0,0.0,0.0,0.0
45,5,0.0,0.0,0.0,0.01
rigid,5,0.0,0.0,0.0,0.01
dining,5,0.0,0.0,0.0,0.01
technological,5,0.0,0.0,0.0,0.0
ink,5,0.01,0.01,0.0,0.05
labeled,5,0.01,0.0,0.0,0.01
identified,5,0.01,0.01,0.0,0.02
charlie,5,0.0,0.0,0.0,0.01
bamboo,5,0.0,0.0,0.0,0.0
stem,5,0.0,0.0,0.0,0.01
keeps,5,0.0,0.0,0.0,0.01
indicates,5,0.0,0.0,0.0,0.01
thicker,5,0.0,0.0,0.0,0.01
notes,5,0.0,0.0,0.0,0.01
focusing,5,0.0,0.0,0.0,0.01
traces,5,0.0,0.0,0.0,0.01
grade,5,0.0,0.0,0.0,0.0
