context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
axe,8,0.11,0.11,0.01,0.72
blade,8,0.14,0.14,0.0,0.45
hand,8,0.04,0.03,0.01,0.09
cutting,8,0.03,0.03,0.0,0.08
by,8,0.02,0.01,0.01,0.04
and,8,0.04,0.01,0.03,0.05
pulled,8,0.01,0.01,0.0,0.04
published,8,0.01,0.0,0.0,0.02
story,8,0.01,0.01,0.0,0.06
knife,8,0.13,0.13,0.01,0.45
back,8,0.02,0.01,0.01,0.06
repeatedly,8,0.01,0.01,0.0,0.04
tools,7,0.05,0.05,0.01,0.2
shaped,7,0.03,0.02,0.0,0.08
swung,7,0.01,0.01,0.0,0.06
handle,7,0.04,0.03,0.0,0.1
carving,7,0.02,0.02,0.0,0.08
spear,7,0.01,0.01,0.0,0.03
proves,7,0.01,0.01,0.0,0.03
consisted,7,0.01,0.01,0.0,0.02
marks,7,0.01,0.01,0.0,0.02
victim,7,0.01,0.01,0.0,0.02
killing,7,0.01,0.01,0.0,0.03
throughout,7,0.01,0.01,0.0,0.02
closed,7,0.01,0.0,0.0,0.02
carried,7,0.01,0.01,0.0,0.02
less,7,0.01,0.01,0.0,0.02
set,7,0.01,0.01,0.0,0.02
pre,7,0.01,0.0,0.0,0.02
12,7,0.01,0.01,0.0,0.02
original,7,0.01,0.0,0.0,0.02
made,7,0.01,0.0,0.01,0.02
his,7,0.03,0.01,0.01,0.04
were,7,0.01,0.01,0.0,0.02
throw,7,0.08,0.08,0.0,0.54
novel,7,0.01,0.01,0.0,0.02
famous,7,0.01,0.01,0.0,0.01
told,7,0.01,0.01,0.0,0.03
intelligent,7,0.01,0.01,0.0,0.02
pulls,7,0.02,0.02,0.0,0.1
fights,7,0.01,0.01,0.0,0.03
planning,7,0.0,0.0,0.0,0.01
sword,7,0.04,0.04,0.0,0.14
video,7,0.01,0.01,0.0,0.02
finds,7,0.01,0.01,0.0,0.02
several,7,0.01,0.01,0.0,0.03
usually,7,0.01,0.0,0.0,0.02
released,7,0.02,0.01,0.01,0.04
him,7,0.02,0.01,0.01,0.04
survivors,7,0.0,0.0,0.0,0.01
collaborated,7,0.0,0.0,0.0,0.01
adventure,7,0.02,0.02,0.0,0.08
weapon,7,0.03,0.03,0.0,0.07
hero,7,0.0,0.0,0.0,0.01
escapes,7,0.02,0.01,0.0,0.04
alien,7,0.01,0.01,0.0,0.01
joining,7,0.01,0.01,0.0,0.04
machines,7,0.01,0.0,0.0,0.01
author,7,0.01,0.01,0.0,0.03
enemies,7,0.01,0.01,0.0,0.02
titled,7,0.01,0.01,0.0,0.03
directed,7,0.01,0.0,0.0,0.01
father,7,0.01,0.0,0.0,0.01
me,7,0.0,0.0,0.0,0.01
fall,7,0.01,0.0,0.0,0.01
let,7,0.01,0.01,0.0,0.02
himself,7,0.01,0.01,0.0,0.02
type,7,0.01,0.0,0.0,0.01
kills,7,0.02,0.02,0.0,0.06
produced,7,0.01,0.0,0.0,0.01
pulling,7,0.01,0.01,0.0,0.02
fingers,7,0.01,0.01,0.0,0.02
hits,7,0.01,0.0,0.0,0.01
james,7,0.01,0.01,0.0,0.02
them,7,0.01,0.01,0.0,0.03
held,7,0.01,0.01,0.0,0.03
baker,7,0.0,0.0,0.0,0.02
attacks,7,0.01,0.01,0.0,0.02
bullet,7,0.01,0.01,0.0,0.01
leaving,7,0.01,0.0,0.0,0.01
discovers,7,0.01,0.0,0.0,0.01
refers,7,0.01,0.01,0.0,0.03
target,7,0.01,0.0,0.0,0.01
creates,7,0.01,0.0,0.0,0.02
destroys,7,0.0,0.0,0.0,0.02
proceeds,7,0.0,0.0,0.0,0.02
apart,7,0.01,0.01,0.0,0.04
thinks,7,0.0,0.0,0.0,0.01
capable,7,0.0,0.0,0.0,0.01
handles,6,0.04,0.04,0.0,0.17
axes,6,0.03,0.03,0.0,0.15
tool,6,0.05,0.04,0.01,0.14
blades,6,0.08,0.08,0.0,0.22
swings,6,0.02,0.02,0.0,0.06
cut,6,0.06,0.05,0.0,0.12
implements,6,0.01,0.01,0.0,0.06
timber,6,0.01,0.01,0.0,0.05
earliest,6,0.01,0.01,0.0,0.05
hammer,6,0.07,0.07,0.01,0.34
basically,6,0.01,0.01,0.0,0.05
well,6,0.01,0.01,0.01,0.03
it,6,0.02,0.01,0.01,0.03
that,6,0.03,0.01,0.02,0.05
markings,6,0.01,0.01,0.0,0.03
skull,6,0.01,0.01,0.0,0.03
indicates,6,0.01,0.01,0.0,0.03
depicted,6,0.01,0.01,0.0,0.02
designs,6,0.01,0.01,0.0,0.02
pull,6,0.01,0.01,0.0,0.02
viewed,6,0.01,0.0,0.0,0.02
damaged,6,0.01,0.01,0.0,0.02
thin,6,0.01,0.01,0.0,0.03
relatively,6,0.01,0.01,0.0,0.02
bone,6,0.01,0.01,0.0,0.02
art,6,0.01,0.01,0.0,0.02
japanese,6,0.01,0.01,0.0,0.02
western,6,0.01,0.01,0.0,0.03
shape,6,0.01,0.01,0.0,0.03
design,6,0.01,0.01,0.0,0.02
saw,6,0.01,0.01,0.0,0.03
open,6,0.01,0.01,0.0,0.02
head,6,0.01,0.01,0.01,0.02
single,6,0.02,0.02,0.01,0.05
similar,6,0.01,0.0,0.0,0.02
together,6,0.01,0.0,0.0,0.02
sometimes,6,0.01,0.01,0.0,0.02
have,6,0.01,0.01,0.01,0.02
long,6,0.02,0.01,0.01,0.03
from,6,0.02,0.01,0.01,0.02
punch,6,0.03,0.03,0.0,0.12
aware,6,0.01,0.01,0.0,0.02
dark,6,0.01,0.01,0.0,0.02
self,6,0.02,0.01,0.01,0.02
novels,6,0.01,0.01,0.0,0.02
arrows,6,0.01,0.0,0.0,0.02
martial,6,0.01,0.01,0.0,0.02
rifle,6,0.01,0.01,0.0,0.02
weapons,6,0.01,0.01,0.01,0.02
with,6,0.03,0.02,0.02,0.06
garcia,6,0.0,0.0,0.0,0.01
colt,6,0.01,0.0,0.0,0.01
cowboy,6,0.0,0.0,0.0,0.01
draws,6,0.01,0.01,0.0,0.02
learns,6,0.01,0.01,0.0,0.01
her,6,0.02,0.01,0.01,0.05
which,6,0.01,0.01,0.01,0.02
husband,6,0.01,0.0,0.0,0.01
known,6,0.01,0.0,0.01,0.02
nickname,6,0.01,0.0,0.0,0.01
ready,6,0.01,0.01,0.0,0.03
classic,6,0.01,0.0,0.0,0.01
ray,6,0.01,0.01,0.0,0.02
described,6,0.01,0.0,0.0,0.01
soon,6,0.0,0.0,0.0,0.01
latter,6,0.01,0.0,0.0,0.01
before,6,0.01,0.0,0.0,0.01
so,6,0.01,0.01,0.01,0.03
did,6,0.01,0.0,0.0,0.01
if,6,0.01,0.0,0.01,0.01
flees,6,0.01,0.01,0.0,0.02
confronted,6,0.01,0.01,0.0,0.02
swinging,6,0.0,0.0,0.0,0.01
traps,6,0.0,0.0,0.0,0.01
protagonist,6,0.0,0.0,0.0,0.01
overcome,6,0.0,0.0,0.0,0.01
parody,6,0.0,0.0,0.0,0.01
borrowed,6,0.0,0.0,0.0,0.01
enemy,6,0.01,0.0,0.0,0.01
kid,6,0.01,0.01,0.0,0.03
combat,6,0.02,0.02,0.0,0.06
pounds,6,0.0,0.0,0.0,0.01
relocated,6,0.0,0.0,0.0,0.01
gang,6,0.08,0.08,0.0,0.45
origin,6,0.0,0.0,0.0,0.02
guards,6,0.0,0.0,0.0,0.01
likes,6,0.0,0.0,0.0,0.01
actor,6,0.0,0.0,0.0,0.01
sequel,6,0.01,0.01,0.0,0.02
tell,6,0.0,0.0,0.0,0.01
rising,6,0.0,0.0,0.0,0.01
documentary,6,0.0,0.0,0.0,0.01
hollywood,6,0.0,0.0,0.0,0.01
castle,6,0.0,0.0,0.0,0.01
jean,6,0.0,0.0,0.0,0.01
someone,6,0.01,0.0,0.0,0.01
arrives,6,0.01,0.01,0.0,0.02
forcing,6,0.0,0.0,0.0,0.01
connection,6,0.0,0.0,0.0,0.01
noticed,6,0.0,0.0,0.0,0.01
revived,6,0.0,0.0,0.0,0.01
monster,6,0.0,0.0,0.0,0.01
1978,6,0.0,0.0,0.0,0.01
capture,6,0.01,0.0,0.0,0.02
frequent,6,0.0,0.0,0.0,0.01
1930s,6,0.0,0.0,0.0,0.01
missing,6,0.0,0.0,0.0,0.01
2016,6,0.01,0.01,0.0,0.04
wanted,6,0.0,0.0,0.0,0.01
employed,6,0.0,0.0,0.0,0.01
attack,6,0.01,0.01,0.01,0.03
holds,6,0.01,0.0,0.0,0.02
tracks,6,0.0,0.0,0.0,0.01
machine,6,0.01,0.0,0.0,0.01
beat,6,0.0,0.0,0.0,0.01
shot,6,0.01,0.01,0.0,0.02
inspired,6,0.0,0.0,0.0,0.0
ran,6,0.0,0.0,0.0,0.01
carry,6,0.0,0.0,0.0,0.01
longer,6,0.0,0.0,0.0,0.01
actually,6,0.0,0.0,0.0,0.01
primarily,6,0.01,0.01,0.0,0.06
close,6,0.01,0.0,0.0,0.01
perhaps,6,0.0,0.0,0.0,0.0
2012,6,0.0,0.0,0.0,0.01
versions,6,0.0,0.0,0.0,0.01
fire,6,0.01,0.0,0.0,0.01
hands,6,0.01,0.01,0.0,0.02
holding,6,0.01,0.01,0.0,0.04
every,6,0.01,0.01,0.0,0.03
even,6,0.01,0.0,0.0,0.01
days,6,0.0,0.0,0.0,0.01
war,6,0.01,0.01,0.0,0.03
popular,6,0.0,0.0,0.0,0.0
early,6,0.01,0.0,0.0,0.01
slowly,6,0.0,0.0,0.0,0.01
person,6,0.01,0.01,0.0,0.04
see,6,0.0,0.0,0.0,0.01
giving,6,0.01,0.01,0.0,0.03
own,6,0.01,0.0,0.0,0.01
takes,6,0.01,0.01,0.0,0.02
makes,6,0.01,0.0,0.0,0.01
about,6,0.01,0.0,0.0,0.01
make,6,0.01,0.01,0.0,0.02
later,6,0.01,0.01,0.0,0.03
blows,6,0.01,0.01,0.0,0.04
pistol,6,0.02,0.02,0.0,0.05
film,6,0.01,0.01,0.0,0.03
on,6,0.02,0.01,0.01,0.02
out,6,0.02,0.01,0.01,0.03
exposed,6,0.01,0.01,0.0,0.03
at,6,0.02,0.01,0.01,0.05
hard,6,0.01,0.0,0.0,0.01
glass,6,0.01,0.01,0.0,0.03
when,6,0.02,0.02,0.01,0.07
down,6,0.02,0.01,0.01,0.03
she,6,0.02,0.01,0.01,0.03
world,6,0.01,0.0,0.0,0.01
doc,6,0.0,0.0,0.0,0.01
pointed,6,0.01,0.01,0.0,0.03
uses,6,0.01,0.01,0.0,0.02
crack,6,0.0,0.0,0.0,0.01
just,6,0.01,0.0,0.0,0.01
piece,6,0.01,0.01,0.0,0.01
name,6,0.01,0.01,0.0,0.03
pushing,6,0.0,0.0,0.0,0.01
ghost,6,0.01,0.01,0.0,0.01
destroy,6,0.01,0.01,0.0,0.01
kill,6,0.02,0.02,0.0,0.05
stolen,6,0.01,0.01,0.0,0.04
1984,6,0.0,0.0,0.0,0.01
stanley,6,0.01,0.01,0.0,0.02
tries,6,0.01,0.01,0.0,0.02
retrieve,6,0.01,0.01,0.0,0.01
filmed,6,0.0,0.0,0.0,0.01
1983,6,0.0,0.0,0.0,0.0
charles,6,0.0,0.0,0.0,0.0
reveals,6,0.01,0.01,0.0,0.03
follow,6,0.01,0.0,0.0,0.01
than,6,0.01,0.0,0.0,0.01
pressed,6,0.0,0.0,0.0,0.01
fred,6,0.01,0.01,0.0,0.01
item,6,0.01,0.01,0.0,0.04
lifted,6,0.0,0.0,0.0,0.02
my,6,0.01,0.0,0.0,0.01
dvd,6,0.0,0.0,0.0,0.01
earlier,6,0.0,0.0,0.0,0.01
toy,6,0.01,0.0,0.0,0.02
away,6,0.01,0.01,0.0,0.02
mother,6,0.0,0.0,0.0,0.01
1982,6,0.0,0.0,0.0,0.02
killer,6,0.01,0.0,0.0,0.01
shock,6,0.01,0.0,0.0,0.01
hiding,6,0.01,0.01,0.0,0.04
special,6,0.01,0.01,0.0,0.03
ca,6,0.01,0.01,0.0,0.04
saying,6,0.0,0.0,0.0,0.01
23,6,0.01,0.0,0.0,0.01
cannot,6,0.01,0.01,0.0,0.03
prepares,6,0.01,0.01,0.0,0.03
looks,6,0.0,0.0,0.0,0.01
attention,6,0.0,0.0,0.0,0.0
adapted,6,0.0,0.0,0.0,0.01
mask,6,0.01,0.0,0.0,0.01
razor,6,0.05,0.05,0.0,0.24
causing,6,0.01,0.0,0.0,0.01
scores,6,0.0,0.0,0.0,0.0
room,6,0.01,0.0,0.0,0.01
hidden,6,0.01,0.01,0.0,0.02
duo,6,0.01,0.0,0.0,0.02
asked,6,0.01,0.01,0.0,0.03
feels,6,0.01,0.0,0.0,0.01
effort,6,0.0,0.0,0.0,0.0
appears,6,0.01,0.01,0.0,0.03
rocket,6,0.01,0.01,0.0,0.05
whom,6,0.01,0.01,0.0,0.03
opens,6,0.01,0.0,0.0,0.01
fix,6,0.01,0.01,0.0,0.04
herself,6,0.01,0.01,0.0,0.02
paper,6,0.01,0.01,0.0,0.03
boss,6,0.01,0.01,0.0,0.06
evolved,6,0.0,0.0,0.0,0.0
wire,6,0.01,0.01,0.0,0.04
purchase,6,0.0,0.0,0.0,0.01
hanging,6,0.0,0.0,0.0,0.01
describe,6,0.0,0.0,0.0,0.01
nick,6,0.0,0.0,0.0,0.01
sam,6,0.01,0.0,0.0,0.01
