context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
she,41,0.07,0.05,0.02,0.3
woman,40,0.03,0.02,0.01,0.15
herself,40,0.03,0.03,0.0,0.15
beautiful,38,0.03,0.03,0.0,0.18
her,35,0.09,0.06,0.03,0.31
sister,35,0.03,0.02,0.01,0.11
lady,35,0.05,0.04,0.01,0.24
appeared,34,0.01,0.01,0.01,0.04
women,34,0.01,0.01,0.0,0.05
character,33,0.03,0.02,0.01,0.11
love,33,0.03,0.02,0.01,0.09
story,33,0.02,0.02,0.01,0.13
female,33,0.02,0.01,0.01,0.06
so,32,0.01,0.01,0.01,0.06
novel,32,0.02,0.01,0.0,0.15
drama,32,0.01,0.01,0.0,0.04
alice,31,0.02,0.02,0.0,0.06
seen,31,0.01,0.01,0.0,0.03
mistress,31,0.04,0.03,0.0,0.32
princess,31,0.03,0.02,0.01,0.08
favorite,31,0.01,0.01,0.0,0.19
beauty,31,0.02,0.02,0.0,0.08
actress,30,0.03,0.03,0.01,0.11
it,30,0.02,0.01,0.01,0.06
never,30,0.01,0.01,0.0,0.02
like,30,0.02,0.01,0.01,0.05
grandmother,30,0.03,0.03,0.0,0.19
seems,30,0.01,0.01,0.0,0.02
little,30,0.02,0.01,0.01,0.11
becomes,29,0.02,0.01,0.01,0.05
kate,29,0.02,0.01,0.0,0.1
meets,29,0.02,0.01,0.01,0.06
but,29,0.02,0.01,0.01,0.06
mary,29,0.04,0.03,0.01,0.11
written,29,0.01,0.01,0.01,0.02
called,29,0.02,0.01,0.01,0.06
play,29,0.02,0.01,0.01,0.07
characters,29,0.01,0.01,0.0,0.04
once,29,0.01,0.01,0.0,0.03
looks,29,0.01,0.01,0.0,0.04
into,29,0.01,0.01,0.01,0.02
appearance,29,0.01,0.01,0.0,0.03
the,29,0.09,0.03,0.06,0.17
mother,28,0.08,0.06,0.02,0.52
girl,28,0.04,0.03,0.01,0.27
finds,28,0.02,0.01,0.01,0.04
daughter,28,0.05,0.03,0.01,0.13
hannah,28,0.01,0.01,0.0,0.06
getting,28,0.01,0.01,0.0,0.04
eve,28,0.01,0.01,0.0,0.09
four,28,0.01,0.01,0.01,0.04
titled,28,0.01,0.01,0.0,0.07
maid,28,0.03,0.02,0.0,0.3
rose,28,0.01,0.01,0.0,0.03
heart,28,0.01,0.01,0.0,0.03
mrs,28,0.04,0.03,0.0,0.27
sisters,28,0.02,0.01,0.0,0.07
queen,28,0.03,0.03,0.01,0.13
with,27,0.04,0.02,0.02,0.08
that,27,0.03,0.02,0.02,0.11
betty,27,0.02,0.02,0.0,0.1
one,27,0.03,0.01,0.02,0.08
goes,27,0.02,0.02,0.0,0.17
they,27,0.02,0.01,0.01,0.05
marie,27,0.02,0.02,0.0,0.06
starred,27,0.02,0.02,0.01,0.07
role,27,0.03,0.02,0.01,0.12
girls,27,0.02,0.01,0.0,0.06
over,27,0.01,0.01,0.01,0.08
hair,27,0.02,0.01,0.0,0.16
some,27,0.01,0.01,0.0,0.04
version,27,0.02,0.02,0.0,0.09
debut,27,0.01,0.01,0.0,0.04
set,27,0.01,0.01,0.0,0.03
margaret,27,0.03,0.03,0.0,0.11
wonderful,27,0.01,0.01,0.0,0.02
dress,27,0.02,0.02,0.0,0.19
appear,27,0.01,0.01,0.0,0.05
madame,27,0.02,0.02,0.0,0.18
given,27,0.01,0.01,0.0,0.04
old,26,0.09,0.06,0.03,0.39
my,26,0.03,0.02,0.01,0.13
sarah,26,0.02,0.02,0.0,0.06
had,26,0.03,0.02,0.01,0.06
lucy,26,0.02,0.02,0.0,0.05
marries,26,0.02,0.02,0.0,0.06
marrying,26,0.02,0.01,0.0,0.05
film,26,0.03,0.02,0.01,0.15
star,26,0.01,0.01,0.01,0.05
anne,26,0.03,0.03,0.0,0.11
appears,26,0.01,0.01,0.0,0.05
agrees,26,0.01,0.01,0.0,0.03
esther,26,0.01,0.01,0.0,0.05
comedy,26,0.02,0.01,0.01,0.07
takes,26,0.01,0.01,0.0,0.05
see,26,0.01,0.01,0.0,0.03
series,26,0.02,0.02,0.01,0.15
before,26,0.01,0.0,0.01,0.02
inspired,26,0.01,0.01,0.0,0.03
miss,26,0.03,0.02,0.0,0.28
make,26,0.01,0.0,0.0,0.02
take,26,0.01,0.01,0.0,0.04
five,26,0.01,0.01,0.01,0.05
sophia,26,0.01,0.01,0.0,0.06
turned,26,0.01,0.01,0.0,0.03
mentioned,26,0.01,0.0,0.0,0.02
entitled,26,0.01,0.01,0.0,0.02
virgin,26,0.01,0.01,0.0,0.04
eyes,26,0.01,0.01,0.0,0.05
wives,26,0.01,0.01,0.0,0.05
selling,26,0.01,0.01,0.0,0.02
tales,26,0.01,0.01,0.0,0.05
maiden,26,0.01,0.01,0.0,0.11
place,26,0.01,0.0,0.0,0.02
amy,25,0.01,0.01,0.0,0.06
wife,25,0.05,0.03,0.01,0.15
discovers,25,0.02,0.01,0.01,0.04
song,25,0.03,0.02,0.01,0.13
tells,25,0.02,0.01,0.01,0.08
by,25,0.04,0.01,0.02,0.06
jane,25,0.03,0.02,0.0,0.08
donna,25,0.01,0.01,0.0,0.04
whom,25,0.02,0.01,0.01,0.06
sally,25,0.01,0.01,0.0,0.03
after,25,0.02,0.01,0.01,0.05
about,25,0.02,0.01,0.01,0.03
begins,25,0.01,0.01,0.0,0.05
night,25,0.01,0.01,0.01,0.04
nurse,25,0.01,0.01,0.0,0.04
lover,25,0.02,0.02,0.01,0.11
portrayed,25,0.02,0.01,0.01,0.04
bed,25,0.02,0.01,0.0,0.14
upset,25,0.01,0.01,0.0,0.03
which,25,0.02,0.01,0.01,0.04
have,25,0.02,0.01,0.01,0.04
half,25,0.02,0.01,0.01,0.04
or,25,0.03,0.02,0.01,0.07
secretly,25,0.01,0.01,0.0,0.02
sends,25,0.01,0.01,0.0,0.04
birth,25,0.02,0.01,0.01,0.1
though,25,0.01,0.01,0.0,0.02
dorothy,25,0.02,0.02,0.0,0.05
much,25,0.01,0.0,0.0,0.03
sweet,25,0.01,0.01,0.0,0.07
wrote,25,0.01,0.01,0.01,0.04
belle,25,0.01,0.01,0.0,0.05
wishes,25,0.01,0.01,0.0,0.02
witch,25,0.03,0.03,0.0,0.28
marriage,25,0.03,0.02,0.01,0.09
took,25,0.01,0.01,0.01,0.03
taking,25,0.01,0.01,0.0,0.03
next,25,0.01,0.0,0.0,0.02
dancing,25,0.01,0.01,0.0,0.05
side,25,0.01,0.01,0.0,0.03
may,25,0.01,0.0,0.01,0.03
fair,25,0.01,0.01,0.0,0.09
portrayal,25,0.02,0.01,0.0,0.1
final,25,0.01,0.01,0.0,0.09
appearing,25,0.01,0.01,0.0,0.03
portrays,25,0.01,0.0,0.0,0.02
aunt,25,0.02,0.02,0.01,0.06
silent,25,0.01,0.01,0.0,0.12
issue,25,0.01,0.01,0.0,0.06
noble,25,0.01,0.01,0.0,0.02
live,24,0.03,0.02,0.01,0.13
rachel,24,0.02,0.02,0.0,0.1
rita,24,0.01,0.01,0.0,0.04
prostitute,24,0.03,0.03,0.0,0.24
eva,24,0.01,0.01,0.0,0.04
nina,24,0.01,0.01,0.0,0.04
lily,24,0.02,0.01,0.0,0.09
out,24,0.01,0.01,0.01,0.03
ruby,24,0.02,0.01,0.0,0.16
julia,24,0.02,0.01,0.0,0.04
rebecca,24,0.01,0.01,0.0,0.04
whose,24,0.02,0.01,0.01,0.04
two,24,0.03,0.01,0.01,0.04
visits,24,0.01,0.01,0.0,0.05
now,24,0.01,0.01,0.01,0.02
joan,24,0.02,0.02,0.0,0.06
kay,24,0.01,0.01,0.0,0.03
cast,24,0.01,0.01,0.0,0.06
dating,24,0.01,0.01,0.0,0.06
child,24,0.03,0.02,0.01,0.1
together,24,0.01,0.01,0.0,0.04
jo,24,0.02,0.01,0.0,0.14
grace,24,0.01,0.01,0.0,0.03
makes,24,0.01,0.01,0.0,0.06
artist,24,0.02,0.01,0.01,0.05
other,24,0.01,0.01,0.01,0.03
well,24,0.02,0.01,0.01,0.05
short,24,0.01,0.01,0.0,0.04
gave,24,0.01,0.01,0.0,0.04
dream,24,0.01,0.01,0.0,0.04
class,24,0.03,0.02,0.01,0.12
middle,24,0.02,0.01,0.0,0.15
children,24,0.03,0.02,0.01,0.12
helena,24,0.02,0.02,0.0,0.15
white,24,0.02,0.01,0.01,0.07
mysterious,24,0.01,0.01,0.0,0.07
way,24,0.01,0.0,0.0,0.03
still,24,0.01,0.01,0.0,0.03
martha,24,0.02,0.02,0.0,0.05
green,24,0.01,0.0,0.0,0.03
apparently,24,0.01,0.01,0.0,0.03
finally,24,0.01,0.0,0.0,0.02
fashion,24,0.01,0.01,0.0,0.09
opposite,24,0.01,0.01,0.0,0.06
book,24,0.02,0.01,0.01,0.06
