context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
include,55,0.01,0.01,0.0,0.07
watermelon,54,0.04,0.04,0.0,0.65
orange,51,0.04,0.03,0.0,0.31
locally,49,0.01,0.0,0.0,0.03
north,48,0.01,0.01,0.0,0.03
home,48,0.01,0.01,0.0,0.05
of,48,0.03,0.01,0.02,0.09
red,48,0.02,0.02,0.0,0.13
today,48,0.01,0.0,0.0,0.02
fruit,47,0.08,0.07,0.01,0.49
cherry,47,0.05,0.05,0.01,0.62
juice,47,0.11,0.1,0.01,0.69
formerly,47,0.0,0.0,0.0,0.02
island,46,0.01,0.01,0.0,0.07
native,46,0.01,0.01,0.0,0.04
park,46,0.01,0.01,0.0,0.03
grape,46,0.04,0.04,0.0,0.34
pineapple,46,0.04,0.04,0.0,0.35
pink,46,0.02,0.01,0.0,0.09
berry,45,0.03,0.02,0.0,0.28
strawberry,45,0.04,0.03,0.01,0.27
melon,45,0.05,0.04,0.0,0.48
around,45,0.01,0.0,0.0,0.02
side,45,0.01,0.0,0.0,0.05
style,45,0.01,0.0,0.0,0.05
raspberry,44,0.03,0.03,0.0,0.17
fruits,44,0.04,0.03,0.01,0.21
pear,44,0.03,0.03,0.0,0.18
at,44,0.01,0.01,0.01,0.04
primarily,44,0.01,0.0,0.0,0.02
especially,44,0.0,0.0,0.0,0.01
century,44,0.01,0.01,0.0,0.09
papaya,44,0.05,0.05,0.0,0.4
apple,44,0.05,0.04,0.01,0.31
best,44,0.01,0.0,0.0,0.05
commonly,44,0.01,0.01,0.0,0.06
year,44,0.01,0.01,0.01,0.05
part,43,0.01,0.0,0.0,0.03
it,43,0.01,0.01,0.01,0.05
grow,43,0.01,0.01,0.0,0.04
along,43,0.01,0.0,0.0,0.02
citrus,43,0.03,0.03,0.0,0.2
as,43,0.02,0.01,0.01,0.04
previously,43,0.0,0.0,0.0,0.03
garden,43,0.01,0.01,0.0,0.2
mainly,43,0.01,0.0,0.0,0.02
well,43,0.01,0.0,0.01,0.02
throughout,43,0.0,0.0,0.0,0.01
like,42,0.01,0.01,0.01,0.04
lime,42,0.04,0.04,0.0,0.29
large,42,0.01,0.0,0.0,0.04
tropical,42,0.01,0.01,0.0,0.05
referred,42,0.01,0.0,0.0,0.02
since,42,0.01,0.0,0.0,0.03
these,42,0.01,0.0,0.0,0.02
named,42,0.01,0.0,0.0,0.02
commercial,42,0.01,0.0,0.0,0.02
common,41,0.02,0.01,0.01,0.09
mango,41,0.07,0.07,0.01,0.47
grapes,41,0.03,0.02,0.0,0.13
popular,41,0.01,0.01,0.0,0.05
grapefruit,41,0.03,0.03,0.0,0.35
county,41,0.01,0.01,0.0,0.34
30,41,0.0,0.0,0.0,0.03
present,41,0.0,0.0,0.0,0.02
while,41,0.01,0.0,0.0,0.02
banana,41,0.05,0.05,0.01,0.25
pomegranate,41,0.03,0.02,0.0,0.29
juices,41,0.02,0.01,0.0,0.12
