context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
cucumber,11,0.07,0.06,0.01,0.31
okra,11,0.05,0.05,0.0,0.37
dish,10,0.04,0.02,0.01,0.12
watermelon,10,0.02,0.02,0.0,0.09
potato,10,0.06,0.04,0.02,0.14
potatoes,10,0.04,0.03,0.02,0.1
corn,10,0.04,0.02,0.02,0.07
salads,10,0.01,0.01,0.0,0.04
cucumbers,10,0.01,0.01,0.0,0.03
dishes,9,0.04,0.03,0.01,0.12
vegetables,9,0.08,0.06,0.04,0.19
items,9,0.01,0.01,0.0,0.03
book,9,0.01,0.01,0.0,0.03
since,9,0.01,0.01,0.0,0.03
variety,9,0.01,0.01,0.01,0.03
dinner,9,0.01,0.01,0.0,0.02
plants,9,0.02,0.01,0.01,0.06
include,9,0.01,0.01,0.01,0.01
tomato,9,0.14,0.13,0.02,0.34
melon,9,0.03,0.03,0.0,0.14
eggplant,9,0.15,0.14,0.01,0.78
squash,9,0.11,0.1,0.0,0.5
zucchini,9,0.03,0.03,0.0,0.08
tomatoes,9,0.07,0.06,0.02,0.28
beans,9,0.09,0.07,0.02,0.25
soup,9,0.09,0.07,0.02,0.25
spinach,9,0.04,0.03,0.02,0.06
papaya,9,0.01,0.01,0.0,0.03
varieties,9,0.02,0.01,0.01,0.03
cultivars,9,0.01,0.01,0.0,0.03
such,9,0.01,0.01,0.01,0.02
vegetable,9,0.04,0.03,0.01,0.1
green,9,0.03,0.02,0.01,0.05
similar,9,0.01,0.0,0.01,0.01
native,9,0.01,0.01,0.0,0.04
shrimp,9,0.01,0.01,0.0,0.02
indigenous,9,0.01,0.01,0.0,0.03
garden,9,0.03,0.03,0.0,0.2
around,9,0.01,0.0,0.0,0.01
vegetarian,8,0.01,0.01,0.0,0.04
chicken,8,0.03,0.02,0.01,0.06
botanical,8,0.01,0.01,0.0,0.02
seafood,8,0.02,0.01,0.0,0.04
menu,8,0.01,0.01,0.0,0.02
salad,8,0.04,0.03,0.01,0.1
farm,8,0.02,0.01,0.01,0.04
part,8,0.01,0.0,0.0,0.02
served,8,0.01,0.01,0.0,0.03
fried,8,0.06,0.04,0.02,0.18
small,8,0.01,0.01,0.01,0.02
it,8,0.02,0.01,0.01,0.04
banana,8,0.03,0.03,0.01,0.14
pumpkin,8,0.08,0.08,0.0,0.34
taste,8,0.01,0.01,0.01,0.03
peppers,8,0.04,0.03,0.01,0.11
plant,8,0.02,0.01,0.01,0.06
maize,8,0.03,0.02,0.01,0.06
soups,8,0.02,0.02,0.0,0.1
tobacco,8,0.02,0.01,0.01,0.05
pumpkins,8,0.02,0.02,0.0,0.06
junior,8,0.02,0.02,0.0,0.07
tuna,8,0.01,0.01,0.0,0.02
affects,8,0.01,0.0,0.0,0.01
roast,8,0.01,0.01,0.0,0.02
fields,8,0.02,0.01,0.01,0.04
egg,8,0.01,0.01,0.01,0.04
taro,8,0.01,0.01,0.0,0.06
leeks,8,0.01,0.01,0.0,0.04
seems,8,0.0,0.0,0.0,0.02
stir,8,0.01,0.01,0.0,0.02
pest,8,0.01,0.01,0.0,0.04
yam,8,0.01,0.01,0.0,0.04
farms,8,0.02,0.01,0.0,0.05
built,8,0.01,0.0,0.0,0.01
widely,8,0.01,0.0,0.0,0.01
working,8,0.0,0.0,0.0,0.0
winter,8,0.01,0.0,0.0,0.01
grown,8,0.02,0.01,0.01,0.04
steamed,8,0.01,0.01,0.0,0.02
turned,8,0.0,0.0,0.0,0.01
started,8,0.0,0.0,0.0,0.01
hosts,8,0.01,0.0,0.0,0.02
further,8,0.0,0.0,0.0,0.01
meat,7,0.04,0.03,0.01,0.11
west,7,0.01,0.01,0.0,0.03
curry,7,0.02,0.01,0.01,0.04
etc,7,0.01,0.01,0.0,0.03
viruses,7,0.01,0.01,0.0,0.03
farmland,7,0.01,0.01,0.0,0.03
supermarkets,7,0.01,0.01,0.0,0.02
meats,7,0.01,0.01,0.0,0.03
pickles,7,0.03,0.02,0.0,0.09
website,7,0.01,0.0,0.0,0.02
hop,7,0.01,0.01,0.0,0.02
prepare,7,0.01,0.01,0.0,0.02
competition,7,0.01,0.01,0.0,0.02
sell,7,0.01,0.0,0.0,0.02
nickname,7,0.01,0.0,0.0,0.02
goes,7,0.01,0.01,0.0,0.02
pure,7,0.01,0.01,0.0,0.03
both,7,0.01,0.0,0.0,0.02
referred,7,0.01,0.01,0.0,0.02
side,7,0.01,0.01,0.0,0.02
cuisine,7,0.01,0.01,0.01,0.02
these,7,0.01,0.01,0.0,0.02
combination,7,0.01,0.0,0.0,0.02
grow,7,0.01,0.01,0.0,0.02
at,7,0.01,0.0,0.01,0.02
name,7,0.01,0.01,0.01,0.02
its,7,0.01,0.0,0.01,0.01
pickled,7,0.06,0.06,0.01,0.26
gourd,7,0.04,0.04,0.01,0.13
carrot,7,0.04,0.02,0.02,0.09
carrots,7,0.03,0.02,0.01,0.06
juice,7,0.05,0.05,0.01,0.16
brinjal,7,0.04,0.04,0.01,0.16
species,7,0.02,0.01,0.01,0.05
sweet,7,0.04,0.02,0.02,0.05
crops,7,0.06,0.03,0.03,0.13
edible,7,0.03,0.02,0.01,0.05
asparagus,7,0.1,0.1,0.01,0.62
ingredients,7,0.03,0.01,0.02,0.04
dried,7,0.03,0.01,0.01,0.06
family,7,0.01,0.01,0.01,0.03
melons,7,0.01,0.01,0.0,0.03
cultivated,7,0.02,0.01,0.01,0.04
or,7,0.02,0.01,0.02,0.04
growers,7,0.04,0.03,0.01,0.06
chili,7,0.03,0.02,0.01,0.05
known,7,0.02,0.01,0.01,0.02
harvested,7,0.01,0.01,0.01,0.02
turnip,7,0.01,0.01,0.01,0.02
seedlings,7,0.01,0.01,0.0,0.02
rot,7,0.01,0.01,0.0,0.02
capsicum,7,0.02,0.02,0.0,0.08
farming,7,0.02,0.02,0.01,0.07
beetroot,7,0.01,0.01,0.01,0.04
pests,7,0.01,0.01,0.0,0.02
pear,7,0.01,0.01,0.0,0.02
leaf,7,0.02,0.02,0.01,0.05
made,7,0.01,0.0,0.01,0.02
like,7,0.01,0.01,0.01,0.04
olives,7,0.01,0.01,0.0,0.02
harvest,7,0.02,0.01,0.01,0.03
radishes,7,0.01,0.01,0.0,0.03
buffalo,7,0.0,0.0,0.0,0.01
delicacy,7,0.01,0.01,0.0,0.03
pacific,7,0.0,0.0,0.0,0.01
largest,7,0.01,0.0,0.01,0.01
red,7,0.02,0.01,0.01,0.04
fries,7,0.02,0.02,0.01,0.05
zealand,7,0.01,0.0,0.0,0.01
japan,7,0.0,0.0,0.0,0.01
examples,7,0.0,0.0,0.0,0.01
farmer,7,0.01,0.01,0.0,0.02
sized,7,0.0,0.0,0.0,0.01
host,7,0.01,0.0,0.0,0.01
pea,7,0.03,0.03,0.01,0.07
southern,7,0.01,0.01,0.0,0.02
deep,7,0.01,0.0,0.0,0.01
he,7,0.01,0.0,0.01,0.01
foliage,7,0.01,0.01,0.0,0.01
infused,7,0.0,0.0,0.0,0.01
strawberries,7,0.02,0.01,0.0,0.08
herring,7,0.0,0.0,0.0,0.01
remembered,7,0.0,0.0,0.0,0.01
killer,7,0.01,0.01,0.0,0.03
domesticated,7,0.01,0.01,0.0,0.03
develops,7,0.0,0.0,0.0,0.01
wall,7,0.0,0.0,0.0,0.01
extent,7,0.01,0.01,0.0,0.02
cane,7,0.01,0.01,0.0,0.06
numerous,7,0.0,0.0,0.0,0.01
capital,7,0.01,0.0,0.0,0.02
complete,7,0.0,0.0,0.0,0.0
cause,7,0.0,0.0,0.0,0.01
today,7,0.01,0.0,0.0,0.01
substitute,7,0.01,0.0,0.0,0.01
purple,7,0.02,0.02,0.0,0.1
scale,7,0.0,0.0,0.0,0.01
great,7,0.01,0.01,0.0,0.07
spanish,7,0.01,0.0,0.0,0.01
preparation,7,0.01,0.0,0.0,0.02
full,7,0.01,0.0,0.0,0.01
states,7,0.0,0.0,0.0,0.0
north,7,0.01,0.0,0.0,0.01
annual,7,0.01,0.01,0.0,0.03
cooked,7,0.05,0.04,0.01,0.1
leaves,7,0.02,0.01,0.01,0.04
canned,7,0.02,0.02,0.0,0.05
cultivating,7,0.01,0.0,0.0,0.02
acre,7,0.01,0.01,0.0,0.01
ornamental,7,0.01,0.01,0.0,0.03
grilled,7,0.01,0.01,0.0,0.02
county,7,0.01,0.0,0.0,0.01
sugarcane,7,0.01,0.0,0.01,0.02
raised,7,0.0,0.0,0.0,0.01
locally,7,0.0,0.0,0.0,0.01
variant,7,0.01,0.0,0.0,0.01
recipes,7,0.01,0.01,0.01,0.02
roasted,7,0.02,0.01,0.01,0.04
25,7,0.01,0.01,0.0,0.02
picking,7,0.01,0.01,0.0,0.02
field,7,0.01,0.01,0.0,0.01
planting,7,0.01,0.01,0.0,0.02
worked,7,0.01,0.0,0.0,0.01
30,7,0.0,0.0,0.0,0.01
rapidly,7,0.0,0.0,0.0,0.01
1950s,7,0.0,0.0,0.0,0.01
pronounced,7,0.0,0.0,0.0,0.01
alfalfa,7,0.02,0.01,0.0,0.05
fruit,6,0.17,0.16,0.02,0.49
food,6,0.02,0.02,0.01,0.06
fish,6,0.02,0.02,0.01,0.05
cookbook,6,0.01,0.01,0.0,0.05
di,6,0.01,0.01,0.0,0.05
and,6,0.04,0.01,0.03,0.05
produce,6,0.01,0.01,0.01,0.04
indian,6,0.01,0.01,0.0,0.04
flowers,6,0.02,0.01,0.01,0.04
restaurants,6,0.01,0.01,0.0,0.04
titled,6,0.01,0.01,0.0,0.04
spicy,6,0.02,0.01,0.01,0.04
