context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
fish,17,0.07,0.06,0.01,0.25
atlantic,14,0.03,0.03,0.0,0.12
trout,13,0.15,0.15,0.01,0.48
salmon,13,0.11,0.1,0.0,0.44
freshwater,13,0.05,0.04,0.01,0.29
fishing,13,0.06,0.05,0.01,0.15
waters,12,0.02,0.02,0.0,0.12
fisheries,11,0.04,0.04,0.0,0.09
fishery,11,0.07,0.07,0.0,0.34
reach,11,0.01,0.0,0.0,0.02
rainbow,10,0.09,0.09,0.01,0.57
include,10,0.01,0.0,0.0,0.01
catch,10,0.02,0.02,0.0,0.04
fishermen,10,0.02,0.01,0.0,0.03
sea,10,0.02,0.02,0.0,0.04
commonly,10,0.01,0.0,0.0,0.01
pacific,10,0.05,0.05,0.0,0.18
catfish,10,0.04,0.04,0.01,0.13
striped,10,0.02,0.02,0.0,0.08
pike,9,0.07,0.06,0.01,0.23
stocked,9,0.03,0.02,0.0,0.16
swim,9,0.01,0.01,0.0,0.03
prefer,9,0.0,0.0,0.0,0.01
crab,9,0.02,0.02,0.0,0.09
juvenile,9,0.01,0.01,0.0,0.04
fresh,9,0.02,0.01,0.0,0.06
caught,9,0.02,0.01,0.0,0.05
bass,9,0.13,0.12,0.01,0.65
cod,8,0.25,0.25,0.0,0.61
fried,8,0.03,0.03,0.0,0.13
popular,8,0.01,0.0,0.0,0.01
eggs,8,0.01,0.01,0.0,0.03
tend,8,0.01,0.0,0.0,0.02
rich,8,0.01,0.01,0.0,0.02
commercially,8,0.01,0.01,0.0,0.08
catches,8,0.01,0.01,0.0,0.04
cold,8,0.0,0.0,0.0,0.01
abundance,8,0.01,0.01,0.0,0.03
deep,8,0.01,0.01,0.0,0.04
populations,8,0.02,0.01,0.01,0.03
catching,8,0.01,0.01,0.0,0.03
family,8,0.01,0.01,0.0,0.02
yellow,8,0.02,0.02,0.0,0.07
native,8,0.02,0.01,0.01,0.03
lake,7,0.04,0.03,0.01,0.08
lakes,7,0.01,0.01,0.0,0.03
called,7,0.02,0.01,0.01,0.04
such,7,0.01,0.01,0.01,0.02
rivers,7,0.01,0.01,0.0,0.05
abundant,7,0.01,0.01,0.0,0.03
smaller,7,0.01,0.01,0.0,0.03
stocks,7,0.02,0.02,0.0,0.06
months,7,0.0,0.0,0.0,0.01
