context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
included,45,0.01,0.0,0.0,0.03
then,40,0.01,0.0,0.0,0.02
since,40,0.0,0.0,0.0,0.01
three,39,0.01,0.01,0.0,0.12
multi,39,0.01,0.0,0.0,0.03
notable,39,0.0,0.0,0.0,0.01
home,39,0.01,0.0,0.0,0.02
initially,39,0.0,0.0,0.0,0.02
cross,38,0.01,0.0,0.0,0.03
local,38,0.01,0.01,0.0,0.03
takes,38,0.01,0.0,0.0,0.02
its,38,0.01,0.0,0.01,0.02
five,38,0.01,0.0,0.0,0.03
american,38,0.01,0.01,0.0,0.08
soon,38,0.0,0.0,0.0,0.02
by,37,0.02,0.01,0.01,0.04
features,37,0.01,0.0,0.0,0.02
full,37,0.01,0.0,0.0,0.03
early,37,0.01,0.0,0.0,0.01
broke,37,0.0,0.0,0.0,0.01
pre,37,0.01,0.0,0.0,0.01
various,37,0.0,0.0,0.0,0.01
probably,37,0.0,0.0,0.0,0.01
members,37,0.0,0.0,0.0,0.01
multiple,37,0.0,0.0,0.0,0.01
extensively,37,0.0,0.0,0.0,0.01
on,37,0.02,0.01,0.01,0.08
in,37,0.03,0.01,0.02,0.08
first,37,0.01,0.01,0.01,0.04
started,37,0.0,0.0,0.0,0.01
eight,37,0.0,0.0,0.0,0.02
times,37,0.0,0.0,0.0,0.02
plus,37,0.0,0.0,0.0,0.04
1970,37,0.0,0.0,0.0,0.03
red,37,0.03,0.02,0.01,0.1
quickly,37,0.0,0.0,0.0,0.04
designs,36,0.0,0.0,0.0,0.04
way,36,0.01,0.0,0.0,0.01
unique,36,0.0,0.0,0.0,0.01
supported,36,0.0,0.0,0.0,0.01
holds,36,0.0,0.0,0.0,0.02
section,36,0.0,0.0,0.0,0.01
done,36,0.0,0.0,0.0,0.02
retain,36,0.0,0.0,0.0,0.01
both,36,0.01,0.0,0.0,0.02
seven,36,0.0,0.0,0.0,0.01
father,36,0.01,0.01,0.0,0.06
columbia,36,0.0,0.0,0.0,0.03
upon,36,0.0,0.0,0.0,0.01
may,36,0.01,0.0,0.0,0.02
held,36,0.01,0.0,0.0,0.03
used,35,0.01,0.01,0.01,0.03
side,35,0.01,0.0,0.0,0.02
set,35,0.01,0.0,0.0,0.02
half,35,0.01,0.0,0.0,0.02
frank,35,0.0,0.0,0.0,0.01
established,35,0.0,0.0,0.0,0.01
composed,35,0.0,0.0,0.0,0.01
1930s,35,0.0,0.0,0.0,0.01
received,35,0.0,0.0,0.0,0.01
virtually,35,0.0,0.0,0.0,0.01
otherwise,35,0.0,0.0,0.0,0.01
with,35,0.02,0.01,0.01,0.04
up,35,0.01,0.01,0.01,0.05
year,35,0.02,0.01,0.01,0.04
second,35,0.01,0.0,0.0,0.02
ends,35,0.0,0.0,0.0,0.01
prior,35,0.0,0.0,0.0,0.01
until,35,0.0,0.0,0.0,0.01
although,35,0.0,0.0,0.0,0.02
minor,35,0.0,0.0,0.0,0.01
previous,35,0.0,0.0,0.0,0.01
decided,35,0.0,0.0,0.0,0.01
suggested,35,0.0,0.0,0.0,0.01
overall,35,0.0,0.0,0.0,0.01
attract,35,0.0,0.0,0.0,0.01
collective,35,0.0,0.0,0.0,0.02
fall,35,0.0,0.0,0.0,0.02
1989,35,0.0,0.0,0.0,0.02
simply,35,0.0,0.0,0.0,0.02
signature,35,0.0,0.0,0.0,0.03
difficult,35,0.0,0.0,0.0,0.01
allow,34,0.0,0.0,0.0,0.01
rather,34,0.0,0.0,0.0,0.02
brothers,34,0.0,0.0,0.0,0.01
rare,34,0.01,0.0,0.0,0.07
fourth,34,0.0,0.0,0.0,0.04
earliest,34,0.0,0.0,0.0,0.02
unusual,34,0.0,0.0,0.0,0.01
supposed,34,0.0,0.0,0.0,0.01
basically,34,0.0,0.0,0.0,0.0
loaded,34,0.0,0.0,0.0,0.03
determined,34,0.0,0.0,0.0,0.01
changes,34,0.0,0.0,0.0,0.01
termed,34,0.0,0.0,0.0,0.01
certainly,34,0.0,0.0,0.0,0.01
line,34,0.01,0.01,0.0,0.07
is,34,0.03,0.01,0.02,0.06
time,34,0.01,0.01,0.01,0.02
based,34,0.01,0.01,0.01,0.05
part,34,0.01,0.0,0.0,0.02
own,34,0.01,0.0,0.0,0.03
down,34,0.01,0.0,0.0,0.02
some,34,0.01,0.0,0.0,0.03
before,34,0.01,0.0,0.0,0.03
though,34,0.0,0.0,0.0,0.01
