context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
cabbage,9,0.1,0.09,0.02,0.33
potatoes,9,0.06,0.05,0.02,0.16
cultivated,9,0.02,0.02,0.01,0.05
pickles,9,0.02,0.01,0.0,0.04
vegetables,8,0.09,0.07,0.03,0.18
soup,8,0.16,0.14,0.02,0.61
spinach,8,0.06,0.05,0.02,0.18
peas,8,0.03,0.03,0.01,0.06
vegetable,8,0.05,0.04,0.02,0.11
varieties,8,0.02,0.02,0.01,0.04
beet,8,0.06,0.06,0.01,0.24
greens,8,0.02,0.02,0.01,0.04
seed,8,0.02,0.01,0.01,0.03
eaten,8,0.02,0.02,0.01,0.09
lettuce,7,0.07,0.06,0.01,0.18
pickled,7,0.1,0.09,0.01,0.27
tomatoes,7,0.05,0.04,0.01,0.1
radish,7,0.1,0.1,0.01,0.42
turnip,7,0.07,0.06,0.01,0.28
potato,7,0.08,0.07,0.04,0.14
tomato,7,0.1,0.08,0.02,0.25
dish,7,0.04,0.03,0.02,0.08
dishes,7,0.05,0.04,0.01,0.14
boiled,7,0.03,0.02,0.02,0.06
sour,7,0.04,0.03,0.01,0.1
ingredients,7,0.03,0.02,0.02,0.04
cooked,7,0.05,0.04,0.03,0.07
plants,7,0.02,0.01,0.01,0.05
beetroot,7,0.05,0.04,0.01,0.2
pumpkin,7,0.02,0.02,0.01,0.07
fried,7,0.05,0.03,0.02,0.1
plant,7,0.02,0.01,0.01,0.03
stew,7,0.05,0.04,0.01,0.17
grown,7,0.03,0.02,0.01,0.08
green,7,0.02,0.01,0.01,0.03
cuisine,7,0.02,0.01,0.01,0.02
garden,7,0.03,0.03,0.01,0.18
foods,7,0.01,0.01,0.01,0.03
cultivation,7,0.02,0.01,0.01,0.04
tobacco,7,0.02,0.01,0.01,0.05
commonly,7,0.01,0.01,0.01,0.03
asparagus,7,0.02,0.02,0.01,0.1
mixture,7,0.01,0.01,0.01,0.02
recipes,7,0.01,0.01,0.01,0.02
bitter,7,0.01,0.01,0.01,0.02
roots,7,0.01,0.0,0.0,0.01
spicy,7,0.02,0.02,0.01,0.05
served,7,0.01,0.0,0.0,0.01
field,7,0.01,0.0,0.0,0.01
gourd,7,0.01,0.01,0.0,0.02
chile,7,0.01,0.0,0.0,0.01
farmers,7,0.01,0.01,0.01,0.02
patch,6,0.08,0.08,0.01,0.38
cauliflower,6,0.07,0.06,0.01,0.23
stuffed,6,0.03,0.02,0.01,0.11
carrot,6,0.11,0.1,0.02,0.38
turnips,6,0.02,0.02,0.0,0.07
leaves,6,0.03,0.02,0.01,0.07
celery,6,0.03,0.02,0.01,0.07
cucumbers,6,0.03,0.02,0.0,0.07
beef,6,0.04,0.03,0.02,0.06
beets,6,0.02,0.02,0.0,0.04
salad,6,0.07,0.06,0.03,0.22
eggplant,6,0.03,0.02,0.01,0.09
root,6,0.03,0.02,0.01,0.06
bean,6,0.04,0.04,0.01,0.19
red,6,0.03,0.02,0.01,0.08
corn,6,0.03,0.01,0.02,0.03
chopped,6,0.04,0.03,0.01,0.12
rice,6,0.06,0.04,0.02,0.21
raw,6,0.02,0.02,0.01,0.03
cultivars,6,0.02,0.02,0.0,0.05
or,6,0.02,0.01,0.02,0.03
ingredient,6,0.02,0.01,0.01,0.02
steamed,6,0.01,0.01,0.0,0.02
dried,6,0.03,0.01,0.01,0.05
are,6,0.01,0.0,0.01,0.01
with,6,0.02,0.01,0.01,0.03
seedlings,6,0.01,0.01,0.0,0.02
fish,6,0.02,0.01,0.01,0.03
pest,6,0.01,0.0,0.0,0.01
include,6,0.01,0.0,0.01,0.02
variety,6,0.02,0.01,0.01,0.03
often,6,0.01,0.0,0.0,0.01
usually,6,0.01,0.01,0.0,0.03
cereals,6,0.02,0.01,0.0,0.03
etc,6,0.01,0.0,0.01,0.01
common,6,0.02,0.01,0.01,0.03
