context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
cabbage,8,0.07,0.05,0.02,0.3
cauliflower,8,0.04,0.04,0.0,0.26
spinach,8,0.04,0.03,0.01,0.09
radish,8,0.02,0.02,0.0,0.08
leaves,8,0.03,0.02,0.01,0.08
turnip,8,0.02,0.02,0.0,0.07
cucumber,8,0.04,0.04,0.0,0.13
crops,8,0.07,0.07,0.02,0.16
leaf,8,0.02,0.02,0.0,0.05
plants,8,0.03,0.03,0.0,0.08
cultivated,8,0.03,0.03,0.01,0.06
varieties,8,0.02,0.01,0.01,0.04
grown,8,0.02,0.02,0.01,0.03
leeks,8,0.01,0.01,0.0,0.02
crop,8,0.04,0.04,0.0,0.13
species,8,0.01,0.01,0.0,0.04
seeds,8,0.03,0.03,0.01,0.13
cultivation,8,0.03,0.03,0.0,0.06
edible,8,0.01,0.01,0.0,0.05
wheat,8,0.03,0.02,0.01,0.05
tobacco,8,0.02,0.02,0.0,0.06
seed,8,0.03,0.03,0.01,0.1
produce,8,0.01,0.01,0.0,0.02
agriculture,8,0.01,0.01,0.0,0.02
domesticated,8,0.01,0.0,0.0,0.01
grows,8,0.01,0.01,0.0,0.02
sunflower,8,0.01,0.01,0.01,0.04
grow,8,0.01,0.01,0.0,0.01
soil,8,0.01,0.0,0.0,0.01
farming,8,0.02,0.02,0.0,0.08
farmer,8,0.01,0.01,0.0,0.02
pure,8,0.01,0.01,0.0,0.03
watermelon,8,0.01,0.01,0.0,0.05
cotton,8,0.01,0.01,0.0,0.02
important,8,0.0,0.0,0.0,0.01
fields,8,0.01,0.01,0.0,0.02
agricultural,8,0.01,0.01,0.0,0.02
via,8,0.0,0.0,0.0,0.0
host,8,0.0,0.0,0.0,0.01
significant,8,0.0,0.0,0.0,0.0
farmers,8,0.01,0.01,0.0,0.02
patch,7,0.11,0.11,0.0,0.4
carrots,7,0.05,0.05,0.01,0.24
vegetables,7,0.07,0.05,0.02,0.17
potatoes,7,0.06,0.04,0.03,0.14
rolls,7,0.01,0.01,0.0,0.07
carrot,7,0.03,0.03,0.01,0.07
peas,7,0.02,0.02,0.01,0.06
celery,7,0.03,0.02,0.01,0.08
mushrooms,7,0.02,0.01,0.01,0.04
red,7,0.03,0.02,0.01,0.05
greens,7,0.01,0.01,0.0,0.03
beet,7,0.04,0.04,0.0,0.18
beetroot,7,0.01,0.01,0.0,0.03
pumpkin,7,0.07,0.07,0.0,0.39
wild,7,0.03,0.03,0.0,0.13
plant,7,0.02,0.01,0.01,0.03
banana,7,0.02,0.01,0.01,0.03
barley,7,0.01,0.01,0.0,0.03
grape,7,0.01,0.01,0.0,0.02
such,7,0.01,0.01,0.01,0.02
garden,7,0.03,0.03,0.0,0.19
fruits,7,0.02,0.02,0.01,0.06
squash,7,0.04,0.03,0.0,0.15
imported,7,0.01,0.01,0.0,0.02
purple,7,0.02,0.02,0.0,0.12
cassava,7,0.03,0.02,0.0,0.09
maize,7,0.03,0.01,0.01,0.05
include,7,0.01,0.0,0.01,0.01
grew,7,0.0,0.0,0.0,0.01
lentils,7,0.01,0.0,0.0,0.01
bananas,7,0.01,0.0,0.0,0.01
tissue,7,0.0,0.0,0.0,0.01
asparagus,7,0.01,0.01,0.0,0.01
growing,7,0.02,0.01,0.0,0.05
winter,7,0.01,0.01,0.0,0.01
stems,7,0.0,0.0,0.0,0.01
affects,7,0.0,0.0,0.0,0.01
farms,7,0.02,0.02,0.0,0.06
cane,7,0.01,0.01,0.0,0.05
sesame,7,0.01,0.01,0.01,0.02
damage,7,0.0,0.0,0.0,0.01
papaya,7,0.01,0.0,0.0,0.01
suggests,7,0.0,0.0,0.0,0.01
disease,7,0.01,0.01,0.0,0.02
family,7,0.01,0.0,0.0,0.01
yam,7,0.02,0.01,0.0,0.04
infection,7,0.0,0.0,0.0,0.01
indigenous,7,0.0,0.0,0.0,0.01
establish,7,0.0,0.0,0.0,0.0
pound,7,0.0,0.0,0.0,0.01
list,7,0.0,0.0,0.0,0.0
developed,7,0.0,0.0,0.0,0.01
since,7,0.0,0.0,0.0,0.01
although,7,0.0,0.0,0.0,0.01
named,7,0.01,0.0,0.0,0.01
slice,7,0.01,0.0,0.0,0.02
related,7,0.0,0.0,0.0,0.01
types,7,0.0,0.0,0.0,0.01
field,7,0.01,0.0,0.0,0.01
1914,7,0.0,0.0,0.0,0.0
health,7,0.0,0.0,0.0,0.01
evidence,7,0.0,0.0,0.0,0.0
potential,7,0.0,0.0,0.0,0.0
rarely,7,0.0,0.0,0.0,0.01
extensively,7,0.0,0.0,0.0,0.01
yield,7,0.01,0.0,0.0,0.01
lotus,7,0.0,0.0,0.0,0.01
overnight,7,0.0,0.0,0.0,0.0
termed,7,0.0,0.0,0.0,0.0
japan,7,0.0,0.0,0.0,0.0
relatively,7,0.0,0.0,0.0,0.0
1940s,7,0.0,0.0,0.0,0.0
cause,7,0.0,0.0,0.0,0.01
acre,7,0.0,0.0,0.0,0.0
widespread,7,0.0,0.0,0.0,0.01
25,7,0.01,0.0,0.0,0.02
lands,7,0.0,0.0,0.0,0.0
raised,7,0.0,0.0,0.0,0.0
respectively,7,0.0,0.0,0.0,0.0
commercially,7,0.0,0.0,0.0,0.01
causes,7,0.0,0.0,0.0,0.01
harvest,7,0.02,0.02,0.01,0.05
sugar,7,0.14,0.14,0.01,0.92
growers,7,0.03,0.03,0.0,0.05
pulp,7,0.02,0.01,0.0,0.08
acid,7,0.01,0.01,0.0,0.01
