context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
food,10,0.01,0.01,0.0,0.05
meat,9,0.09,0.08,0.0,0.4
egg,9,0.01,0.01,0.0,0.08
kitchen,8,0.05,0.05,0.0,0.21
the,8,0.05,0.02,0.03,0.08
and,8,0.03,0.01,0.02,0.04
of,8,0.03,0.02,0.01,0.04
while,8,0.01,0.01,0.0,0.02
making,8,0.01,0.01,0.0,0.03
well,8,0.01,0.01,0.0,0.02
re,8,0.02,0.01,0.01,0.03
began,8,0.01,0.01,0.0,0.04
set,8,0.01,0.01,0.0,0.03
war,8,0.01,0.0,0.0,0.01
17,8,0.01,0.01,0.0,0.02
driven,8,0.0,0.0,0.0,0.01
addition,8,0.01,0.0,0.0,0.02
free,8,0.01,0.01,0.0,0.05
salt,8,0.01,0.01,0.0,0.05
moved,8,0.0,0.0,0.0,0.01
few,8,0.01,0.0,0.0,0.02
episode,8,0.01,0.01,0.0,0.07
armed,7,0.01,0.01,0.0,0.03
then,7,0.01,0.01,0.01,0.02
leather,7,0.01,0.01,0.0,0.02
cooking,7,0.01,0.01,0.0,0.03
on,7,0.02,0.01,0.01,0.03
carry,7,0.01,0.01,0.0,0.02
long,7,0.02,0.01,0.0,0.03
known,7,0.01,0.01,0.01,0.02
down,7,0.01,0.01,0.01,0.01
leg,7,0.01,0.01,0.0,0.02
co,7,0.02,0.02,0.01,0.08
not,7,0.01,0.01,0.0,0.04
shot,7,0.01,0.01,0.0,0.02
same,7,0.01,0.0,0.0,0.01
right,7,0.01,0.01,0.01,0.02
length,7,0.01,0.01,0.0,0.05
however,7,0.01,0.01,0.0,0.02
all,7,0.01,0.01,0.0,0.02
such,7,0.01,0.01,0.0,0.02
fire,7,0.01,0.01,0.0,0.01
later,7,0.01,0.01,0.01,0.02
several,7,0.01,0.0,0.0,0.02
what,7,0.0,0.0,0.0,0.01
every,7,0.01,0.01,0.0,0.02
first,7,0.02,0.01,0.01,0.06
over,7,0.01,0.01,0.0,0.02
end,7,0.01,0.01,0.0,0.02
popular,7,0.0,0.0,0.0,0.01
implement,7,0.01,0.01,0.0,0.02
still,7,0.01,0.01,0.0,0.02
try,7,0.01,0.01,0.0,0.03
process,7,0.01,0.01,0.0,0.02
preparing,7,0.01,0.01,0.0,0.03
great,7,0.0,0.0,0.0,0.01
became,7,0.0,0.0,0.0,0.01
wright,7,0.0,0.0,0.0,0.01
generally,7,0.01,0.0,0.0,0.01
line,7,0.01,0.0,0.0,0.01
version,7,0.01,0.0,0.0,0.02
production,7,0.01,0.01,0.0,0.02
entered,7,0.0,0.0,0.0,0.01
intended,7,0.0,0.0,0.0,0.01
most,7,0.01,0.0,0.0,0.02
american,7,0.01,0.0,0.0,0.02
throughout,7,0.01,0.0,0.0,0.02
major,7,0.01,0.0,0.0,0.01
fitted,7,0.01,0.01,0.0,0.01
form,7,0.01,0.01,0.0,0.02
extra,7,0.01,0.0,0.0,0.02
refers,7,0.01,0.01,0.0,0.04
four,7,0.01,0.01,0.0,0.03
turn,7,0.01,0.01,0.0,0.02
place,7,0.01,0.01,0.0,0.02
snow,7,0.01,0.01,0.0,0.03
combined,7,0.0,0.0,0.0,0.01
its,7,0.01,0.01,0.0,0.02
states,7,0.01,0.0,0.0,0.01
much,7,0.0,0.0,0.0,0.01
serving,7,0.0,0.0,0.0,0.02
