context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
is,24,0.03,0.01,0.02,0.06
it,23,0.03,0.02,0.01,0.1
on,23,0.03,0.01,0.02,0.05
by,23,0.03,0.01,0.01,0.05
bands,22,0.01,0.01,0.0,0.05
which,22,0.02,0.01,0.01,0.06
then,22,0.02,0.01,0.01,0.05
he,20,0.03,0.02,0.01,0.09
america,20,0.01,0.0,0.0,0.03
from,20,0.02,0.01,0.01,0.05
and,19,0.05,0.01,0.03,0.07
end,19,0.01,0.01,0.0,0.03
be,19,0.05,0.04,0.01,0.53
mid,19,0.01,0.01,0.01,0.03
similar,19,0.01,0.01,0.01,0.04
known,19,0.02,0.01,0.01,0.08
an,19,0.03,0.02,0.01,0.11
with,19,0.04,0.02,0.02,0.07
as,19,0.03,0.01,0.02,0.06
point,19,0.01,0.01,0.0,0.06
before,19,0.01,0.01,0.0,0.03
decided,19,0.01,0.0,0.0,0.02
band,18,0.02,0.02,0.01,0.06
behind,18,0.02,0.01,0.0,0.08
last,18,0.01,0.01,0.0,0.03
up,18,0.03,0.02,0.01,0.07
first,18,0.02,0.01,0.01,0.04
takes,18,0.01,0.01,0.0,0.03
so,18,0.02,0.01,0.01,0.07
held,18,0.01,0.01,0.0,0.03
being,18,0.01,0.01,0.01,0.05
when,18,0.02,0.01,0.01,0.03
key,18,0.01,0.01,0.0,0.02
unlike,18,0.01,0.01,0.0,0.04
gave,18,0.01,0.01,0.0,0.05
soon,18,0.01,0.0,0.0,0.02
place,18,0.01,0.01,0.0,0.04
of,18,0.05,0.03,0.03,0.17
no,18,0.02,0.01,0.01,0.07
off,18,0.02,0.01,0.01,0.05
to,18,0.05,0.02,0.02,0.11
also,18,0.02,0.01,0.01,0.08
have,18,0.02,0.01,0.01,0.04
return,18,0.01,0.0,0.0,0.02
not,18,0.02,0.02,0.01,0.05
for,17,0.03,0.02,0.01,0.07
song,17,0.02,0.02,0.01,0.07
set,17,0.01,0.01,0.0,0.04
get,17,0.02,0.01,0.0,0.05
into,17,0.02,0.01,0.01,0.07
their,17,0.01,0.01,0.01,0.03
september,17,0.01,0.01,0.0,0.03
prior,17,0.0,0.0,0.0,0.01
own,17,0.01,0.01,0.0,0.02
after,17,0.02,0.01,0.01,0.03
hearing,17,0.0,0.0,0.0,0.01
stranger,17,0.01,0.01,0.0,0.03
dropping,17,0.01,0.01,0.0,0.05
spot,17,0.0,0.0,0.0,0.01
performing,17,0.01,0.0,0.0,0.03
runs,17,0.01,0.0,0.0,0.02
post,17,0.01,0.01,0.0,0.04
title,17,0.01,0.01,0.0,0.03
take,17,0.01,0.01,0.0,0.04
allowed,17,0.01,0.0,0.0,0.02
once,17,0.01,0.01,0.0,0.03
show,17,0.01,0.01,0.0,0.03
instead,17,0.01,0.01,0.0,0.03
him,17,0.02,0.02,0.01,0.06
member,17,0.01,0.01,0.0,0.04
canadian,17,0.01,0.01,0.0,0.05
widely,17,0.01,0.01,0.0,0.03
description,17,0.01,0.0,0.0,0.04
interesting,17,0.01,0.0,0.0,0.02
age,17,0.01,0.01,0.0,0.03
but,17,0.03,0.02,0.01,0.05
such,17,0.02,0.01,0.01,0.03
has,17,0.02,0.01,0.01,0.04
during,17,0.01,0.0,0.01,0.03
while,17,0.02,0.01,0.01,0.04
handle,17,0.01,0.01,0.0,0.03
still,17,0.01,0.01,0.0,0.04
because,17,0.01,0.01,0.0,0.03
page,17,0.01,0.01,0.0,0.04
immediately,17,0.01,0.01,0.0,0.03
taking,17,0.01,0.01,0.0,0.03
broke,17,0.01,0.01,0.0,0.04
concept,17,0.01,0.01,0.0,0.08
virtually,17,0.0,0.0,0.0,0.02
partner,17,0.01,0.01,0.0,0.04
success,17,0.0,0.0,0.0,0.01
quick,17,0.01,0.01,0.0,0.04
she,17,0.03,0.02,0.01,0.07
mike,16,0.02,0.02,0.0,0.09
sell,16,0.02,0.02,0.0,0.17
hour,16,0.01,0.01,0.0,0.03
songs,16,0.01,0.01,0.0,0.02
music,16,0.01,0.01,0.0,0.05
time,16,0.02,0.01,0.01,0.04
sold,16,0.01,0.01,0.0,0.07
same,16,0.01,0.01,0.0,0.03
titled,16,0.02,0.01,0.0,0.06
best,16,0.02,0.01,0.01,0.07
re,16,0.02,0.02,0.01,0.1
had,16,0.02,0.01,0.01,0.07
called,16,0.02,0.01,0.01,0.04
safe,16,0.01,0.01,0.0,0.02
kingdom,16,0.0,0.0,0.0,0.01
returned,16,0.01,0.0,0.0,0.01
mr,16,0.01,0.01,0.0,0.03
save,16,0.01,0.01,0.0,0.03
you,16,0.03,0.03,0.01,0.14
american,16,0.01,0.01,0.01,0.02
free,16,0.01,0.01,0.0,0.05
most,16,0.01,0.01,0.01,0.03
version,16,0.01,0.0,0.0,0.02
what,16,0.02,0.02,0.0,0.08
there,16,0.02,0.01,0.01,0.06
using,16,0.01,0.01,0.01,0.03
other,16,0.01,0.01,0.01,0.04
became,16,0.02,0.01,0.01,0.11
under,16,0.01,0.01,0.01,0.04
rescue,16,0.01,0.01,0.0,0.03
dean,16,0.01,0.0,0.0,0.05
failed,16,0.01,0.0,0.0,0.02
dvd,16,0.01,0.0,0.0,0.02
announced,16,0.0,0.0,0.0,0.02
commercial,16,0.01,0.01,0.0,0.04
everything,16,0.01,0.01,0.0,0.03
live,16,0.01,0.01,0.0,0.06
others,16,0.01,0.01,0.0,0.04
mentioned,16,0.01,0.0,0.0,0.02
associated,16,0.01,0.01,0.0,0.03
turned,16,0.01,0.01,0.0,0.03
though,16,0.01,0.01,0.0,0.03
june,16,0.0,0.0,0.0,0.01
until,16,0.01,0.0,0.0,0.02
early,16,0.01,0.01,0.0,0.03
ten,16,0.0,0.0,0.0,0.01
poem,16,0.01,0.01,0.0,0.02
independently,16,0.01,0.0,0.0,0.04
teeth,16,0.01,0.01,0.0,0.03
counterpart,16,0.01,0.0,0.0,0.04
fallen,16,0.01,0.0,0.0,0.02
recognized,16,0.0,0.0,0.0,0.01
bill,16,0.0,0.0,0.0,0.01
instance,16,0.01,0.01,0.0,0.03
them,16,0.01,0.01,0.0,0.03
type,16,0.01,0.01,0.01,0.03
face,16,0.02,0.01,0.01,0.07
that,16,0.05,0.04,0.01,0.19
was,16,0.04,0.02,0.02,0.09
new,16,0.02,0.01,0.01,0.04
world,16,0.01,0.01,0.01,0.03
all,16,0.02,0.01,0.01,0.09
connecting,16,0.01,0.01,0.0,0.04
this,16,0.03,0.02,0.01,0.1
many,16,0.01,0.01,0.0,0.02
only,16,0.02,0.01,0.01,0.05
later,16,0.01,0.01,0.01,0.03
if,16,0.02,0.01,0.0,0.05
both,16,0.01,0.01,0.0,0.02
tells,16,0.01,0.01,0.0,0.02
said,16,0.01,0.01,0.0,0.04
did,16,0.01,0.01,0.0,0.03
since,16,0.01,0.0,0.0,0.02
twenty,16,0.01,0.0,0.0,0.02
lost,16,0.01,0.01,0.0,0.04
decides,16,0.01,0.01,0.0,0.04
considered,16,0.01,0.01,0.0,0.03
gain,16,0.0,0.0,0.0,0.02
composed,16,0.01,0.0,0.0,0.02
quiet,16,0.0,0.0,0.0,0.01
stating,16,0.01,0.01,0.0,0.02
stops,16,0.01,0.01,0.0,0.04
rules,16,0.01,0.01,0.0,0.02
equally,16,0.01,0.01,0.0,0.04
amy,16,0.01,0.0,0.0,0.03
just,16,0.01,0.01,0.0,0.04
who,16,0.02,0.01,0.01,0.06
can,16,0.02,0.01,0.01,0.07
actually,16,0.01,0.01,0.0,0.02
looks,16,0.01,0.01,0.0,0.03
force,16,0.01,0.01,0.0,0.04
back,16,0.02,0.01,0.01,0.04
make,15,0.02,0.01,0.01,0.05
lightning,15,0.01,0.01,0.0,0.03
one,15,0.03,0.02,0.02,0.06
accompanying,15,0.0,0.0,0.0,0.02
single,15,0.02,0.01,0.01,0.04
