context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
bird,54,0.05,0.05,0.01,0.18
birds,53,0.04,0.04,0.0,0.31
common,45,0.03,0.03,0.0,0.27
subspecies,44,0.04,0.04,0.0,0.25
species,44,0.05,0.05,0.01,0.37
black,43,0.09,0.08,0.01,0.61
breeding,43,0.02,0.02,0.0,0.08
white,42,0.05,0.05,0.01,0.2
red,42,0.05,0.04,0.01,0.33
breeds,40,0.03,0.03,0.0,0.12
owl,40,0.04,0.04,0.0,0.58
nests,39,0.03,0.03,0.0,0.33
tailed,39,0.06,0.06,0.0,0.27
grey,39,0.02,0.02,0.0,0.18
winged,39,0.03,0.03,0.0,0.29
yellow,38,0.04,0.03,0.0,0.22
lesser,37,0.04,0.04,0.0,0.9
nest,36,0.02,0.02,0.0,0.08
dove,36,0.03,0.03,0.0,0.19
headed,34,0.03,0.03,0.0,0.35
endangered,34,0.02,0.02,0.0,0.06
feeds,34,0.01,0.01,0.0,0.1
eurasian,33,0.09,0.09,0.0,0.8
marsh,33,0.02,0.02,0.0,0.09
habitat,33,0.01,0.01,0.0,0.05
pigeon,33,0.03,0.03,0.0,0.56
goose,33,0.03,0.03,0.0,0.2
eagle,32,0.03,0.03,0.0,0.32
include,32,0.01,0.01,0.0,0.04
threatened,31,0.01,0.01,0.0,0.02
found,31,0.02,0.01,0.0,0.07
island,30,0.01,0.01,0.0,0.04
brown,30,0.01,0.01,0.0,0.04
northern,30,0.04,0.03,0.0,0.55
populations,30,0.02,0.02,0.0,0.08
rare,30,0.01,0.01,0.0,0.03
crow,30,0.04,0.03,0.0,0.35
breed,30,0.02,0.01,0.0,0.09
endemic,29,0.03,0.03,0.0,0.3
genus,29,0.03,0.02,0.01,0.1
throated,29,0.05,0.05,0.0,0.48
uss,29,0.04,0.04,0.01,0.2
call,29,0.01,0.0,0.0,0.05
islands,29,0.04,0.04,0.0,0.72
golden,29,0.03,0.02,0.0,0.17
kestrel,29,0.02,0.02,0.0,0.13
cape,29,0.01,0.01,0.0,0.14
billed,28,0.07,0.07,0.01,0.48
swallow,28,0.01,0.01,0.0,0.04
spotted,28,0.03,0.03,0.0,0.35
hawk,28,0.03,0.03,0.0,0.44
resembles,28,0.01,0.0,0.0,0.03
swan,28,0.02,0.02,0.0,0.12
formerly,28,0.01,0.0,0.0,0.03
green,28,0.03,0.02,0.0,0.28
wood,27,0.01,0.01,0.0,0.06
eats,27,0.01,0.0,0.0,0.02
distinctive,27,0.01,0.01,0.0,0.05
eyed,27,0.02,0.02,0.0,0.21
duck,27,0.12,0.12,0.0,0.87
gray,27,0.02,0.02,0.0,0.26
meaning,27,0.01,0.0,0.0,0.03
word,27,0.01,0.01,0.0,0.05
pairs,27,0.01,0.01,0.0,0.06
dark,27,0.01,0.01,0.0,0.05
robin,26,0.04,0.04,0.0,0.36
blue,26,0.02,0.02,0.0,0.1
eastern,26,0.01,0.01,0.0,0.07
conservation,26,0.01,0.01,0.0,0.05
distinct,26,0.01,0.01,0.0,0.1
backed,26,0.01,0.01,0.0,0.12
closely,26,0.01,0.01,0.0,0.08
medium,26,0.02,0.01,0.0,0.07
little,26,0.02,0.01,0.0,0.08
extinct,25,0.04,0.04,0.0,0.46
falcon,25,0.06,0.06,0.0,0.69
occurs,25,0.01,0.0,0.0,0.03
concern,25,0.01,0.0,0.0,0.04
african,25,0.01,0.01,0.0,0.08
closest,25,0.01,0.01,0.0,0.07
sized,25,0.02,0.01,0.01,0.03
relatives,25,0.01,0.01,0.0,0.03
faced,25,0.02,0.02,0.0,0.3
considered,24,0.01,0.0,0.0,0.01
like,24,0.01,0.01,0.01,0.05
south,24,0.01,0.01,0.0,0.03
fairly,24,0.01,0.01,0.0,0.08
flies,24,0.02,0.02,0.0,0.26
bat,24,0.01,0.01,0.0,0.05
turkey,24,0.01,0.01,0.0,0.07
symbol,24,0.01,0.01,0.0,0.04
greater,24,0.01,0.0,0.0,0.04
lake,24,0.02,0.01,0.0,0.07
crest,24,0.02,0.01,0.0,0.2
predators,24,0.02,0.02,0.0,0.26
population,24,0.01,0.01,0.0,0.03
ring,24,0.01,0.01,0.0,0.05
family,23,0.02,0.01,0.01,0.07
north,23,0.01,0.01,0.0,0.03
resident,23,0.01,0.0,0.0,0.02
grass,23,0.01,0.01,0.0,0.03
eggs,23,0.03,0.03,0.0,0.24
confused,23,0.01,0.0,0.0,0.04
southern,23,0.01,0.0,0.0,0.02
described,23,0.01,0.0,0.0,0.02
perhaps,23,0.0,0.0,0.0,0.03
wings,23,0.01,0.01,0.0,0.04
referring,23,0.01,0.0,0.0,0.04
observed,23,0.01,0.0,0.0,0.03
migration,23,0.01,0.01,0.0,0.05
large,23,0.01,0.01,0.0,0.02
deer,23,0.01,0.01,0.0,0.1
animals,23,0.01,0.01,0.0,0.04
asia,23,0.0,0.0,0.0,0.01
genera,23,0.01,0.01,0.0,0.07
jay,22,0.01,0.01,0.0,0.03
smallest,22,0.01,0.01,0.0,0.03
crowned,22,0.02,0.02,0.0,0.07
male,22,0.01,0.01,0.0,0.06
refer,22,0.01,0.0,0.0,0.05
refuge,22,0.01,0.0,0.0,0.03
widespread,22,0.01,0.01,0.0,0.03
forest,22,0.0,0.0,0.0,0.02
literally,22,0.0,0.0,0.0,0.03
turtle,22,0.01,0.01,0.0,0.1
eating,22,0.01,0.01,0.0,0.08
fish,22,0.02,0.01,0.0,0.06
ranges,22,0.0,0.0,0.0,0.04
western,22,0.01,0.01,0.0,0.12
long,21,0.03,0.02,0.01,0.09
weighs,21,0.01,0.01,0.0,0.1
great,21,0.01,0.01,0.0,0.06
member,21,0.01,0.01,0.0,0.07
central,21,0.01,0.01,0.0,0.04
swamp,21,0.01,0.01,0.0,0.03
length,21,0.01,0.01,0.0,0.05
adult,21,0.01,0.0,0.0,0.03
hunt,21,0.01,0.01,0.0,0.03
possibly,21,0.0,0.0,0.0,0.01
book,21,0.01,0.0,0.0,0.03
prey,21,0.02,0.02,0.0,0.17
vulnerable,21,0.01,0.01,0.0,0.07
european,21,0.01,0.01,0.0,0.08
past,21,0.01,0.01,0.0,0.05
southeast,21,0.0,0.0,0.0,0.01
district,21,0.01,0.0,0.0,0.06
bred,21,0.01,0.01,0.0,0.05
near,21,0.01,0.01,0.0,0.04
native,21,0.01,0.01,0.0,0.06
larger,21,0.01,0.0,0.0,0.04
broad,21,0.0,0.0,0.0,0.03
feed,21,0.01,0.01,0.0,0.03
differs,21,0.0,0.0,0.0,0.02
occasional,21,0.0,0.0,0.0,0.02
range,21,0.01,0.01,0.0,0.05
abundant,21,0.01,0.01,0.0,0.04
probably,20,0.01,0.01,0.0,0.07
appearance,20,0.0,0.0,0.0,0.02
mentioned,20,0.0,0.0,0.0,0.02
sea,20,0.02,0.01,0.0,0.08
feeding,20,0.01,0.0,0.0,0.03
threat,20,0.0,0.0,0.0,0.03
woods,20,0.0,0.0,0.0,0.01
records,20,0.01,0.01,0.0,0.07
directed,20,0.0,0.0,0.0,0.01
wolf,20,0.01,0.0,0.0,0.02
relative,20,0.01,0.01,0.0,0.03
collected,20,0.0,0.0,0.0,0.01
restricted,20,0.0,0.0,0.0,0.04
name,20,0.01,0.01,0.01,0.04
fly,20,0.01,0.01,0.0,0.04
language,20,0.0,0.0,0.0,0.01
tree,20,0.01,0.01,0.0,0.05
legend,20,0.0,0.0,0.0,0.02
derived,20,0.0,0.0,0.0,0.02
corn,20,0.05,0.05,0.0,0.9
africa,20,0.01,0.0,0.0,0.02
occasionally,20,0.0,0.0,0.0,0.01
wild,20,0.01,0.01,0.0,0.07
belong,20,0.01,0.01,0.0,0.06
occur,20,0.01,0.01,0.0,0.03
eye,20,0.01,0.01,0.0,0.04
nickname,20,0.0,0.0,0.0,0.01
penguin,20,0.01,0.01,0.0,0.04
hunting,19,0.02,0.02,0.0,0.12
bush,19,0.02,0.02,0.0,0.1
known,19,0.01,0.01,0.01,0.04
small,19,0.01,0.01,0.01,0.03
plain,19,0.0,0.0,0.0,0.01
bill,19,0.01,0.01,0.0,0.03
winter,19,0.0,0.0,0.0,0.01
tiny,19,0.0,0.0,0.0,0.02
associated,19,0.0,0.0,0.0,0.03
predator,19,0.01,0.01,0.0,0.04
collaborated,19,0.0,0.0,0.0,0.0
greek,19,0.01,0.0,0.0,0.03
peter,19,0.01,0.0,0.0,0.02
among,19,0.01,0.0,0.0,0.03
stuffed,19,0.01,0.01,0.0,0.02
translated,19,0.0,0.0,0.0,0.01
builds,19,0.0,0.0,0.0,0.03
estimated,19,0.0,0.0,0.0,0.01
nature,19,0.0,0.0,0.0,0.01
latin,19,0.01,0.0,0.0,0.03
recorded,19,0.01,0.0,0.0,0.02
debut,19,0.0,0.0,0.0,0.01
oriental,19,0.01,0.01,0.0,0.11
weaver,19,0.03,0.03,0.0,0.42
ground,19,0.02,0.01,0.0,0.07
natural,19,0.0,0.0,0.0,0.01
specific,19,0.01,0.01,0.0,0.08
legs,19,0.01,0.0,0.0,0.03
paradise,19,0.01,0.01,0.0,0.07
diet,19,0.01,0.01,0.0,0.05
tail,19,0.01,0.01,0.0,0.04
zealand,18,0.02,0.01,0.0,0.15
quest,18,0.0,0.0,0.0,0.01
especially,18,0.0,0.0,0.0,0.01
drummer,18,0.0,0.0,0.0,0.03
graham,18,0.01,0.01,0.0,0.06
northwest,18,0.0,0.0,0.0,0.01
reminiscent,18,0.0,0.0,0.0,0.04
widely,18,0.0,0.0,0.0,0.01
typical,18,0.01,0.01,0.0,0.04
how,18,0.0,0.0,0.0,0.03
spring,18,0.0,0.0,0.0,0.01
surname,18,0.01,0.01,0.0,0.04
sanctuary,18,0.02,0.02,0.0,0.23
prairie,18,0.01,0.01,0.0,0.05
arctic,18,0.01,0.01,0.0,0.07
dated,18,0.0,0.0,0.0,0.03
sing,18,0.01,0.01,0.0,0.03
originated,18,0.0,0.0,0.0,0.01
clearly,18,0.0,0.0,0.0,0.01
reserve,18,0.01,0.01,0.0,0.03
inn,18,0.01,0.01,0.0,0.13
wilson,18,0.01,0.01,0.0,0.04
flew,18,0.01,0.01,0.0,0.03
sweet,18,0.01,0.0,0.0,0.02
residents,18,0.0,0.0,0.0,0.02
buffalo,18,0.01,0.01,0.0,0.06
dozen,18,0.0,0.0,0.0,0.01
etc,18,0.0,0.0,0.0,0.01
whereas,18,0.01,0.0,0.0,0.05
here,18,0.01,0.01,0.0,0.04
fauna,18,0.01,0.01,0.0,0.09
smaller,18,0.01,0.0,0.0,0.03
emblem,18,0.01,0.01,0.0,0.05
tale,18,0.01,0.01,0.0,0.03
wildlife,18,0.01,0.01,0.0,0.04
egg,18,0.02,0.02,0.0,0.09
waters,18,0.0,0.0,0.0,0.02
animal,18,0.01,0.01,0.0,0.03
oak,18,0.0,0.0,0.0,0.01
heard,18,0.01,0.0,0.0,0.03
peninsula,18,0.01,0.01,0.0,0.15
philippine,18,0.03,0.03,0.0,0.27
olive,18,0.01,0.01,0.0,0.05
cry,18,0.0,0.0,0.0,0.02
mainly,18,0.0,0.0,0.0,0.02
separate,18,0.0,0.0,0.0,0.02
eyes,18,0.0,0.0,0.0,0.01
extremely,18,0.0,0.0,0.0,0.01
sighted,18,0.01,0.0,0.0,0.02
theme,18,0.0,0.0,0.0,0.01
west,17,0.01,0.0,0.0,0.01
giant,17,0.02,0.01,0.0,0.07
short,17,0.02,0.02,0.01,0.12
geoffrey,17,0.0,0.0,0.0,0.01
named,17,0.01,0.01,0.01,0.02
shoots,17,0.0,0.0,0.0,0.01
swift,17,0.0,0.0,0.0,0.01
confusion,17,0.0,0.0,0.0,0.02
raven,17,0.02,0.02,0.0,0.12
except,17,0.01,0.01,0.0,0.05
arthur,17,0.0,0.0,0.0,0.01
classified,17,0.01,0.0,0.0,0.02
discovers,17,0.0,0.0,0.0,0.03
lived,17,0.0,0.0,0.0,0.01
et,17,0.0,0.0,0.0,0.02
derives,17,0.01,0.01,0.0,0.06
characteristic,17,0.0,0.0,0.0,0.03
adventures,17,0.01,0.01,0.0,0.05
represent,17,0.0,0.0,0.0,0.02
merlin,17,0.01,0.01,0.0,0.04
