context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
jet,6,0.15,0.15,0.04,0.49
engines,6,0.04,0.04,0.01,0.15
boeing,6,0.1,0.1,0.01,0.31
single,6,0.04,0.03,0.01,0.07
pilot,6,0.05,0.05,0.02,0.14
aviation,6,0.03,0.02,0.01,0.04
runway,6,0.03,0.03,0.0,0.06
flight,6,0.05,0.05,0.01,0.13
twin,6,0.03,0.03,0.0,0.1
propeller,6,0.03,0.02,0.01,0.05
piston,6,0.02,0.02,0.0,0.08
planes,6,0.02,0.02,0.0,0.05
force,6,0.01,0.01,0.01,0.03
wing,6,0.03,0.02,0.01,0.05
operational,6,0.01,0.01,0.0,0.02
flown,6,0.03,0.03,0.01,0.07
crashed,6,0.09,0.08,0.02,0.21
16,6,0.01,0.01,0.0,0.02
navy,6,0.01,0.01,0.01,0.03
war,6,0.01,0.01,0.01,0.03
designed,6,0.01,0.01,0.01,0.04
when,6,0.01,0.01,0.01,0.02
both,6,0.01,0.0,0.0,0.01
atlantic,6,0.01,0.01,0.01,0.01
24,6,0.01,0.0,0.0,0.01
piloted,6,0.03,0.02,0.01,0.05
naval,6,0.01,0.0,0.0,0.02
like,6,0.01,0.0,0.01,0.02
nose,6,0.01,0.01,0.01,0.02
test,6,0.01,0.01,0.0,0.01
bomb,6,0.01,0.01,0.01,0.02
caused,6,0.01,0.0,0.0,0.01
capabilities,6,0.01,0.0,0.0,0.01
allowed,6,0.0,0.0,0.0,0.01
craft,6,0.01,0.0,0.0,0.02
sent,6,0.01,0.0,0.0,0.01
crashing,6,0.01,0.01,0.0,0.03
fired,6,0.01,0.0,0.0,0.01
northwest,6,0.0,0.0,0.0,0.01
step,6,0.01,0.01,0.0,0.06
developing,6,0.0,0.0,0.0,0.01
occurred,6,0.0,0.0,0.0,0.01
relatively,6,0.0,0.0,0.0,0.01
configured,6,0.01,0.0,0.0,0.01
curtiss,6,0.02,0.02,0.0,0.07
steve,6,0.0,0.0,0.0,0.02
derivative,6,0.01,0.0,0.0,0.01
fighter,5,0.08,0.07,0.01,0.28
aircraft,5,0.09,0.08,0.04,0.22
fighters,5,0.04,0.04,0.0,0.18
fuel,5,0.04,0.03,0.01,0.13
airways,5,0.04,0.04,0.0,0.12
helicopter,5,0.06,0.06,0.0,0.12
trainer,5,0.02,0.02,0.0,0.11
thrust,5,0.02,0.02,0.01,0.07
bomber,5,0.03,0.03,0.0,0.06
airline,5,0.03,0.03,0.01,0.06
bombers,5,0.02,0.02,0.0,0.06
air,5,0.04,0.03,0.03,0.06
flights,5,0.04,0.03,0.01,0.06
turboprop,5,0.08,0.08,0.01,0.33
powered,5,0.06,0.04,0.04,0.08
havilland,5,0.04,0.04,0.0,0.13
fly,5,0.06,0.05,0.03,0.11
helicopters,5,0.02,0.02,0.0,0.04
high,5,0.02,0.01,0.01,0.04
plane,5,0.07,0.07,0.01,0.24
flying,5,0.05,0.04,0.03,0.09
interceptor,5,0.01,0.01,0.0,0.03
pilots,5,0.03,0.03,0.02,0.07
lockheed,5,0.04,0.04,0.01,0.1
corporate,5,0.01,0.01,0.0,0.03
engined,5,0.06,0.06,0.01,0.2
to,5,0.03,0.01,0.02,0.05
aerospace,5,0.02,0.02,0.01,0.03
flew,5,0.04,0.04,0.01,0.07
airplane,5,0.05,0.05,0.01,0.2
glider,5,0.01,0.01,0.0,0.03
falcon,5,0.01,0.01,0.0,0.02
by,5,0.02,0.01,0.02,0.03
airplanes,5,0.02,0.02,0.0,0.04
fleet,5,0.01,0.01,0.01,0.02
range,5,0.03,0.03,0.01,0.1
200,5,0.01,0.01,0.0,0.02
fuselage,5,0.03,0.03,0.01,0.06
combat,5,0.01,0.01,0.0,0.02
advanced,5,0.01,0.01,0.0,0.02
low,5,0.02,0.01,0.01,0.02
commercial,5,0.03,0.03,0.0,0.09
one,5,0.02,0.01,0.02,0.02
fast,5,0.01,0.0,0.0,0.02
level,5,0.01,0.0,0.0,0.02
missiles,5,0.02,0.02,0.0,0.07
reconnaissance,5,0.04,0.04,0.0,0.11
mid,5,0.02,0.01,0.01,0.03
takeoff,5,0.03,0.03,0.0,0.05
flies,5,0.02,0.02,0.0,0.03
prototype,5,0.02,0.01,0.01,0.05
that,5,0.02,0.01,0.01,0.03
douglas,5,0.03,0.02,0.0,0.1
airports,5,0.01,0.01,0.0,0.02
crash,5,0.14,0.13,0.01,0.34
swept,5,0.0,0.0,0.0,0.01
mach,5,0.01,0.01,0.0,0.02
military,5,0.01,0.01,0.01,0.03
altitude,5,0.02,0.02,0.01,0.03
wide,5,0.02,0.01,0.0,0.06
base,5,0.01,0.01,0.01,0.01
attack,5,0.02,0.01,0.01,0.04
missile,5,0.02,0.02,0.01,0.08
1950s,5,0.01,0.0,0.0,0.01
new,5,0.01,0.0,0.01,0.01
technology,5,0.01,0.01,0.01,0.02
it,5,0.02,0.0,0.01,0.02
10,5,0.01,0.0,0.01,0.02
capable,5,0.01,0.01,0.0,0.01
ground,5,0.01,0.01,0.0,0.02
laser,5,0.0,0.0,0.0,0.01
weather,5,0.01,0.0,0.0,0.01
hangar,5,0.04,0.04,0.0,0.16
down,5,0.02,0.01,0.01,0.03
which,5,0.01,0.0,0.01,0.02
into,5,0.01,0.0,0.01,0.01
surface,5,0.01,0.01,0.01,0.03
hours,5,0.01,0.01,0.0,0.01
designs,5,0.01,0.01,0.0,0.02
rockets,5,0.0,0.0,0.0,0.01
conventional,5,0.01,0.01,0.01,0.02
denver,5,0.0,0.0,0.0,0.01
boat,5,0.04,0.04,0.01,0.15
airfield,5,0.01,0.01,0.0,0.03
