context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
make,7,0.01,0.01,0.0,0.04
for,7,0.02,0.01,0.01,0.04
stands,7,0.01,0.01,0.0,0.04
one,7,0.02,0.01,0.01,0.03
making,7,0.01,0.01,0.0,0.04
old,7,0.01,0.01,0.01,0.03
more,7,0.01,0.0,0.0,0.02
number,7,0.01,0.01,0.0,0.02
spain,7,0.0,0.0,0.0,0.01
owners,7,0.0,0.0,0.0,0.01
prior,7,0.01,0.0,0.0,0.02
how,7,0.0,0.0,0.0,0.01
what,7,0.0,0.0,0.0,0.01
using,7,0.01,0.01,0.0,0.03
mid,7,0.01,0.0,0.01,0.01
there,7,0.01,0.0,0.0,0.02
expanded,7,0.0,0.0,0.0,0.0
18th,7,0.0,0.0,0.0,0.01
locals,7,0.01,0.0,0.0,0.02
event,7,0.01,0.0,0.0,0.02
mark,7,0.01,0.0,0.0,0.02
whereas,7,0.0,0.0,0.0,0.0
allowed,7,0.0,0.0,0.0,0.01
middle,7,0.0,0.0,0.0,0.01
house,7,0.02,0.01,0.0,0.04
now,7,0.01,0.0,0.0,0.01
step,7,0.01,0.01,0.0,0.07
possibly,7,0.0,0.0,0.0,0.02
process,7,0.01,0.0,0.0,0.02
saw,7,0.01,0.0,0.0,0.02
stand,6,0.03,0.03,0.0,0.18
beer,6,0.12,0.12,0.01,0.39
and,6,0.04,0.01,0.04,0.04
gin,6,0.02,0.02,0.0,0.05
seventh,6,0.01,0.01,0.0,0.03
on,6,0.02,0.0,0.02,0.03
time,6,0.01,0.01,0.01,0.02
2011,6,0.01,0.0,0.0,0.02
available,6,0.01,0.01,0.0,0.02
advertisement,6,0.01,0.01,0.0,0.02
ale,6,0.04,0.04,0.0,0.15
000,6,0.03,0.02,0.01,0.07
selling,6,0.02,0.01,0.0,0.04
ranked,6,0.0,0.0,0.0,0.02
brings,6,0.0,0.0,0.0,0.01
friends,6,0.01,0.01,0.0,0.01
original,6,0.01,0.01,0.0,0.01
product,6,0.01,0.01,0.01,0.04
brewing,6,0.06,0.05,0.0,0.3
their,6,0.01,0.0,0.01,0.01
had,6,0.01,0.0,0.01,0.02
best,6,0.01,0.0,0.0,0.02
spirits,6,0.02,0.02,0.0,0.06
at,6,0.02,0.01,0.01,0.03
made,6,0.01,0.01,0.01,0.02
called,6,0.01,0.0,0.01,0.01
profit,6,0.0,0.0,0.0,0.01
twin,6,0.0,0.0,0.0,0.01
contributed,6,0.0,0.0,0.0,0.01
sales,6,0.01,0.01,0.0,0.03
kingdom,6,0.01,0.0,0.0,0.01
already,6,0.0,0.0,0.0,0.01
sale,6,0.01,0.0,0.0,0.02
brothers,6,0.0,0.0,0.0,0.01
started,6,0.01,0.01,0.0,0.02
people,6,0.01,0.0,0.0,0.01
200,6,0.01,0.0,0.0,0.01
feature,6,0.0,0.0,0.0,0.01
held,6,0.0,0.0,0.0,0.01
own,6,0.01,0.0,0.0,0.01
when,6,0.01,0.0,0.01,0.01
very,6,0.01,0.0,0.0,0.02
five,6,0.01,0.0,0.0,0.01
company,6,0.01,0.01,0.01,0.03
based,6,0.01,0.0,0.01,0.01
most,6,0.01,0.0,0.0,0.01
similar,6,0.01,0.0,0.0,0.02
barrels,6,0.03,0.02,0.0,0.1
6th,6,0.0,0.0,0.0,0.01
brewery,6,0.06,0.06,0.0,0.33
reception,6,0.01,0.01,0.0,0.02
1907,6,0.0,0.0,0.0,0.01
sat,6,0.0,0.0,0.0,0.01
ask,6,0.01,0.01,0.0,0.02
limit,6,0.0,0.0,0.0,0.01
crown,6,0.0,0.0,0.0,0.01
superior,6,0.0,0.0,0.0,0.01
tours,6,0.0,0.0,0.0,0.01
housed,6,0.0,0.0,0.0,0.01
our,6,0.0,0.0,0.0,0.01
rolling,6,0.0,0.0,0.0,0.01
sponsored,6,0.01,0.0,0.0,0.01
bands,6,0.0,0.0,0.0,0.01
least,6,0.0,0.0,0.0,0.0
writing,6,0.01,0.0,0.0,0.02
houses,6,0.01,0.01,0.0,0.03
bring,6,0.0,0.0,0.0,0.0
christmas,6,0.0,0.0,0.0,0.01
extensive,6,0.0,0.0,0.0,0.0
continued,6,0.0,0.0,0.0,0.0
result,6,0.0,0.0,0.0,0.01
come,6,0.0,0.0,0.0,0.01
mentioned,6,0.0,0.0,0.0,0.0
onto,6,0.01,0.0,0.0,0.02
uk,6,0.01,0.0,0.0,0.02
producing,6,0.01,0.01,0.0,0.02
notably,6,0.0,0.0,0.0,0.0
2015,6,0.0,0.0,0.0,0.0
business,6,0.0,0.0,0.0,0.01
contained,6,0.0,0.0,0.0,0.0
1970s,6,0.0,0.0,0.0,0.0
2002,6,0.0,0.0,0.0,0.0
room,6,0.01,0.0,0.0,0.02
lower,6,0.01,0.0,0.0,0.02
locally,6,0.01,0.0,0.0,0.01
place,6,0.01,0.0,0.0,0.01
here,6,0.01,0.0,0.0,0.02
great,6,0.01,0.01,0.0,0.05
local,6,0.01,0.0,0.0,0.01
part,6,0.01,0.0,0.0,0.01
way,6,0.0,0.0,0.0,0.01
largest,6,0.01,0.0,0.0,0.02
much,6,0.01,0.0,0.0,0.01
popular,6,0.01,0.0,0.0,0.01
around,6,0.01,0.0,0.0,0.02
may,6,0.01,0.0,0.0,0.02
referred,6,0.01,0.0,0.0,0.02
of,6,0.03,0.01,0.02,0.05
higher,6,0.0,0.0,0.0,0.01
were,6,0.01,0.01,0.01,0.01
main,6,0.01,0.01,0.0,0.02
small,6,0.01,0.0,0.01,0.02
began,6,0.01,0.0,0.0,0.02
wooden,6,0.01,0.01,0.0,0.02
will,6,0.01,0.0,0.0,0.02
companies,6,0.01,0.01,0.0,0.02
century,6,0.01,0.01,0.01,0.02
than,6,0.01,0.01,0.0,0.03
next,6,0.01,0.0,0.0,0.02
use,6,0.01,0.01,0.0,0.03
rather,6,0.01,0.0,0.0,0.02
late,6,0.0,0.0,0.0,0.01
region,6,0.02,0.01,0.0,0.07
considered,6,0.0,0.0,0.0,0.01
300,6,0.0,0.0,0.0,0.01
proportions,6,0.01,0.01,0.0,0.03
about,6,0.01,0.01,0.0,0.03
material,6,0.01,0.0,0.0,0.02
period,6,0.0,0.0,0.0,0.0
major,6,0.01,0.0,0.0,0.01
fall,6,0.0,0.0,0.0,0.0
ultimately,6,0.0,0.0,0.0,0.0
gods,6,0.0,0.0,0.0,0.0
involved,6,0.0,0.0,0.0,0.0
formerly,6,0.01,0.0,0.0,0.02
makes,6,0.01,0.0,0.0,0.02
poor,6,0.0,0.0,0.0,0.01
importance,6,0.0,0.0,0.0,0.0
geographic,6,0.0,0.0,0.0,0.0
noted,6,0.0,0.0,0.0,0.01
draws,6,0.01,0.0,0.0,0.02
continue,6,0.0,0.0,0.0,0.0
prohibited,6,0.0,0.0,0.0,0.0
villages,6,0.0,0.0,0.0,0.0
manor,6,0.01,0.01,0.0,0.05
increasing,6,0.0,0.0,0.0,0.0
lasts,6,0.01,0.01,0.0,0.03
styles,6,0.01,0.01,0.0,0.03
warehouse,6,0.01,0.0,0.0,0.02
lemonade,5,0.09,0.09,0.0,0.41
drink,5,0.08,0.08,0.02,0.18
carbonated,5,0.04,0.04,0.0,0.17
beverage,5,0.04,0.04,0.01,0.09
vodka,5,0.02,0.02,0.0,0.08
beverages,5,0.03,0.03,0.0,0.07
glass,5,0.04,0.03,0.01,0.06
album,5,0.02,0.01,0.01,0.05
sell,5,0.02,0.02,0.0,0.05
brand,5,0.03,0.03,0.0,0.07
commercials,5,0.01,0.01,0.0,0.04
alcoholic,5,0.04,0.04,0.0,0.09
glasses,5,0.03,0.03,0.0,0.09
soft,5,0.02,0.02,0.0,0.06
traditional,5,0.02,0.01,0.01,0.03
homemade,5,0.02,0.02,0.0,0.05
blended,5,0.01,0.01,0.0,0.02
factory,5,0.01,0.01,0.01,0.02
served,5,0.01,0.01,0.0,0.02
hop,5,0.01,0.01,0.0,0.02
whiskey,5,0.02,0.02,0.01,0.04
ep,5,0.01,0.01,0.0,0.02
consecutive,5,0.01,0.01,0.0,0.02
label,5,0.01,0.01,0.0,0.02
wrote,5,0.01,0.0,0.0,0.02
like,5,0.01,0.01,0.01,0.02
mineral,5,0.01,0.01,0.0,0.02
wagon,5,0.01,0.0,0.0,0.02
get,5,0.01,0.01,0.0,0.04
mixed,5,0.01,0.0,0.0,0.02
full,5,0.01,0.01,0.0,0.02
bottling,5,0.01,0.01,0.0,0.02
non,5,0.02,0.01,0.01,0.03
released,5,0.01,0.01,0.01,0.02
campaign,5,0.01,0.0,0.0,0.02
with,5,0.03,0.02,0.01,0.09
cool,5,0.01,0.01,0.0,0.02
was,5,0.02,0.01,0.01,0.02
supporting,5,0.01,0.0,0.0,0.01
consumed,5,0.01,0.01,0.01,0.04
style,5,0.01,0.01,0.0,0.03
simply,5,0.01,0.01,0.0,0.02
brandy,5,0.02,0.02,0.0,0.04
end,5,0.01,0.0,0.0,0.01
varieties,5,0.02,0.01,0.01,0.03
reunion,5,0.0,0.0,0.0,0.01
titled,5,0.01,0.0,0.0,0.01
so,5,0.01,0.0,0.0,0.01
homage,5,0.0,0.0,0.0,0.01
where,5,0.01,0.0,0.01,0.01
sponsors,5,0.0,0.0,0.0,0.01
audience,5,0.01,0.0,0.0,0.01
equivalent,5,0.0,0.0,0.0,0.01
first,5,0.02,0.01,0.01,0.03
produced,5,0.02,0.01,0.01,0.03
naming,5,0.0,0.0,0.0,0.01
straw,5,0.01,0.01,0.0,0.02
advertising,5,0.01,0.01,0.0,0.01
brands,5,0.03,0.03,0.0,0.06
usa,5,0.0,0.0,0.0,0.01
documentary,5,0.0,0.0,0.0,0.01
appearing,5,0.0,0.0,0.0,0.01
women,5,0.01,0.0,0.0,0.01
purchase,5,0.0,0.0,0.0,0.01
australia,5,0.01,0.01,0.0,0.02
earliest,5,0.0,0.0,0.0,0.01
fourth,5,0.01,0.01,0.0,0.02
listed,5,0.0,0.0,0.0,0.01
hold,5,0.0,0.0,0.0,0.01
start,5,0.01,0.01,0.0,0.02
we,5,0.01,0.0,0.0,0.01
mixture,5,0.01,0.0,0.0,0.01
initially,5,0.0,0.0,0.0,0.01
september,5,0.01,0.0,0.0,0.01
inspired,5,0.01,0.01,0.0,0.02
winning,5,0.01,0.0,0.0,0.01
2004,5,0.01,0.0,0.0,0.01
honey,5,0.04,0.04,0.01,0.17
50,5,0.01,0.0,0.0,0.01
2007,5,0.0,0.0,0.0,0.01
received,5,0.0,0.0,0.0,0.01
became,5,0.01,0.0,0.0,0.01
producer,5,0.01,0.01,0.0,0.02
originally,5,0.01,0.0,0.0,0.01
being,5,0.01,0.0,0.0,0.01
after,5,0.01,0.0,0.01,0.01
over,5,0.01,0.0,0.0,0.01
whisky,5,0.01,0.01,0.0,0.02
other,5,0.01,0.0,0.01,0.01
malt,5,0.02,0.02,0.0,0.06
sweets,5,0.0,0.0,0.0,0.01
ratio,5,0.0,0.0,0.0,0.01
circles,5,0.0,0.0,0.0,0.01
stranger,5,0.0,0.0,0.0,0.01
relating,5,0.0,0.0,0.0,0.01
poisoning,5,0.0,0.0,0.0,0.01
connects,5,0.01,0.0,0.0,0.01
7th,5,0.0,0.0,0.0,0.01
bubble,5,0.0,0.0,0.0,0.01
suite,5,0.0,0.0,0.0,0.01
mail,5,0.0,0.0,0.0,0.01
1850s,5,0.0,0.0,0.0,0.01
1857,5,0.0,0.0,0.0,0.01
shirley,5,0.0,0.0,0.0,0.01
corporate,5,0.0,0.0,0.0,0.01
carbon,5,0.0,0.0,0.0,0.01
publications,5,0.0,0.0,0.0,0.01
darker,5,0.0,0.0,0.0,0.01
alcohol,5,0.03,0.02,0.01,0.07
