context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
is,15,0.09,0.04,0.05,0.13
for,15,0.05,0.03,0.02,0.12
the,14,0.16,0.07,0.08,0.36
of,14,0.11,0.06,0.05,0.24
between,14,0.02,0.01,0.01,0.03
and,14,0.13,0.07,0.06,0.24
in,14,0.08,0.04,0.05,0.16
to,14,0.08,0.04,0.04,0.13
with,14,0.08,0.05,0.03,0.28
most,14,0.02,0.01,0.01,0.05
time,14,0.03,0.02,0.01,0.09
side,13,0.03,0.02,0.01,0.06
main,13,0.02,0.01,0.01,0.06
as,13,0.05,0.02,0.03,0.09
was,13,0.06,0.03,0.03,0.15
by,13,0.05,0.03,0.03,0.14
first,13,0.04,0.02,0.02,0.1
also,13,0.04,0.02,0.02,0.12
back,13,0.03,0.02,0.01,0.07
third,13,0.02,0.02,0.01,0.06
high,13,0.03,0.02,0.01,0.05
at,13,0.04,0.02,0.02,0.13
blue,12,0.18,0.17,0.02,0.5
from,12,0.05,0.03,0.03,0.14
made,12,0.03,0.02,0.01,0.06
which,12,0.04,0.02,0.02,0.1
has,12,0.03,0.02,0.02,0.05
part,12,0.02,0.01,0.01,0.04
mid,12,0.02,0.01,0.01,0.04
before,12,0.02,0.01,0.01,0.05
over,12,0.02,0.01,0.01,0.03
place,12,0.01,0.01,0.01,0.03
on,12,0.07,0.05,0.03,0.15
it,12,0.07,0.05,0.03,0.18
all,12,0.05,0.04,0.02,0.14
or,12,0.06,0.03,0.03,0.14
then,12,0.02,0.01,0.01,0.03
she,12,0.06,0.04,0.02,0.18
both,12,0.01,0.01,0.01,0.02
early,12,0.01,0.01,0.01,0.03
four,12,0.03,0.02,0.01,0.06
an,12,0.06,0.04,0.02,0.37
play,12,0.03,0.02,0.01,0.06
their,12,0.03,0.02,0.01,0.06
north,11,0.02,0.01,0.01,0.04
into,11,0.03,0.02,0.01,0.07
big,11,0.04,0.03,0.01,0.25
there,11,0.04,0.03,0.01,0.13
where,11,0.03,0.02,0.02,0.06
been,11,0.03,0.02,0.01,0.07
through,11,0.02,0.02,0.01,0.05
two,11,0.04,0.02,0.02,0.07
he,11,0.06,0.04,0.03,0.17
had,11,0.03,0.02,0.01,0.08
his,11,0.05,0.04,0.02,0.12
hand,11,0.05,0.05,0.01,0.32
co,11,0.07,0.05,0.03,0.32
