context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
off,35,0.02,0.02,0.01,0.1
made,34,0.02,0.01,0.01,0.03
are,33,0.03,0.01,0.01,0.08
making,33,0.01,0.01,0.0,0.11
produced,31,0.02,0.02,0.01,0.09
production,30,0.03,0.02,0.01,0.07
area,30,0.01,0.01,0.01,0.07
cream,29,0.09,0.08,0.01,0.4
mid,29,0.01,0.01,0.01,0.04
long,28,0.02,0.02,0.01,0.09
so,28,0.02,0.01,0.01,0.12
high,28,0.02,0.02,0.01,0.19
there,28,0.02,0.01,0.01,0.04
small,28,0.02,0.02,0.01,0.11
company,28,0.02,0.02,0.01,0.17
however,27,0.02,0.02,0.0,0.12
show,27,0.02,0.02,0.0,0.09
more,27,0.01,0.01,0.0,0.04
flavor,27,0.05,0.04,0.01,0.3
to,26,0.05,0.03,0.03,0.14
be,26,0.03,0.02,0.01,0.1
they,26,0.03,0.02,0.01,0.11
time,26,0.02,0.01,0.01,0.05
not,26,0.02,0.01,0.01,0.09
under,26,0.01,0.01,0.01,0.04
south,26,0.03,0.02,0.01,0.15
has,26,0.02,0.01,0.01,0.05
them,26,0.02,0.01,0.0,0.06
can,25,0.02,0.02,0.01,0.08
used,25,0.03,0.02,0.01,0.16
through,25,0.01,0.01,0.01,0.03
being,25,0.02,0.01,0.01,0.09
new,25,0.02,0.01,0.01,0.07
like,25,0.03,0.01,0.01,0.07
group,25,0.01,0.01,0.0,0.05
food,25,0.03,0.02,0.01,0.11
chocolate,24,0.16,0.14,0.01,0.85
that,24,0.04,0.02,0.02,0.13
half,24,0.01,0.01,0.01,0.06
third,24,0.01,0.01,0.0,0.04
you,24,0.02,0.01,0.01,0.06
of,24,0.07,0.03,0.03,0.18
other,24,0.02,0.01,0.01,0.08
from,23,0.03,0.01,0.02,0.09
using,23,0.02,0.01,0.01,0.09
often,23,0.01,0.01,0.01,0.05
state,23,0.02,0.01,0.0,0.05
much,23,0.01,0.01,0.0,0.03
had,23,0.03,0.02,0.01,0.13
000,23,0.04,0.03,0.01,0.25
along,23,0.02,0.01,0.01,0.11
many,23,0.01,0.01,0.01,0.03
coconut,23,0.09,0.07,0.01,0.33
include,23,0.02,0.02,0.01,0.11
in,23,0.06,0.03,0.04,0.12
based,23,0.02,0.01,0.01,0.11
been,23,0.02,0.01,0.01,0.11
sweet,23,0.06,0.04,0.02,0.37
white,22,0.05,0.03,0.01,0.22
inside,22,0.02,0.01,0.01,0.08
after,22,0.02,0.01,0.01,0.08
about,22,0.02,0.01,0.01,0.12
day,22,0.03,0.02,0.01,0.15
over,22,0.02,0.01,0.01,0.06
side,22,0.02,0.01,0.01,0.09
recorded,22,0.02,0.01,0.0,0.08
green,22,0.03,0.02,0.01,0.06
because,22,0.02,0.01,0.01,0.08
its,22,0.02,0.01,0.01,0.1
as,22,0.05,0.02,0.03,0.15
black,22,0.08,0.07,0.01,0.64
taste,22,0.03,0.02,0.01,0.08
city,22,0.03,0.02,0.01,0.16
cheese,21,0.09,0.08,0.01,0.36
bread,21,0.06,0.05,0.01,0.31
into,21,0.02,0.01,0.01,0.05
two,21,0.03,0.02,0.01,0.13
this,21,0.03,0.02,0.01,0.13
when,21,0.02,0.01,0.01,0.06
but,21,0.03,0.02,0.01,0.11
their,21,0.02,0.01,0.01,0.06
several,21,0.01,0.01,0.01,0.07
glass,21,0.02,0.02,0.01,0.08
the,21,0.11,0.05,0.05,0.23
full,21,0.02,0.01,0.01,0.06
rice,21,0.12,0.11,0.02,0.83
non,21,0.02,0.01,0.01,0.1
only,20,0.02,0.01,0.01,0.09
produces,20,0.02,0.01,0.01,0.09
second,20,0.01,0.01,0.01,0.03
near,20,0.01,0.01,0.01,0.03
at,20,0.03,0.02,0.01,0.12
by,20,0.04,0.03,0.02,0.1
center,20,0.02,0.01,0.0,0.13
planted,20,0.03,0.02,0.01,0.11
sugar,20,0.06,0.04,0.02,0.2
corn,20,0.06,0.05,0.02,0.24
very,20,0.01,0.01,0.01,0.03
drink,20,0.03,0.02,0.01,0.14
an,19,0.04,0.02,0.01,0.1
where,19,0.02,0.01,0.01,0.07
industry,19,0.02,0.01,0.01,0.08
would,19,0.02,0.01,0.01,0.09
on,19,0.05,0.03,0.02,0.29
for,19,0.04,0.02,0.02,0.1
re,19,0.05,0.04,0.01,0.59
including,19,0.02,0.01,0.01,0.08
co,19,0.05,0.04,0.02,0.3
country,19,0.01,0.0,0.01,0.02
one,18,0.05,0.03,0.02,0.1
producers,18,0.02,0.02,0.0,0.16
it,18,0.04,0.02,0.02,0.09
back,18,0.02,0.01,0.01,0.07
all,18,0.03,0.02,0.01,0.11
go,18,0.02,0.01,0.01,0.06
house,18,0.02,0.01,0.01,0.07
way,18,0.01,0.01,0.01,0.03
vanilla,18,0.09,0.07,0.02,0.34
banana,18,0.14,0.12,0.02,0.66
is,18,0.07,0.03,0.04,0.15
found,18,0.03,0.02,0.01,0.1
use,18,0.02,0.02,0.01,0.08
street,18,0.03,0.02,0.01,0.15
chicken,17,0.06,0.05,0.01,0.36
with,17,0.04,0.01,0.03,0.09
fish,17,0.03,0.02,0.01,0.12
blue,17,0.03,0.02,0.01,0.19
dark,17,0.03,0.02,0.0,0.09
outside,17,0.02,0.01,0.0,0.14
during,17,0.02,0.02,0.0,0.09
was,17,0.04,0.02,0.02,0.14
hit,17,0.01,0.01,0.0,0.02
east,17,0.01,0.01,0.01,0.03
fruit,17,0.13,0.11,0.03,0.67
released,17,0.02,0.01,0.01,0.05
growing,17,0.04,0.03,0.02,0.19
plants,17,0.06,0.05,0.01,0.45
honey,17,0.05,0.04,0.01,0.29
cooked,16,0.06,0.04,0.02,0.24
meat,16,0.05,0.04,0.01,0.14
then,16,0.02,0.01,0.01,0.08
great,16,0.01,0.0,0.01,0.03
break,16,0.01,0.01,0.0,0.02
no,16,0.02,0.01,0.01,0.07
first,16,0.02,0.01,0.01,0.07
him,16,0.02,0.02,0.01,0.06
north,16,0.01,0.01,0.01,0.03
five,16,0.01,0.01,0.01,0.06
main,16,0.01,0.01,0.01,0.04
orange,16,0.06,0.05,0.02,0.21
fruits,16,0.08,0.06,0.02,0.23
leaves,16,0.07,0.05,0.02,0.15
most,16,0.03,0.02,0.01,0.11
leaf,16,0.05,0.04,0.01,0.27
and,16,0.09,0.04,0.06,0.21
who,16,0.02,0.01,0.01,0.06
named,16,0.03,0.02,0.01,0.1
what,16,0.02,0.01,0.01,0.04
town,16,0.02,0.01,0.01,0.06
growers,16,0.07,0.06,0.01,0.32
shaped,15,0.02,0.02,0.01,0.06
single,15,0.03,0.02,0.01,0.09
which,15,0.04,0.02,0.02,0.1
produce,15,0.02,0.01,0.01,0.06
if,15,0.01,0.01,0.01,0.05
will,15,0.02,0.01,0.01,0.06
woman,15,0.02,0.01,0.01,0.04
school,15,0.02,0.02,0.01,0.09
open,15,0.02,0.02,0.01,0.09
his,15,0.04,0.03,0.02,0.1
out,15,0.03,0.02,0.01,0.09
three,15,0.02,0.01,0.01,0.05
west,15,0.02,0.01,0.01,0.09
century,15,0.02,0.01,0.01,0.09
four,15,0.03,0.02,0.01,0.27
california,15,0.04,0.03,0.01,0.15
six,15,0.02,0.01,0.01,0.12
lemon,15,0.12,0.09,0.03,0.29
such,15,0.04,0.02,0.02,0.08
records,15,0.02,0.01,0.01,0.06
well,15,0.04,0.02,0.01,0.09
world,15,0.03,0.02,0.01,0.09
called,15,0.04,0.03,0.02,0.09
girl,15,0.02,0.01,0.01,0.05
best,15,0.02,0.01,0.01,0.11
family,15,0.05,0.04,0.02,0.19
love,15,0.02,0.02,0.01,0.07
island,15,0.02,0.01,0.01,0.06
creek,15,0.04,0.03,0.01,0.17
bowl,14,0.03,0.03,0.0,0.18
water,14,0.04,0.03,0.01,0.17
around,14,0.01,0.01,0.01,0.03
life,14,0.01,0.01,0.01,0.04
large,14,0.02,0.01,0.01,0.11
make,14,0.02,0.01,0.01,0.09
located,14,0.01,0.01,0.01,0.04
left,14,0.02,0.01,0.01,0.07
surrounded,14,0.02,0.01,0.01,0.05
attacks,14,0.02,0.01,0.0,0.05
flavors,14,0.06,0.04,0.03,0.14
trees,14,0.11,0.1,0.02,0.27
palm,14,0.05,0.04,0.01,0.23
tree,14,0.08,0.06,0.03,0.18
film,14,0.03,0.02,0.01,0.14
also,14,0.04,0.02,0.02,0.12
due,14,0.02,0.01,0.01,0.07
have,14,0.02,0.01,0.01,0.05
character,14,0.01,0.01,0.01,0.03
pepper,14,0.1,0.07,0.03,0.22
salt,14,0.06,0.04,0.02,0.23
mother,13,0.02,0.01,0.01,0.07
suddenly,13,0.01,0.0,0.0,0.01
liver,13,0.02,0.02,0.0,0.06
peach,13,0.04,0.03,0.01,0.1
later,13,0.02,0.01,0.01,0.05
