context,p,r,f1,n_pos,total_pos,n_neg,total_neg
made,1.0,1.0,1.0,4,4,0,2
temperature,1.0,1.0,1.0,4,4,0,2
were,1.0,1.0,1.0,4,4,0,2
coffin,1.0,1.0,1.0,4,4,0,2
lead,1.0,1.0,1.0,4,4,0,2
safety,1.0,1.0,1.0,4,4,0,2
using,1.0,1.0,1.0,4,4,0,2
heat,1.0,1.0,1.0,4,4,0,2
built,1.0,1.0,1.0,4,4,0,2
fixed,1.0,1.0,1.0,4,4,0,2
set,1.0,1.0,1.0,4,4,0,2
cast,1.0,1.0,1.0,4,4,0,2
sides,1.0,1.0,1.0,4,4,0,2
added,1.0,1.0,1.0,4,4,0,2
low,1.0,1.0,1.0,4,4,0,2
thermal,1.0,1.0,1.0,4,4,0,2
case,1.0,1.0,1.0,4,4,0,2
workshop,1.0,1.0,1.0,4,4,0,2
american,1.0,1.0,1.0,4,4,0,2
fire,1.0,1.0,1.0,4,4,0,2
frog,1.0,1.0,1.0,4,4,0,2
semi,1.0,1.0,1.0,4,4,0,2
anglo,1.0,1.0,1.0,4,4,0,2
cover,1.0,1.0,1.0,4,4,0,2
additional,1.0,1.0,1.0,4,4,0,2
carter,1.0,1.0,1.0,4,4,0,2
various,1.0,1.0,1.0,4,4,0,2
moved,1.0,1.0,1.0,4,4,0,2
entry,1.0,1.0,1.0,4,4,0,2
depicts,1.0,1.0,1.0,4,4,0,2
sections,1.0,1.0,1.0,4,4,0,2
resulting,1.0,1.0,1.0,4,4,0,2
cat,1.0,1.0,1.0,4,4,0,2
heavy,1.0,1.0,1.0,4,4,0,2
burning,1.0,1.0,1.0,4,4,0,2
bells,1.0,1.0,1.0,4,4,0,2
together,1.0,1.0,1.0,4,4,0,2
covers,1.0,1.0,1.0,4,4,0,2
jewels,1.0,1.0,1.0,4,4,0,2
faces,1.0,1.0,1.0,4,4,0,2
controlled,1.0,1.0,1.0,4,4,0,2
sight,1.0,1.0,1.0,4,4,0,2
business,1.0,1.0,1.0,4,4,0,2
better,1.0,1.0,1.0,4,4,0,2
allowed,1.0,1.0,1.0,4,4,0,2
figures,1.0,1.0,1.0,4,4,0,2
replacement,1.0,1.0,1.0,4,4,0,2
casting,1.0,1.0,1.0,4,4,0,2
himself,1.0,1.0,1.0,4,4,0,2
rocks,1.0,1.0,1.0,4,4,0,2
weight,1.0,1.0,1.0,4,4,0,2
keith,1.0,1.0,1.0,4,4,0,2
finished,1.0,1.0,1.0,4,4,0,2
hung,1.0,1.0,1.0,4,4,0,2
european,1.0,1.0,1.0,4,4,0,2
1978,1.0,1.0,1.0,4,4,0,2
play,1.0,1.0,1.0,4,4,0,2
purpose,1.0,1.0,1.0,4,4,0,2
contact,1.0,1.0,1.0,4,4,0,2
joint,1.0,1.0,1.0,4,4,0,2
portion,1.0,1.0,1.0,4,4,0,2
hunt,1.0,1.0,1.0,4,4,0,2
skeleton,1.0,1.0,1.0,4,4,0,2
consisted,1.0,1.0,1.0,4,4,0,2
ad,1.0,1.0,1.0,4,4,0,2
rings,1.0,1.0,1.0,4,4,0,2
desk,1.0,1.0,1.0,4,4,0,2
supported,1.0,1.0,1.0,4,4,0,2
