context,p,r,f1,n_pos,total_pos,n_neg,total_neg
out,1.0,1.0,1.0,3,3,0,6
took,1.0,1.0,1.0,3,3,0,6
north,1.0,1.0,1.0,3,3,0,6
metallic,1.0,1.0,1.0,3,3,0,6
rocket,1.0,1.0,1.0,3,3,0,6
edition,1.0,1.0,1.0,3,3,0,6
frozen,1.0,1.0,1.0,3,3,0,6
favourite,1.0,1.0,1.0,3,3,0,6
which,0.9166666666666666,0.8888888888888888,0.8917748917748918,3,3,1,6
pea,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
la,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
black,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
year,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
san,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
march,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
tribute,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
up,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
first,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
desert,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
butterfly,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
left,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
thai,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
hen,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
blue,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
16,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
were,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
he,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
hart,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
25,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
all,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
stage,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
feet,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
october,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
currently,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
town,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
not,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
other,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
formed,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
single,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
2012,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
january,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
succeeded,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
starts,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
hill,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
2009,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
al,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
authority,0.9047619047619047,0.8888888888888888,0.882051282051282,2,3,0,6
