context,p,r,f1,n_pos,total_pos,n_neg,total_neg
operates,1.0,1.0,1.0,3,3,0,3
city,1.0,1.0,1.0,3,3,0,3
operated,1.0,1.0,1.0,3,3,0,3
ride,1.0,1.0,1.0,3,3,0,3
stations,1.0,1.0,1.0,3,3,0,3
company,1.0,1.0,1.0,3,3,0,3
road,1.0,1.0,1.0,3,3,0,3
distance,1.0,1.0,1.0,3,3,0,3
accessible,1.0,1.0,1.0,3,3,0,3
on,1.0,1.0,1.0,3,3,0,3
network,1.0,1.0,1.0,3,3,0,3
town,1.0,1.0,1.0,3,3,0,3
london,1.0,1.0,1.0,3,3,0,3
hour,1.0,1.0,1.0,3,3,0,3
operations,1.0,1.0,1.0,3,3,0,3
provided,1.0,1.0,1.0,3,3,0,3
owned,1.0,1.0,1.0,3,3,0,3
serve,1.0,1.0,1.0,3,3,0,3
central,1.0,1.0,1.0,3,3,0,3
street,1.0,1.0,1.0,3,3,0,3
available,1.0,1.0,1.0,3,3,0,3
all,1.0,1.0,1.0,3,3,0,3
night,1.0,1.0,1.0,3,3,0,3
park,1.0,1.0,1.0,3,3,0,3
west,1.0,1.0,1.0,3,3,0,3
go,1.0,1.0,1.0,3,3,0,3
located,1.0,1.0,1.0,3,3,0,3
day,1.0,1.0,1.0,3,3,0,3
connection,1.0,1.0,1.0,3,3,0,3
link,1.0,1.0,1.0,3,3,0,3
used,1.0,1.0,1.0,3,3,0,3
corporation,1.0,1.0,1.0,3,3,0,3
co,1.0,1.0,1.0,3,3,0,3
mid,1.0,1.0,1.0,3,3,0,3
carrying,1.0,1.0,1.0,3,3,0,3
walk,1.0,1.0,1.0,3,3,0,3
old,1.0,1.0,1.0,3,3,0,3
near,1.0,1.0,1.0,3,3,0,3
take,1.0,1.0,1.0,3,3,0,3
passes,1.0,1.0,1.0,3,3,0,3
full,1.0,1.0,1.0,3,3,0,3
east,1.0,1.0,1.0,3,3,0,3
facility,1.0,1.0,1.0,3,3,0,3
year,1.0,1.0,1.0,3,3,0,3
market,1.0,1.0,1.0,3,3,0,3
28,1.0,1.0,1.0,3,3,0,3
offers,1.0,1.0,1.0,3,3,0,3
air,1.0,1.0,1.0,3,3,0,3
magic,1.0,1.0,1.0,3,3,0,3
subsidiary,1.0,1.0,1.0,3,3,0,3
four,1.0,1.0,1.0,3,3,0,3
bought,1.0,1.0,1.0,3,3,0,3
village,1.0,1.0,1.0,3,3,0,3
takes,1.0,1.0,1.0,3,3,0,3
brisbane,1.0,1.0,1.0,3,3,0,3
light,1.0,1.0,1.0,3,3,0,3
back,1.0,1.0,1.0,3,3,0,3
york,1.0,1.0,1.0,3,3,0,3
onto,1.0,1.0,1.0,3,3,0,3
every,1.0,1.0,1.0,3,3,0,3
40,1.0,1.0,1.0,3,3,0,3
powered,1.0,1.0,1.0,3,3,0,3
next,1.0,1.0,1.0,3,3,0,3
stopping,1.0,1.0,1.0,3,3,0,3
away,1.0,1.0,1.0,3,3,0,3
across,1.0,1.0,1.0,3,3,0,3
half,1.0,1.0,1.0,3,3,0,3
killed,1.0,1.0,1.0,3,3,0,3
green,1.0,1.0,1.0,3,3,0,3
gets,1.0,1.0,1.0,3,3,0,3
arrive,1.0,1.0,1.0,3,3,0,3
acquired,1.0,1.0,1.0,3,3,0,3
transporting,1.0,1.0,1.0,3,3,0,3
country,1.0,1.0,1.0,3,3,0,3
includes,1.0,1.0,1.0,3,3,0,3
27,1.0,1.0,1.0,3,3,0,3
devices,1.0,1.0,1.0,3,3,0,3
started,1.0,1.0,1.0,3,3,0,3
25,1.0,1.0,1.0,3,3,0,3
sold,1.0,1.0,1.0,3,3,0,3
killing,1.0,1.0,1.0,3,3,0,3
plan,1.0,1.0,1.0,3,3,0,3
commercial,1.0,1.0,1.0,3,3,0,3
33,1.0,1.0,1.0,3,3,0,3
locations,1.0,1.0,1.0,3,3,0,3
pan,1.0,1.0,1.0,3,3,0,3
announced,1.0,1.0,1.0,3,3,0,3
diamond,1.0,1.0,1.0,3,3,0,3
hall,1.0,1.0,1.0,3,3,0,3
2014,1.0,1.0,1.0,3,3,0,3
door,1.0,1.0,1.0,3,3,0,3
carries,1.0,1.0,1.0,3,3,0,3
bee,1.0,1.0,1.0,3,3,0,3
allow,1.0,1.0,1.0,3,3,0,3
