context,p,r,f1,n_pos,total_pos,n_neg,total_neg
simple,0.8366621067031463,0.8366013071895425,0.8316363984552041,36,54,7,99
evening,0.8737446197991392,0.8431372549019608,0.8292073586191233,30,54,0,99
umbrella,0.8613245403925716,0.8366013071895425,0.8229970721320202,30,54,1,99
cap,0.8495989304812835,0.8300653594771242,0.8168262653898769,30,54,2,99
scheme,0.8567192730750836,0.8300653594771242,0.8149746385040503,29,54,1,99
matching,0.8567192730750836,0.8300653594771242,0.8149746385040503,29,54,1,99
dress,0.8567192730750836,0.8300653594771242,0.8149746385040503,29,54,1,99
limited,0.8077961954012374,0.8104575163398693,0.8081912376601125,37,54,12,99
blue,0.8204872795800242,0.8169934640522876,0.8079212180605684,32,54,6,99
uniform,0.8521559903160373,0.8235294117647058,0.8068443650624657,28,54,1,99
lights,0.8117805826784155,0.8104575163398693,0.801845863288523,32,54,7,99
term,0.8396939263510282,0.8169934640522876,0.8007419183889772,28,54,2,99
debate,0.8476302521008403,0.8169934640522876,0.7986011477761836,27,54,1,99
entirely,0.7965815760266369,0.7973856209150327,0.7969479061055691,38,54,15,99
under,0.8279466202133947,0.8104575163398693,0.7946766036731435,28,54,3,99
attached,0.8055727554179567,0.803921568627451,0.7942013050648947,31,54,7,99
nights,0.8055727554179567,0.803921568627451,0.7942013050648947,31,54,7,99
hat,0.8347673886017143,0.8104575163398693,0.792536540252278,27,54,2,99
pointed,0.808446455505279,0.803921568627451,0.7924836601307189,30,54,6,99
shoe,0.8431372549019608,0.8104575163398693,0.790239651416122,26,54,1,99
loop,0.8431372549019608,0.8104575163398693,0.790239651416122,26,54,1,99
designed,0.7954242672678827,0.7973856209150327,0.7897642070048275,32,54,9,99
lines,0.8168449197860963,0.803921568627451,0.7886456908344732,28,54,4,99
high,0.7869828142553242,0.7908496732026143,0.7865448315248429,34,54,12,99
low,0.7869828142553242,0.7908496732026143,0.7865448315248429,34,54,12,99
stripped,0.8226685796269728,0.803921568627451,0.7865091982739042,27,54,3,99
multi,0.7871019967620075,0.7908496732026143,0.7852063902484071,33,54,11,99
windows,0.8298487394957984,0.803921568627451,0.7842155154744824,26,54,2,99
provides,0.8063279857397505,0.7973856209150327,0.7826465494086157,28,54,5,99
pocket,0.7888859968766269,0.7908496732026143,0.7821805558835336,31,54,9,99
fairy,0.8386717497416896,0.803921568627451,0.7817542946382092,25,54,1,99
through,0.7802914019883346,0.7843137254901961,0.7805218972399393,34,54,13,99
create,0.7802914019883346,0.7843137254901961,0.7805218972399393,34,54,13,99
tracking,0.8112576601238063,0.7973856209150327,0.7805163694437051,27,54,4,99
hook,0.8112576601238063,0.7973856209150327,0.7805163694437051,27,54,4,99
covering,0.7906582312558891,0.7908496732026143,0.7804813920692211,30,54,8,99
non,0.7931121166415284,0.7908496732026143,0.7786492374727669,29,54,7,99
floating,0.7931121166415284,0.7908496732026143,0.7786492374727669,29,54,7,99
push,0.8173787868873912,0.7973856209150327,0.7782287154420903,26,54,3,99
take,0.776085300837776,0.7777777777777778,0.7767924528301886,36,54,16,99
bright,0.79634206623826,0.7908496732026143,0.7766766422999558,28,54,6,99
hand,0.7810386349661815,0.7843137254901961,0.7762006074567517,31,54,10,99
designer,0.8249299719887956,0.7973856209150327,0.7757734204793028,25,54,2,99
tight,0.8249299719887956,0.7973856209150327,0.7757734204793028,25,54,2,99
sight,0.8004679144385026,0.7908496732026143,0.7745554035567717,27,54,5,99
typically,0.7823291259823768,0.7843137254901961,0.7745142582248711,30,54,9,99
public,0.7823291259823768,0.7843137254901961,0.7745142582248711,30,54,9,99
rainbow,0.7823291259823768,0.7843137254901961,0.7745142582248711,30,54,9,99
section,0.7732629012596506,0.7777777777777778,0.7732038834951456,33,54,13,99
services,0.8342279411764706,0.7973856209150327,0.7731392339459623,24,54,1,99
formal,0.8342279411764706,0.7973856209150327,0.7731392339459623,24,54,1,99
shirt,0.8342279411764706,0.7973856209150327,0.7731392339459623,24,54,1,99
traditional,0.7842360616194287,0.7843137254901961,0.7726943371266216,29,54,8,99
paintings,0.8056432329029174,0.7908496732026143,0.772276478158831,26,54,4,99
women,0.8056432329029174,0.7908496732026143,0.772276478158831,26,54,4,99
specialized,0.7731442869057548,0.7777777777777778,0.7717817896389325,32,54,12,99
changes,0.7731442869057548,0.7777777777777778,0.7717817896389325,32,54,12,99
hanging,0.786839481555334,0.7843137254901961,0.7707335199393278,28,54,7,99
wave,0.786839481555334,0.7843137254901961,0.7707335199393278,28,54,7,99
reviewed,0.8457013574660632,0.7973856209150327,0.7703136832343099,23,54,0,99
colourful,0.8120672268907563,0.7908496732026143,0.7698298831727814,25,54,3,99
jacket,0.8120672268907563,0.7908496732026143,0.7698298831727814,25,54,3,99
to,0.7687427912341408,0.7712418300653595,0.7696810067310506,35,54,16,99
item,0.79024064171123,0.7843137254901961,0.7686237461446553,27,54,6,99
defined,0.79024064171123,0.7843137254901961,0.7686237461446553,27,54,6,99
spreading,0.79024064171123,0.7843137254901961,0.7686237461446553,27,54,6,99
window,0.7757437070938216,0.7777777777777778,0.7667614790735474,29,54,9,99
available,0.7757437070938216,0.7777777777777778,0.7667614790735474,29,54,9,99
