context,p,r,f1,n_pos,total_pos,n_neg,total_neg
soft,0.875,0.75,0.7666666666666666,46,69,0,23
cake,0.8697916666666666,0.7282608695652174,0.7460426274460924,44,69,0,23
drops,0.8503546099290781,0.717391304347826,0.7360902255639098,44,69,1,23
include,0.8030952380952382,0.7065217391304348,0.7259857789269554,46,69,4,23
typically,0.8030952380952382,0.7065217391304348,0.7259857789269554,46,69,4,23
taste,0.8627450980392157,0.6956521739130435,0.7144963144963145,41,69,0,23
egg,0.8627450980392157,0.6956521739130435,0.7144963144963145,41,69,0,23
contains,0.8097826086956522,0.6847826086956522,0.7057971014492754,43,69,3,23
sugar,0.860576923076923,0.6847826086956522,0.7037920489296637,40,69,0,23
cherry,0.860576923076923,0.6847826086956522,0.7037920489296637,40,69,0,23
chocolate,0.860576923076923,0.6847826086956522,0.7037920489296637,40,69,0,23
wine,0.860576923076923,0.6847826086956522,0.7037920489296637,40,69,0,23
bread,0.860576923076923,0.6847826086956522,0.7037920489296637,40,69,0,23
brand,0.8395504543280726,0.6739130434782609,0.6941031941031942,40,69,1,23
food,0.8584905660377358,0.6739130434782609,0.6929824561403509,39,69,0,23
candy,0.8370192307692307,0.6630434782608695,0.6833639143730887,39,69,1,23
items,0.7997152349311818,0.6521739130434783,0.6746031746031746,40,69,3,23
containing,0.7997152349311818,0.6521739130434783,0.6746031746031746,40,69,3,23
quality,0.8163558106169296,0.6521739130434783,0.6737100737100737,39,69,2,23
bars,0.8345428156748911,0.6521739130434783,0.672514619883041,38,69,1,23
referred,0.7663043478260869,0.6413043478260869,0.6652173913043479,41,69,5,23
eating,0.8526785714285714,0.6413043478260869,0.6598553345388788,36,69,0,23
note,0.7931611669057866,0.6304347826086957,0.6533169533169533,38,69,3,23
names,0.8105950653120463,0.6304347826086957,0.6520467836257311,37,69,2,23
bottles,0.8508771929824561,0.6304347826086957,0.6485576923076923,35,69,0,23
classified,0.8508771929824561,0.6304347826086957,0.6485576923076923,35,69,0,23
makes,0.7585227272727273,0.6195652173913043,0.6444596784245296,39,69,5,23
ranging,0.7735714285714286,0.6195652173913043,0.6436504998148833,38,69,4,23
found,0.7899038461538462,0.6195652173913043,0.6425076452599389,37,69,3,23
shaped,0.7899038461538462,0.6195652173913043,0.6425076452599389,37,69,3,23
notices,0.7899038461538462,0.6195652173913043,0.6425076452599389,37,69,3,23
eaten,0.8077485380116959,0.6195652173913043,0.6410365335598981,36,69,2,23
rare,0.8273809523809524,0.6195652173913043,0.6392405063291139,35,69,1,23
fish,0.8273809523809524,0.6195652173913043,0.6392405063291139,35,69,1,23
apple,0.8491379310344828,0.6195652173913043,0.6371209397099364,34,69,0,23
contain,0.7866473149492018,0.6086956521739131,0.6315789473684211,36,69,3,23
clean,0.804914004914005,0.6086956521739131,0.629898403483309,35,69,2,23
juice,0.8250626566416039,0.6086956521739131,0.6278846153846154,34,69,1,23
bottle,0.8250626566416039,0.6086956521739131,0.6278846153846154,34,69,1,23
fashioned,0.8250626566416039,0.6086956521739131,0.6278846153846154,34,69,1,23
grow,0.8250626566416039,0.6086956521739131,0.6278846153846154,34,69,1,23
fruit,0.847457627118644,0.6086956521739131,0.6255380200860832,33,69,0,23
stuck,0.847457627118644,0.6086956521739131,0.6255380200860832,33,69,0,23
olive,0.847457627118644,0.6086956521739131,0.6255380200860832,33,69,0,23
hold,0.7663461538461539,0.5978260869565217,0.622079510703364,36,69,4,23
dog,0.7663461538461539,0.5978260869565217,0.622079510703364,36,69,4,23
item,0.7833820662768032,0.5978260869565217,0.6205243354776064,35,69,3,23
inc,0.7833820662768032,0.5978260869565217,0.6205243354776064,35,69,3,23
wash,0.8020833333333334,0.5978260869565217,0.618625678119349,34,69,2,23
