context,p,r,f1,n_pos,total_pos,n_neg,total_neg
blow,1.0,1.0,1.0,10,10,0,5
exposed,1.0,1.0,1.0,10,10,0,5
believed,1.0,1.0,1.0,10,10,0,5
turning,1.0,1.0,1.0,10,10,0,5
powerful,1.0,1.0,1.0,10,10,0,5
bomb,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
destroy,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
constructed,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
throughout,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
concept,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
power,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
moments,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
due,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
developing,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
kind,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
unusual,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
acquired,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
spanish,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
carried,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
mission,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
quickly,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
blood,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
suggests,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
seriously,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
dragon,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
seem,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
french,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
deep,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
escaped,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
japanese,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
alive,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
stopped,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
rise,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
ship,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
breaking,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
dozens,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
perhaps,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
grown,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
caused,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
fighting,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
probably,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
moment,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
hoping,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
cold,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
wider,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
carrying,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
constant,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
destroying,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
extremely,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
range,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
characterized,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
japan,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
closest,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
heading,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
weapon,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
explosion,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
sea,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
burning,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
valley,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
suffered,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
contact,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
causing,0.9444444444444445,0.9333333333333333,0.9346092503987241,9,10,0,5
novel,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
involves,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
buried,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
element,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
discovered,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
grave,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
development,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
three,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
far,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
driven,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
loose,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
poison,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
focus,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
four,0.9047619047619048,0.8666666666666667,0.8703703703703703,8,10,0,5
