context,p,r,f1,n_pos,total_pos,n_neg,total_neg
killing,0.8730330982094412,0.8144329896907216,0.8147880286135073,40,58,0,39
kills,0.8510309278350515,0.7938144329896907,0.7942089206816746,39,58,1,39
gun,0.8460262335129025,0.7835051546391752,0.7835051546391754,38,58,1,39
attack,0.8411580234878652,0.7731958762886598,0.7727137246651239,37,58,1,39
weapons,0.8411580234878652,0.7731958762886598,0.7727137246651239,37,58,1,39
weapon,0.8364168292003344,0.7628865979381443,0.7618277183117118,36,58,1,39
attacks,0.8317935139804331,0.7525773195876289,0.750840096512393,35,58,1,39
kill,0.8317935139804331,0.7525773195876289,0.750840096512393,35,58,1,39
firing,0.8468335787923417,0.7525773195876289,0.74941334669233,34,58,0,39
killed,0.8135553078852048,0.7422680412371134,0.7411170851214258,35,58,2,39
armed,0.8135553078852048,0.7422680412371134,0.7411170851214258,35,58,2,39
target,0.8272792056629769,0.7422680412371134,0.7397436783917832,34,58,1,39
close,0.7960583793924791,0.7319587628865979,0.7313889473315099,35,58,3,39
escaped,0.822865228565653,0.7319587628865979,0.7285311255833574,33,58,1,39
shoot,0.8391752577319588,0.7319587628865979,0.7267468499427262,32,58,0,39
shot,0.8037103900422823,0.7216494845360825,0.7189231726631259,33,58,2,39
self,0.8037103900422823,0.7216494845360825,0.7189231726631259,33,58,2,39
enemy,0.8185430334270541,0.7216494845360825,0.7171949259828352,32,58,1,39
confronted,0.8185430334270541,0.7216494845360825,0.7171949259828352,32,58,1,39
similar,0.7630222463374933,0.711340206185567,0.7118924889543445,35,58,5,39
him,0.7630222463374933,0.711340206185567,0.7118924889543445,35,58,5,39
carries,0.7988968783389644,0.711340206185567,0.707648904474385,32,58,2,39
unnamed,0.8143041237113402,0.711340206185567,0.7057273768613974,31,58,1,39
fired,0.8319741498692107,0.711340206185567,0.7035419355979559,30,58,0,39
mistakenly,0.8319741498692107,0.711340206185567,0.7035419355979559,30,58,0,39
found,0.7473643090628255,0.7010309278350515,0.7021117304351162,35,58,6,39
man,0.7678322652549456,0.7010309278350515,0.6996958187408541,33,58,4,39
danger,0.7801415744215876,0.7010309278350515,0.6981026669344687,32,58,3,39
combat,0.7941414792252421,0.7010309278350515,0.6962464019815635,31,58,2,39
police,0.7941414792252421,0.7010309278350515,0.6962464019815635,31,58,2,39
dangerous,0.7941414792252421,0.7010309278350515,0.6962464019815635,31,58,2,39
cannon,0.8101399764186595,0.7010309278350515,0.6941205672585263,30,58,1,39
were,0.7322086847860044,0.6907216494845361,0.6923009431892958,35,58,7,39
pistol,0.8285324439053973,0.7010309278350515,0.6917172495744611,29,58,0,39
shooting,0.8285324439053973,0.7010309278350515,0.6917172495744611,29,58,0,39
terrorist,0.8285324439053973,0.7010309278350515,0.6917172495744611,29,58,0,39
earlier,0.750958735297093,0.6907216494845361,0.6900641699978962,33,58,5,39
appears,0.76219180140086,0.6907216494845361,0.6885501206404913,32,58,4,39
incident,0.7749285281122759,0.6907216494845361,0.6867666833654125,31,58,3,39
evidence,0.7749285281122759,0.6907216494845361,0.6867666833654125,31,58,3,39
guns,0.7894329896907217,0.6907216494845361,0.6847079037800687,30,58,2,39
battle,0.7894329896907217,0.6907216494845361,0.6847079037800687,30,58,2,39
capture,0.7894329896907217,0.6907216494845361,0.6847079037800687,30,58,2,39
crime,0.7894329896907217,0.6907216494845361,0.6847079037800687,30,58,2,39
mask,0.8060419551725906,0.6907216494845361,0.6823663595692384,29,58,1,39
arrested,0.8251904975347377,0.6907216494845361,0.6797330775992967,28,58,0,39
suspects,0.8251904975347377,0.6907216494845361,0.6797330775992967,28,58,0,39
war,0.7565727588008931,0.6804123711340206,0.6772821612058114,31,58,4,39
commander,0.7565727588008931,0.6804123711340206,0.6772821612058114,31,58,4,39
carried,0.7697399250234301,0.6804123711340206,0.6752978779802922,30,58,3,39
killer,0.7697399250234301,0.6804123711340206,0.6752978779802922,30,58,3,39
hidden,0.7697399250234301,0.6804123711340206,0.6752978779802922,30,58,3,39
stating,0.7697399250234301,0.6804123711340206,0.6752978779802922,30,58,3,39
explosive,0.7697399250234301,0.6804123711340206,0.6752978779802922,30,58,3,39
encounter,0.7847598028841793,0.6804123711340206,0.6730254339660108,29,58,2,39
allegedly,0.7847598028841793,0.6804123711340206,0.6730254339660108,29,58,2,39
army,0.8020012128562766,0.6804123711340206,0.670456370234769,28,58,1,39
murder,0.8020012128562766,0.6804123711340206,0.670456370234769,28,58,1,39
by,0.7389912305410024,0.6701030927835051,0.6677867953498575,31,58,5,39
violent,0.8219440353460972,0.6804123711340206,0.6675805742707562,27,58,0,39
arrest,0.8219440353460972,0.6804123711340206,0.6675805742707562,27,58,0,39
suspected,0.8219440353460972,0.6804123711340206,0.6675805742707562,27,58,0,39
alleged,0.8219440353460972,0.6804123711340206,0.6675805742707562,27,58,0,39
hiding,0.7509601778855872,0.6701030927835051,0.6658844622564399,30,58,4,39
fights,0.7509601778855872,0.6701030927835051,0.6658844622564399,30,58,4,39
carrying,0.764561855670103,0.6701030927835051,0.66368843069874,29,58,3,39
victim,0.764561855670103,0.6701030927835051,0.66368843069874,29,58,3,39
identified,0.764561855670103,0.6701030927835051,0.66368843069874,29,58,3,39
sword,0.7801097604759707,0.6701030927835051,0.6611907835405209,28,58,2,39
officer,0.7801097604759707,0.6701030927835051,0.6611907835405209,28,58,2,39
stolen,0.7801097604759707,0.6701030927835051,0.6611907835405209,28,58,2,39
carry,0.7801097604759707,0.6701030927835051,0.6611907835405209,28,58,2,39
trigger,0.7801097604759707,0.6701030927835051,0.6611907835405209,28,58,2,39
escapes,0.7801097604759707,0.6701030927835051,0.6611907835405209,28,58,2,39
