context,p,r,f1,n_pos,total_pos,n_neg,total_neg
owl,0.9038461538461539,0.8076923076923077,0.8267498267498267,32,42,0,10
white,0.8951048951048951,0.7692307692307693,0.7932692307692307,30,42,0,10
nests,0.8951048951048951,0.7692307692307693,0.7932692307692307,30,42,0,10
woodpecker,0.8951048951048951,0.7692307692307693,0.7932692307692307,30,42,0,10
red,0.8951048951048951,0.7692307692307693,0.7932692307692307,30,42,0,10
green,0.8951048951048951,0.7692307692307693,0.7932692307692307,30,42,0,10
such,0.8951048951048951,0.7692307692307693,0.7932692307692307,30,42,0,10
dove,0.891304347826087,0.75,0.7763551002987623,29,42,0,10
eurasian,0.8878205128205128,0.7307692307692307,0.7592760180995476,28,42,0,10
billed,0.8878205128205128,0.7307692307692307,0.7592760180995476,28,42,0,10
which,0.8341346153846154,0.7307692307692307,0.7574497574497575,30,42,2,10
headed,0.8846153846153846,0.7115384615384616,0.7419971333014812,27,42,0,10
hawk,0.8846153846153846,0.7115384615384616,0.7419971333014812,27,42,0,10
grey,0.8846153846153846,0.7115384615384616,0.7419971333014812,27,42,0,10
tail,0.8846153846153846,0.7115384615384616,0.7419971333014812,27,42,0,10
kestrel,0.8846153846153846,0.7115384615384616,0.7419971333014812,27,42,0,10
common,0.8509615384615384,0.6923076923076923,0.7248868778280543,27,42,1,10
brown,0.8816568047337279,0.6923076923076923,0.7244846656611362,26,42,0,10
kingfisher,0.8816568047337279,0.6923076923076923,0.7244846656611362,26,42,0,10
crested,0.8816568047337279,0.6923076923076923,0.7244846656611362,26,42,0,10
crow,0.8816568047337279,0.6923076923076923,0.7244846656611362,26,42,0,10
bird,0.823776223776224,0.6923076923076923,0.7243589743589743,28,42,2,10
small,0.847008547008547,0.6730769230769231,0.707596751075012,26,42,1,10
length,0.847008547008547,0.6730769230769231,0.707596751075012,26,42,1,10
warbler,0.8789173789173789,0.6730769230769231,0.706705557451826,25,42,0,10
sparrow,0.8789173789173789,0.6730769230769231,0.706705557451826,25,42,0,10
jay,0.8789173789173789,0.6730769230769231,0.706705557451826,25,42,0,10
raven,0.8789173789173789,0.6730769230769231,0.706705557451826,25,42,0,10
pigeon,0.8789173789173789,0.6730769230769231,0.706705557451826,25,42,0,10
closely,0.8789173789173789,0.6730769230769231,0.706705557451826,25,42,0,10
falcon,0.8763736263736264,0.6538461538461539,0.6886271623113729,24,42,0,10
old,0.8763736263736264,0.6538461538461539,0.6886271623113729,24,42,0,10
winged,0.8763736263736264,0.6538461538461539,0.6886271623113729,24,42,0,10
spotted,0.8394871794871795,0.6346153846153846,0.6722003289167469,24,42,1,10
took,0.8394871794871795,0.6346153846153846,0.6722003289167469,24,42,1,10
flight,0.8394871794871795,0.6346153846153846,0.6722003289167469,24,42,1,10
only,0.8394871794871795,0.6346153846153846,0.6722003289167469,24,42,1,10
habitat,0.8740053050397878,0.6346153846153846,0.6702169625246549,23,42,0,10
night,0.8740053050397878,0.6346153846153846,0.6702169625246549,23,42,0,10
yellow,0.8740053050397878,0.6346153846153846,0.6702169625246549,23,42,0,10
long,0.804733727810651,0.6153846153846154,0.6556058320764203,24,42,2,10
described,0.804733727810651,0.6153846153846154,0.6556058320764203,24,42,2,10
great,0.8358516483516484,0.6153846153846154,0.6540301803459698,23,42,1,10
northern,0.8358516483516484,0.6153846153846154,0.6540301803459698,23,42,1,10
song,0.8358516483516484,0.6153846153846154,0.6540301803459698,23,42,1,10
gray,0.8358516483516484,0.6153846153846154,0.6540301803459698,23,42,1,10
dark,0.8358516483516484,0.6153846153846154,0.6540301803459698,23,42,1,10
eagle,0.8358516483516484,0.6153846153846154,0.6540301803459698,23,42,1,10
thrush,0.8717948717948718,0.6153846153846154,0.6514423076923077,22,42,0,10
flycatcher,0.8717948717948718,0.6153846153846154,0.6514423076923077,22,42,0,10
resembles,0.8717948717948718,0.6153846153846154,0.6514423076923077,22,42,0,10
largely,0.8717948717948718,0.6153846153846154,0.6514423076923077,22,42,0,10
prey,0.8717948717948718,0.6153846153846154,0.6514423076923077,22,42,0,10
peregrine,0.8717948717948718,0.6153846153846154,0.6514423076923077,22,42,0,10
ground,0.8717948717948718,0.6153846153846154,0.6514423076923077,22,42,0,10
considered,0.80005698005698,0.5961538461538463,0.6376951003816677,23,42,2,10
its,0.80005698005698,0.5961538461538463,0.6376951003816677,23,42,2,10
breeds,0.80005698005698,0.5961538461538463,0.6376951003816677,23,42,2,10
rare,0.80005698005698,0.5961538461538463,0.6376951003816677,23,42,2,10
while,0.80005698005698,0.5961538461538463,0.6376951003816677,23,42,2,10
life,0.80005698005698,0.5961538461538463,0.6376951003816677,23,42,2,10
placed,0.80005698005698,0.5961538461538463,0.6376951003816677,23,42,2,10
blue,0.8322569484488527,0.5961538461538461,0.6355029585798816,22,42,1,10
eats,0.8322569484488527,0.5961538461538461,0.6355029585798816,22,42,1,10
larger,0.8322569484488527,0.5961538461538461,0.6355029585798816,22,42,1,10
feeds,0.8322569484488527,0.5961538461538461,0.6355029585798816,22,42,1,10
breeding,0.8322569484488527,0.5961538461538461,0.6355029585798816,22,42,1,10
heron,0.8322569484488527,0.5961538461538461,0.6355029585798816,22,42,1,10
wild,0.8322569484488527,0.5961538461538461,0.6355029585798816,22,42,1,10
breasted,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
swift,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
throated,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
round,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
begins,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
etc,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
kite,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
breed,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
deer,0.869727047146402,0.5961538461538461,0.6322701688555347,21,42,0,10
others,0.7953296703296703,0.5769230769230769,0.6194331983805669,22,42,2,10
non,0.7953296703296703,0.5769230769230769,0.6194331983805669,22,42,2,10
company,0.7953296703296703,0.5769230769230769,0.6194331983805669,22,42,2,10
call,0.7953296703296703,0.5769230769230769,0.6194331983805669,22,42,2,10
both,0.7953296703296703,0.5769230769230769,0.6194331983805669,22,42,2,10
often,0.7953296703296703,0.5769230769230769,0.6194331983805669,22,42,2,10
endangered,0.7953296703296703,0.5769230769230769,0.6194331983805669,22,42,2,10
slightly,0.8286713286713288,0.5769230769230769,0.6165865384615384,21,42,1,10
separate,0.8286713286713288,0.5769230769230769,0.6165865384615384,21,42,1,10
migratory,0.8286713286713288,0.5769230769230769,0.6165865384615384,21,42,1,10
golden,0.8286713286713288,0.5769230769230769,0.6165865384615384,21,42,1,10
osprey,0.8286713286713288,0.5769230769230769,0.6165865384615384,21,42,1,10
wren,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
willow,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
bellied,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
swallow,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
wing,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
lesser,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
forest,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
pale,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
vulture,0.8677884615384616,0.5769230769230769,0.6126669029894837,20,42,0,10
include,0.7606267806267807,0.5576923076923077,0.6031898718465882,22,42,3,10
like,0.7905085918579171,0.5576923076923077,0.6007889546351084,21,42,2,10
see,0.7905085918579171,0.5576923076923077,0.6007889546351084,21,42,2,10
endemic,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
robin,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
resident,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
except,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
confused,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
plumage,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
occurs,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
typically,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
least,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
formerly,0.8250620347394542,0.5576923076923077,0.5972482801751096,20,42,1,10
wood,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
quail,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
central,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
typical,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
flies,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
california,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
backed,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
hooded,0.865967365967366,0.5576923076923077,0.5925980234024458,19,42,0,10
on,0.727810650887574,0.5384615384615384,0.5867269984917045,22,42,4,10
name,0.727810650887574,0.5384615384615384,0.5867269984917045,22,42,4,10
member,0.7548076923076923,0.5384615384615384,0.5848362164151637,21,42,3,10
referred,0.7548076923076923,0.5384615384615384,0.5848362164151637,21,42,3,10
than,0.7548076923076923,0.5384615384615384,0.5848362164151637,21,42,3,10
best,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
road,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
distinctive,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
medium,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
nesting,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
nickname,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
area,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
film,0.7855477855477855,0.5384615384615384,0.5817307692307692,20,42,2,10
released,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
southern,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
concern,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
hunted,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
oriole,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
legged,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
light,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
apparently,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
occasionally,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
occasional,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
differs,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
fish,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
debut,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
movie,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
frequently,0.8213942307692308,0.5384615384615384,0.5774548032612549,19,42,1,10
nightingale,0.8642533936651583,0.5384615384615384,0.572027972027972,18,42,0,10
conspecific,0.8642533936651583,0.5384615384615384,0.572027972027972,18,42,0,10
woods,0.8642533936651583,0.5384615384615384,0.572027972027972,18,42,0,10
eating,0.8642533936651583,0.5384615384615384,0.572027972027972,18,42,0,10
flown,0.8642533936651583,0.5384615384615384,0.572027972027972,18,42,0,10
calls,0.8642533936651583,0.5384615384615384,0.572027972027972,18,42,0,10
bald,0.8642533936651583,0.5384615384615384,0.572027972027972,18,42,0,10
is,0.6965811965811965,0.5192307692307693,0.5699952221691352,22,42,5,10
with,0.7211965811965813,0.5192307692307693,0.568684643311509,21,42,4,10
world,0.7211965811965813,0.5192307692307693,0.568684643311509,21,42,4,10
but,0.7211965811965813,0.5192307692307693,0.568684643311509,21,42,4,10
known,0.7487602352669819,0.5192307692307693,0.5660749506903353,20,42,3,10
being,0.7487602352669819,0.5192307692307693,0.5660749506903353,20,42,3,10
threatened,0.7487602352669819,0.5192307692307693,0.5660749506903353,20,42,3,10
throughout,0.7487602352669819,0.5192307692307693,0.5660749506903353,20,42,3,10
seen,0.7487602352669819,0.5192307692307693,0.5660749506903353,20,42,3,10
of,0.7487602352669819,0.5192307692307693,0.5660749506903353,20,42,3,10
by,0.7803970223325062,0.5192307692307693,0.5622263914946841,19,42,2,10
city,0.7803970223325062,0.5192307692307693,0.5622263914946841,19,42,2,10
do,0.7803970223325062,0.5192307692307693,0.5622263914946841,19,42,2,10
early,0.7803970223325062,0.5192307692307693,0.5622263914946841,19,42,2,10
sized,0.7803970223325062,0.5192307692307693,0.5622263914946841,19,42,2,10
even,0.7803970223325062,0.5192307692307693,0.5622263914946841,19,42,2,10
uss,0.7803970223325062,0.5192307692307693,0.5622263914946841,19,42,2,10
weighs,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
german,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
nearby,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
most,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
cuckoo,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
upper,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
follow,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
spring,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
sister,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
observed,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
reference,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
preferred,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
black,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
owner,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
located,0.8176297386823703,0.5192307692307693,0.5571717645678759,18,42,1,10
tiny,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
wagtail,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
possibly,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
snipe,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
gives,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
partridge,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
catch,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
cormorant,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
silver,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
lake,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
river,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
annual,0.8626373626373626,0.5192307692307693,0.5509198899029408,17,42,0,10
famous,0.7142857142857143,0.5,0.5502392344497609,20,42,4,10
it,0.7424242424242424,0.5,0.546875,19,42,3,10
real,0.7424242424242424,0.5,0.546875,19,42,3,10
numerous,0.7424242424242424,0.5,0.546875,19,42,3,10
species,0.7424242424242424,0.5,0.546875,19,42,3,10
five,0.7424242424242424,0.5,0.546875,19,42,3,10
appears,0.7424242424242424,0.5,0.546875,19,42,3,10
family,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
rock,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
west,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
hms,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
version,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
past,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
bee,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
directed,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
examples,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
pairs,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
means,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
over,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
mid,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
october,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
songs,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
along,0.7750000000000001,0.5,0.5422427035330261,18,42,2,10
rescue,0.8137254901960784,0.5,0.5363636363636364,17,42,1,10
involved,0.8137254901960784,0.5,0.5363636363636364,17,42,1,10
middle,0.8137254901960784,0.5,0.5363636363636364,17,42,1,10
swamp,0.8137254901960784,0.5,0.5363636363636364,17,42,1,10
crowned,0.8137254901960784,0.5,0.5363636363636364,17,42,1,10
rather,0.8137254901960784,0.5,0.5363636363636364,17,42,1,10
way,0.8137254901960784,0.5,0.5363636363636364,17,42,1,10
