context,p,r,f1,n_pos,total_pos,n_neg,total_neg
during,1.0,1.0,1.0,2,2,0,10
champion,1.0,1.0,1.0,2,2,0,10
women,1.0,1.0,1.0,2,2,0,10
wrestling,1.0,1.0,1.0,2,2,0,10
premiere,1.0,1.0,1.0,2,2,0,10
time,1.0,1.0,1.0,2,2,0,10
finals,1.0,1.0,1.0,2,2,0,10
arab,1.0,1.0,1.0,2,2,0,10
after,1.0,1.0,1.0,2,2,0,10
20,1.0,1.0,1.0,2,2,0,10
tournament,1.0,1.0,1.0,2,2,0,10
cricket,1.0,1.0,1.0,2,2,0,10
ranked,1.0,1.0,1.0,2,2,0,10
olympic,1.0,1.0,1.0,2,2,0,10
trade,1.0,1.0,1.0,2,2,0,10
sprint,1.0,1.0,1.0,2,2,0,10
title,1.0,1.0,1.0,2,2,0,10
1914,1.0,1.0,1.0,2,2,0,10
served,1.0,1.0,1.0,2,2,0,10
final,1.0,1.0,1.0,2,2,0,10
she,1.0,1.0,1.0,2,2,0,10
up,1.0,1.0,1.0,2,2,0,10
new,1.0,1.0,1.0,2,2,0,10
19,1.0,1.0,1.0,2,2,0,10
end,1.0,1.0,1.0,2,2,0,10
held,1.0,1.0,1.0,2,2,0,10
2014,1.0,1.0,1.0,2,2,0,10
canoe,1.0,1.0,1.0,2,2,0,10
gold,1.0,1.0,1.0,2,2,0,10
artistic,1.0,1.0,1.0,2,2,0,10
english,1.0,1.0,1.0,2,2,0,10
third,1.0,1.0,1.0,2,2,0,10
records,1.0,1.0,1.0,2,2,0,10
high,1.0,1.0,1.0,2,2,0,10
2003,1.0,1.0,1.0,2,2,0,10
win,1.0,1.0,1.0,2,2,0,10
2006,1.0,1.0,1.0,2,2,0,10
anywhere,1.0,1.0,1.0,2,2,0,10
this,1.0,1.0,1.0,2,2,0,10
best,1.0,1.0,1.0,2,2,0,10
place,1.0,1.0,1.0,2,2,0,10
2011,1.0,1.0,1.0,2,2,0,10
match,1.0,1.0,1.0,2,2,0,10
outside,1.0,1.0,1.0,2,2,0,10
muslim,1.0,1.0,1.0,2,2,0,10
developing,1.0,1.0,1.0,2,2,0,10
rest,1.0,1.0,1.0,2,2,0,10
nation,1.0,1.0,1.0,2,2,0,10
islamic,1.0,1.0,1.0,2,2,0,10
music,1.0,1.0,1.0,2,2,0,10
class,1.0,1.0,1.0,2,2,0,10
semi,1.0,1.0,1.0,2,2,0,10
were,1.0,1.0,1.0,2,2,0,10
metres,1.0,1.0,1.0,2,2,0,10
played,1.0,1.0,1.0,2,2,0,10
set,1.0,1.0,1.0,2,2,0,10
2002,1.0,1.0,1.0,2,2,0,10
2005,1.0,1.0,1.0,2,2,0,10
religions,1.0,1.0,1.0,2,2,0,10
austria,1.0,1.0,1.0,2,2,0,10
lost,1.0,1.0,1.0,2,2,0,10
fought,1.0,1.0,1.0,2,2,0,10
following,1.0,1.0,1.0,2,2,0,10
canada,1.0,1.0,1.0,2,2,0,10
tennis,1.0,1.0,1.0,2,2,0,10
1942,1.0,1.0,1.0,2,2,0,10
ever,1.0,1.0,1.0,2,2,0,10
magazine,1.0,1.0,1.0,2,2,0,10
us,1.0,1.0,1.0,2,2,0,10
took,1.0,1.0,1.0,2,2,0,10
oldest,1.0,1.0,1.0,2,2,0,10
fourth,1.0,1.0,1.0,2,2,0,10
zealand,1.0,1.0,1.0,2,2,0,10
britain,1.0,1.0,1.0,2,2,0,10
open,1.0,1.0,1.0,2,2,0,10
1982,1.0,1.0,1.0,2,2,0,10
china,1.0,1.0,1.0,2,2,0,10
allies,1.0,1.0,1.0,2,2,0,10
become,1.0,1.0,1.0,2,2,0,10
