context,p,r,f1,n_pos,total_pos,n_neg,total_neg
bamboo,1.0,1.0,1.0,12,12,0,8
leeks,0.9555555555555555,0.95,0.9503836317135551,11,12,0,8
eaten,0.9555555555555555,0.95,0.9503836317135551,11,12,0,8
eggs,0.9555555555555555,0.95,0.9503836317135551,11,12,0,8
ingredient,0.9555555555555555,0.95,0.9503836317135551,11,12,0,8
artichokes,0.9555555555555555,0.95,0.9503836317135551,11,12,0,8
mustard,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
radishes,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
cabbages,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
watercress,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
bananas,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
asparagus,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
flowers,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
often,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
herb,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
contain,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
berries,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
harvested,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
fern,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
trees,0.9199999999999999,0.9,0.901010101010101,10,12,0,8
herbs,0.9,0.9,0.9,11,12,1,8
etc,0.9,0.9,0.9,11,12,1,8
referred,0.9,0.9,0.9,11,12,1,8
with,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
served,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
as,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
root,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
fennel,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
include,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
used,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
citrus,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
finely,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
usually,0.8565656565656565,0.85,0.851150895140665,10,12,1,8
onions,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
spinach,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
kale,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
vegetable,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
grapes,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
water,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
strawberries,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
turnips,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
vitamin,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
stems,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
butter,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
sprouts,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
wine,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
oranges,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
market,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
palm,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
rhubarb,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
black,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
spring,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
reminiscent,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
garden,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
tree,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
young,0.890909090909091,0.85,0.8511278195488721,9,12,0,8
peas,0.82,0.8,0.8020202020202021,9,12,1,8
chicken,0.82,0.8,0.8020202020202021,9,12,1,8
beef,0.82,0.8,0.8020202020202021,9,12,1,8
boiled,0.82,0.8,0.8020202020202021,9,12,1,8
eat,0.82,0.8,0.8020202020202021,9,12,1,8
raw,0.82,0.8,0.8020202020202021,9,12,1,8
pest,0.82,0.8,0.8020202020202021,9,12,1,8
flavour,0.82,0.8,0.8020202020202021,9,12,1,8
states,0.82,0.8,0.8020202020202021,9,12,1,8
planted,0.82,0.8,0.8020202020202021,9,12,1,8
refers,0.82,0.8,0.8020202020202021,9,12,1,8
different,0.82,0.8,0.8020202020202021,9,12,1,8
fruits,0.82,0.8,0.8020202020202021,9,12,1,8
nuts,0.82,0.8,0.8020202020202021,9,12,1,8
japanese,0.82,0.8,0.8020202020202021,9,12,1,8
ingredients,0.8,0.8,0.8,10,12,2,8
agricultural,0.8,0.8,0.8,10,12,2,8
food,0.8,0.8,0.8,10,12,2,8
adding,0.8,0.8,0.8,10,12,2,8
vegetables,0.8666666666666666,0.8,0.8,8,12,0,8
carrots,0.8666666666666666,0.8,0.8,8,12,0,8
leaf,0.8666666666666666,0.8,0.8,8,12,0,8
cucumbers,0.8666666666666666,0.8,0.8,8,12,0,8
broccoli,0.8666666666666666,0.8,0.8,8,12,0,8
cauliflower,0.8666666666666666,0.8,0.8,8,12,0,8
and,0.8666666666666666,0.8,0.8,8,12,0,8
grown,0.8666666666666666,0.8,0.8,8,12,0,8
diet,0.8666666666666666,0.8,0.8,8,12,0,8
derived,0.8666666666666666,0.8,0.8,8,12,0,8
feed,0.8666666666666666,0.8,0.8,8,12,0,8
nut,0.8666666666666666,0.8,0.8,8,12,0,8
amount,0.8666666666666666,0.8,0.8,8,12,0,8
lily,0.8666666666666666,0.8,0.8,8,12,0,8
gram,0.8666666666666666,0.8,0.8,8,12,0,8
ginger,0.8666666666666666,0.8,0.8,8,12,0,8
primary,0.8666666666666666,0.8,0.8,8,12,0,8
scallions,0.8666666666666666,0.8,0.8,8,12,0,8
does,0.8666666666666666,0.8,0.8,8,12,0,8
kind,0.8666666666666666,0.8,0.8,8,12,0,8
indian,0.8666666666666666,0.8,0.8,8,12,0,8
substitute,0.8666666666666666,0.8,0.8,8,12,0,8
abundance,0.8666666666666666,0.8,0.8,8,12,0,8
curd,0.8666666666666666,0.8,0.8,8,12,0,8
salt,0.8666666666666666,0.8,0.8,8,12,0,8
stalks,0.8666666666666666,0.8,0.8,8,12,0,8
cultivated,0.7575757575757576,0.75,0.751918158567775,9,12,2,8
green,0.7575757575757576,0.75,0.751918158567775,9,12,2,8
are,0.7575757575757576,0.75,0.751918158567775,9,12,2,8
widely,0.7575757575757576,0.75,0.751918158567775,9,12,2,8
traditionally,0.7575757575757576,0.75,0.751918158567775,9,12,2,8
tomatoes,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
basil,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
potatoes,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
leaves,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
beans,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
parsley,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
garlic,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
fresh,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
grape,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
stem,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
consumed,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
bitter,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
such,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
perennial,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
grass,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
apples,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
clover,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
kinds,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
beets,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
chinese,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
resembling,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
native,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
meal,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
cut,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
avocado,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
braised,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
mentioned,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
should,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
resemble,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
times,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
combination,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
cooking,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
became,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
sold,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
pig,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
larvae,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
tea,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
coffee,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
local,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
man,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
founded,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
parts,0.7878787878787878,0.75,0.7518796992481203,8,12,1,8
chard,0.8461538461538461,0.75,0.7468671679197995,7,12,0,8
mint,0.8461538461538461,0.75,0.7468671679197995,7,12,0,8
greens,0.8461538461538461,0.75,0.7468671679197995,7,12,0,8
melons,0.8461538461538461,0.75,0.7468671679197995,7,12,0,8
horseradish,0.8461538461538461,0.75,0.7468671679197995,7,12,0,8
95,0.8461538461538461,0.75,0.7468671679197995,7,12,0,8
