context,p,r,f1,n_pos,total_pos,n_neg,total_neg
used,1.0,1.0,1.0,3,3,0,5
also,1.0,1.0,1.0,3,3,0,5
and,1.0,1.0,1.0,3,3,0,5
which,1.0,1.0,1.0,3,3,0,5
refer,1.0,1.0,1.0,3,3,0,5
as,1.0,1.0,1.0,3,3,0,5
reach,1.0,1.0,1.0,3,3,0,5
on,1.0,1.0,1.0,3,3,0,5
either,1.0,1.0,1.0,3,3,0,5
000,1.0,1.0,1.0,3,3,0,5
done,1.0,1.0,1.0,3,3,0,5
grow,1.0,1.0,1.0,3,3,0,5
other,1.0,1.0,1.0,3,3,0,5
provide,1.0,1.0,1.0,3,3,0,5
high,1.0,1.0,1.0,3,3,0,5
at,1.0,1.0,1.0,3,3,0,5
divided,1.0,1.0,1.0,3,3,0,5
distinguished,1.0,1.0,1.0,3,3,0,5
range,1.0,1.0,1.0,3,3,0,5
variety,1.0,1.0,1.0,3,3,0,5
system,1.0,1.0,1.0,3,3,0,5
temperatures,1.0,1.0,1.0,3,3,0,5
water,1.0,1.0,1.0,3,3,0,5
three,1.0,1.0,1.0,3,3,0,5
survive,1.0,1.0,1.0,3,3,0,5
anywhere,1.0,1.0,1.0,3,3,0,5
systems,1.0,1.0,1.0,3,3,0,5
energy,1.0,1.0,1.0,3,3,0,5
increase,1.0,1.0,1.0,3,3,0,5
safely,1.0,1.0,1.0,3,3,0,5
stored,1.0,1.0,1.0,3,3,0,5
devices,1.0,1.0,1.0,3,3,0,5
move,1.0,1.0,1.0,3,3,0,5
run,1.0,1.0,1.0,3,3,0,5
operate,1.0,1.0,1.0,3,3,0,5
control,1.0,1.0,1.0,3,3,0,5
hold,1.0,1.0,1.0,3,3,0,5
serve,1.0,1.0,1.0,3,3,0,5
multiple,1.0,1.0,1.0,3,3,0,5
carry,1.0,1.0,1.0,3,3,0,5
fly,1.0,1.0,1.0,3,3,0,5
set,1.0,1.0,1.0,3,3,0,5
effects,1.0,1.0,1.0,3,3,0,5
enter,1.0,1.0,1.0,3,3,0,5
include,1.0,1.0,1.0,3,3,0,5
perform,1.0,1.0,1.0,3,3,0,5
maximum,1.0,1.0,1.0,3,3,0,5
signal,1.0,1.0,1.0,3,3,0,5
temperature,1.0,1.0,1.0,3,3,0,5
conditions,1.0,1.0,1.0,3,3,0,5
effectively,1.0,1.0,1.0,3,3,0,5
contain,1.0,1.0,1.0,3,3,0,5
controlled,1.0,1.0,1.0,3,3,0,5
surface,1.0,1.0,1.0,3,3,0,5
effective,1.0,1.0,1.0,3,3,0,5
performed,1.0,1.0,1.0,3,3,0,5
server,1.0,1.0,1.0,3,3,0,5
light,1.0,1.0,1.0,3,3,0,5
plants,1.0,1.0,1.0,3,3,0,5
walk,1.0,1.0,1.0,3,3,0,5
heat,1.0,1.0,1.0,3,3,0,5
purchased,1.0,1.0,1.0,3,3,0,5
small,1.0,1.0,1.0,3,3,0,5
undergo,1.0,1.0,1.0,3,3,0,5
environments,1.0,1.0,1.0,3,3,0,5
within,1.0,1.0,1.0,3,3,0,5
weapon,1.0,1.0,1.0,3,3,0,5
deliver,1.0,1.0,1.0,3,3,0,5
save,1.0,1.0,1.0,3,3,0,5
weapons,1.0,1.0,1.0,3,3,0,5
10,1.0,1.0,1.0,3,3,0,5
four,1.0,1.0,1.0,3,3,0,5
field,1.0,1.0,1.0,3,3,0,5
stay,1.0,1.0,1.0,3,3,0,5
area,1.0,1.0,1.0,3,3,0,5
materials,1.0,1.0,1.0,3,3,0,5
frequency,1.0,1.0,1.0,3,3,0,5
trigger,1.0,1.0,1.0,3,3,0,5
passengers,1.0,1.0,1.0,3,3,0,5
utilized,1.0,1.0,1.0,3,3,0,5
plant,1.0,1.0,1.0,3,3,0,5
open,1.0,1.0,1.0,3,3,0,5
half,1.0,1.0,1.0,3,3,0,5
test,1.0,1.0,1.0,3,3,0,5
wide,1.0,1.0,1.0,3,3,0,5
throw,1.0,1.0,1.0,3,3,0,5
prepared,1.0,1.0,1.0,3,3,0,5
equipment,1.0,1.0,1.0,3,3,0,5
air,1.0,1.0,1.0,3,3,0,5
allow,1.0,1.0,1.0,3,3,0,5
ground,1.0,1.0,1.0,3,3,0,5
added,1.0,1.0,1.0,3,3,0,5
vehicle,1.0,1.0,1.0,3,3,0,5
additional,1.0,1.0,1.0,3,3,0,5
classes,1.0,1.0,1.0,3,3,0,5
combined,1.0,1.0,1.0,3,3,0,5
velocity,1.0,1.0,1.0,3,3,0,5
constructed,1.0,1.0,1.0,3,3,0,5
distance,1.0,1.0,1.0,3,3,0,5
dance,1.0,1.0,1.0,3,3,0,5
