context,p,r,f1,n_pos,total_pos,n_neg,total_neg
provide,0.9387755102040816,0.9285714285714286,0.928937728937729,7,8,0,6
meat,0.9387755102040816,0.9285714285714286,0.928937728937729,7,8,0,6
building,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
heat,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
smoke,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
burnt,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
carry,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
ashes,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
wooden,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
traditional,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
readily,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
hot,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
ground,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
beneath,0.8928571428571429,0.8571428571428571,0.8571428571428571,6,8,0,6
water,0.7959183673469388,0.7857142857142857,0.7868131868131868,6,8,1,6
amount,0.7959183673469388,0.7857142857142857,0.7868131868131868,6,8,1,6
generated,0.7959183673469388,0.7857142857142857,0.7868131868131868,6,8,1,6
food,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
burned,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
fuel,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
burning,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
fires,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
burn,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
storage,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
fire,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
burns,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
outdoor,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
log,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
produce,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
lit,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
energy,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
operation,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
fell,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
equipment,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
prepare,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
crew,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
pot,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
corn,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
digging,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
1880s,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
flour,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
dust,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
tough,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
peak,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
perry,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
devices,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
typical,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
advantages,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
metal,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
incorporated,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
electric,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
round,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
converted,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
installation,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
operating,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
structure,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
field,0.8571428571428571,0.7857142857142857,0.7824175824175824,5,8,0,6
addition,0.7142857142857143,0.7142857142857143,0.7142857142857143,6,8,2,6
often,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
requiring,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
reduction,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
firing,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
hole,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
handling,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
rapid,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
wheels,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
ended,0.7440476190476192,0.7142857142857143,0.7142857142857143,5,8,1,6
timber,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
wood,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
used,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
tree,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
vegetation,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
dried,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
cooked,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
carrying,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
vegetables,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
amounts,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
materials,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
gas,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
cook,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
carried,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
cleaning,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
steam,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
resources,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
ash,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
protection,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
fresh,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
clean,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
expansion,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
stopped,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
oil,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
purposes,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
pottery,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
kitchen,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
hard,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
dense,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
bread,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
dug,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
powered,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
cheap,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
suitable,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
cold,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
copper,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
delivery,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
style,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
iron,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
rapidly,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
waste,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
production,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
soap,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
electricity,0.8285714285714285,0.7142857142857143,0.7023809523809523,4,8,0,6
