context,p,r,f1,n_pos,total_pos,n_neg,total_neg
network,1.0,1.0,1.0,2,2,0,1
rice,1.0,1.0,1.0,2,2,0,1
satellite,1.0,1.0,1.0,2,2,0,1
is,1.0,1.0,1.0,2,2,0,1
traditional,1.0,1.0,1.0,2,2,0,1
served,1.0,1.0,1.0,2,2,0,1
breakfast,1.0,1.0,1.0,2,2,0,1
the,1.0,1.0,1.0,2,2,0,1
channel,1.0,1.0,1.0,2,2,0,1
signature,1.0,1.0,1.0,2,2,0,1
consisting,1.0,1.0,1.0,2,2,0,1
meal,1.0,1.0,1.0,2,2,0,1
originated,1.0,1.0,1.0,2,2,0,1
restaurants,1.0,1.0,1.0,2,2,0,1
called,1.0,1.0,1.0,2,2,0,1
recipe,1.0,1.0,1.0,2,2,0,1
of,1.0,1.0,1.0,2,2,0,1
to,1.0,1.0,1.0,2,2,0,1
in,1.0,1.0,1.0,2,2,0,1
tv,1.0,1.0,1.0,2,2,0,1
bread,1.0,1.0,1.0,2,2,0,1
with,1.0,1.0,1.0,2,2,0,1
dessert,1.0,1.0,1.0,2,2,0,1
beans,1.0,1.0,1.0,2,2,0,1
taste,1.0,1.0,1.0,2,2,0,1
this,1.0,1.0,1.0,2,2,0,1
providers,1.0,1.0,1.0,2,2,0,1
often,1.0,1.0,1.0,2,2,0,1
spices,1.0,1.0,1.0,2,2,0,1
chef,1.0,1.0,1.0,2,2,0,1
menu,1.0,1.0,1.0,2,2,0,1
main,1.0,1.0,1.0,2,2,0,1
originating,1.0,1.0,1.0,2,2,0,1
sirius,1.0,1.0,1.0,2,2,0,1
common,1.0,1.0,1.0,2,2,0,1
that,1.0,1.0,1.0,2,2,0,1
subscribers,1.0,1.0,1.0,2,2,0,1
delicious,1.0,1.0,1.0,2,2,0,1
available,1.0,1.0,1.0,2,2,0,1
mexican,1.0,1.0,1.0,2,2,0,1
pizza,1.0,1.0,1.0,2,2,0,1
from,1.0,1.0,1.0,2,2,0,1
favourite,1.0,1.0,1.0,2,2,0,1
roasted,1.0,1.0,1.0,2,2,0,1
at,1.0,1.0,1.0,2,2,0,1
on,1.0,1.0,1.0,2,2,0,1
invented,1.0,1.0,1.0,2,2,0,1
restaurant,1.0,1.0,1.0,2,2,0,1
flavor,1.0,1.0,1.0,2,2,0,1
consists,1.0,1.0,1.0,2,2,0,1
pot,1.0,1.0,1.0,2,2,0,1
national,1.0,1.0,1.0,2,2,0,1
dinner,1.0,1.0,1.0,2,2,0,1
specialty,1.0,1.0,1.0,2,2,0,1
pepper,1.0,1.0,1.0,2,2,0,1
cold,1.0,1.0,1.0,2,2,0,1
well,1.0,1.0,1.0,2,2,0,1
italian,1.0,1.0,1.0,2,2,0,1
steak,1.0,1.0,1.0,2,2,0,1
hot,1.0,1.0,1.0,2,2,0,1
preparation,1.0,1.0,1.0,2,2,0,1
milk,1.0,1.0,1.0,2,2,0,1
based,1.0,1.0,1.0,2,2,0,1
nasi,1.0,1.0,1.0,2,2,0,1
christmas,1.0,1.0,1.0,2,2,0,1
snack,1.0,1.0,1.0,2,2,0,1
high,1.0,1.0,1.0,2,2,0,1
also,1.0,1.0,1.0,2,2,0,1
popularity,1.0,1.0,1.0,2,2,0,1
for,1.0,1.0,1.0,2,2,0,1
one,1.0,1.0,1.0,2,2,0,1
bacon,1.0,1.0,1.0,2,2,0,1
variation,1.0,1.0,1.0,2,2,0,1
