context,p,r,f1,n_pos,total_pos,n_neg,total_neg
sardine,1.0,1.0,1.0,1,1,0,1
fishery,1.0,1.0,1.0,1,1,0,1
cannery,1.0,1.0,1.0,1,1,0,1
mackerel,1.0,1.0,1.0,1,1,0,1
burial,1.0,1.0,1.0,1,1,0,1
tanganyika,1.0,1.0,1.0,1,1,0,1
herring,1.0,1.0,1.0,1,1,0,1
pilchard,1.0,1.0,1.0,1,1,0,1
anchovy,1.0,1.0,1.0,1,1,0,1
rainbow,1.0,1.0,1.0,1,1,0,1
tuna,1.0,1.0,1.0,1,1,0,1
canning,1.0,1.0,1.0,1,1,0,1
fish,1.0,1.0,1.0,1,1,0,1
cans,1.0,1.0,1.0,1,1,0,1
sardinella,1.0,1.0,1.0,1,1,0,1
species,1.0,1.0,1.0,1,1,0,1
freshwater,1.0,1.0,1.0,1,1,0,1
fishing,1.0,1.0,1.0,1,1,0,1
monterey,1.0,1.0,1.0,1,1,0,1
factory,1.0,1.0,1.0,1,1,0,1
kwazulu,1.0,1.0,1.0,1,1,0,1
run,1.0,1.0,1.0,1,1,0,1
slender,1.0,1.0,1.0,1,1,0,1
canneries,1.0,1.0,1.0,1,1,0,1
pelagic,1.0,1.0,1.0,1,1,0,1
tins,1.0,1.0,1.0,1,1,0,1
nemesis,1.0,1.0,1.0,1,1,0,1
taal,1.0,1.0,1.0,1,1,0,1
douarnenez,1.0,1.0,1.0,1,1,0,1
packing,1.0,1.0,1.0,1,1,0,1
scaled,1.0,1.0,1.0,1,1,0,1
natal,1.0,1.0,1.0,1,1,0,1
sardines,1.0,1.0,1.0,1,1,0,1
oil,1.0,1.0,1.0,1,1,0,1
factories,1.0,1.0,1.0,1,1,0,1
fisheries,1.0,1.0,1.0,1,1,0,1
clupeidae,1.0,1.0,1.0,1,1,0,1
murcia,1.0,1.0,1.0,1,1,0,1
nets,1.0,1.0,1.0,1,1,0,1
tonnes,1.0,1.0,1.0,1,1,0,1
qui,1.0,1.0,1.0,1,1,0,1
finned,1.0,1.0,1.0,1,1,0,1
marine,1.0,1.0,1.0,1,1,0,1
salmon,1.0,1.0,1.0,1,1,0,1
canned,1.0,1.0,1.0,1,1,0,1
corvette,1.0,1.0,1.0,1,1,0,1
cisco,1.0,1.0,1.0,1,1,0,1
pacific,1.0,1.0,1.0,1,1,0,1
barton,1.0,1.0,1.0,1,1,0,1
exports,1.0,1.0,1.0,1,1,0,1
carbons,1.0,1.0,1.0,1,1,0,1
crab,1.0,1.0,1.0,1,1,0,1
cod,1.0,1.0,1.0,1,1,0,1
spectacular,1.0,1.0,1.0,1,1,0,1
orbost,1.0,1.0,1.0,1,1,0,1
1796,1.0,1.0,1.0,1,1,0,1
squid,1.0,1.0,1.0,1,1,0,1
spawning,1.0,1.0,1.0,1,1,0,1
carnival,1.0,1.0,1.0,1,1,0,1
presence,1.0,1.0,1.0,1,1,0,1
seller,1.0,1.0,1.0,1,1,0,1
lake,1.0,1.0,1.0,1,1,0,1
burning,1.0,1.0,1.0,1,1,0,1
california,1.0,1.0,1.0,1,1,0,1
industry,1.0,1.0,1.0,1,1,0,1
bait,1.0,1.0,1.0,1,1,0,1
ray,1.0,1.0,1.0,1,1,0,1
sprat,1.0,1.0,1.0,1,1,0,1
annual,1.0,1.0,1.0,1,1,0,1
canyon,1.0,1.0,1.0,1,1,0,1
products,1.0,1.0,1.0,1,1,0,1
la,1.0,1.0,1.0,1,1,0,1
bream,1.0,1.0,1.0,1,1,0,1
ocean,1.0,1.0,1.0,1,1,0,1
genus,1.0,1.0,1.0,1,1,0,1
catch,1.0,1.0,1.0,1,1,0,1
marseille,1.0,1.0,1.0,1,1,0,1
collapse,1.0,1.0,1.0,1,1,0,1
port,1.0,1.0,1.0,1,1,0,1
world,1.0,1.0,1.0,1,1,0,1
migration,1.0,1.0,1.0,1,1,0,1
predators,1.0,1.0,1.0,1,1,0,1
from,1.0,1.0,1.0,1,1,0,1
useful,1.0,1.0,1.0,1,1,0,1
common,1.0,1.0,1.0,1,1,0,1
scam,1.0,1.0,1.0,1,1,0,1
tin,1.0,1.0,1.0,1,1,0,1
captured,1.0,1.0,1.0,1,1,0,1
joined,1.0,1.0,1.0,1,1,0,1
deep,1.0,1.0,1.0,1,1,0,1
sandwiches,1.0,1.0,1.0,1,1,0,1
coconut,1.0,1.0,1.0,1,1,0,1
spotted,1.0,1.0,1.0,1,1,0,1
funeral,1.0,1.0,1.0,1,1,0,1
collapsed,1.0,1.0,1.0,1,1,0,1
fishermen,1.0,1.0,1.0,1,1,0,1
also,1.0,1.0,1.0,1,1,0,1
whale,1.0,1.0,1.0,1,1,0,1
small,1.0,1.0,1.0,1,1,0,1
abundant,1.0,1.0,1.0,1,1,0,1
fleet,1.0,1.0,1.0,1,1,0,1
abundance,1.0,1.0,1.0,1,1,0,1
african,1.0,1.0,1.0,1,1,0,1
harbour,1.0,1.0,1.0,1,1,0,1
shoal,1.0,1.0,1.0,1,1,0,1
africa,1.0,1.0,1.0,1,1,0,1
shaped,1.0,1.0,1.0,1,1,0,1
eat,1.0,1.0,1.0,1,1,0,1
along,1.0,1.0,1.0,1,1,0,1
boat,1.0,1.0,1.0,1,1,0,1
duck,1.0,1.0,1.0,1,1,0,1
japanese,1.0,1.0,1.0,1,1,0,1
processing,1.0,1.0,1.0,1,1,0,1
indian,1.0,1.0,1.0,1,1,0,1
include,1.0,1.0,1.0,1,1,0,1
lungfish,1.0,1.0,1.0,1,1,0,1
which,1.0,1.0,1.0,1,1,0,1
rice,1.0,1.0,1.0,1,1,0,1
important,1.0,1.0,1.0,1,1,0,1
ports,1.0,1.0,1.0,1,1,0,1
area,1.0,1.0,1.0,1,1,0,1
ecological,1.0,1.0,1.0,1,1,0,1
eating,1.0,1.0,1.0,1,1,0,1
earth,1.0,1.0,1.0,1,1,0,1
locally,1.0,1.0,1.0,1,1,0,1
dust,1.0,1.0,1.0,1,1,0,1
rival,1.0,1.0,1.0,1,1,0,1
although,1.0,1.0,1.0,1,1,0,1
aluminium,1.0,1.0,1.0,1,1,0,1
returned,1.0,1.0,1.0,1,1,0,1
roe,1.0,1.0,1.0,1,1,0,1
allow,1.0,1.0,1.0,1,1,0,1
mackerels,1.0,1.0,1.0,1,1,0,1
malawi,1.0,1.0,1.0,1,1,0,1
anchovies,1.0,1.0,1.0,1,1,0,1
lime,1.0,1.0,1.0,1,1,0,1
alive,1.0,1.0,1.0,1,1,0,1
restaurant,1.0,1.0,1.0,1,1,0,1
machinations,1.0,1.0,1.0,1,1,0,1
price,1.0,1.0,1.0,1,1,0,1
primarily,1.0,1.0,1.0,1,1,0,1
dusky,1.0,1.0,1.0,1,1,0,1
de,1.0,1.0,1.0,1,1,0,1
internationally,1.0,1.0,1.0,1,1,0,1
used,1.0,1.0,1.0,1,1,0,1
prawn,1.0,1.0,1.0,1,1,0,1
wednesday,1.0,1.0,1.0,1,1,0,1
japan,1.0,1.0,1.0,1,1,0,1
milk,1.0,1.0,1.0,1,1,0,1
escorted,1.0,1.0,1.0,1,1,0,1
