context,p,r,f1,n_pos,total_pos,n_neg,total_neg
eating,1.0,1.0,1.0,4,4,0,1
eaten,1.0,1.0,1.0,4,4,0,1
corn,1.0,1.0,1.0,4,4,0,1
pie,1.0,1.0,1.0,4,4,0,1
fresh,1.0,1.0,1.0,4,4,0,1
used,1.0,1.0,1.0,4,4,0,1
potato,1.0,1.0,1.0,4,4,0,1
sweet,1.0,1.0,1.0,4,4,0,1
sometimes,1.0,1.0,1.0,4,4,0,1
mixture,1.0,1.0,1.0,4,4,0,1
tomato,1.0,1.0,1.0,4,4,0,1
largest,1.0,1.0,1.0,4,4,0,1
watermelon,1.0,1.0,1.0,4,4,0,1
cold,1.0,1.0,1.0,4,4,0,1
covered,1.0,1.0,1.0,4,4,0,1
type,1.0,1.0,1.0,4,4,0,1
flour,1.0,1.0,1.0,4,4,0,1
farmers,1.0,1.0,1.0,4,4,0,1
plant,1.0,1.0,1.0,4,4,0,1
sugar,1.0,1.0,1.0,4,4,0,1
means,1.0,1.0,1.0,4,4,0,1
north,1.0,1.0,1.0,4,4,0,1
less,1.0,1.0,1.0,4,4,0,1
source,1.0,1.0,1.0,4,4,0,1
honey,1.0,1.0,1.0,4,4,0,1
feeding,1.0,1.0,1.0,4,4,0,1
parts,1.0,1.0,1.0,4,4,0,1
locally,1.0,1.0,1.0,4,4,0,1
meaning,1.0,1.0,1.0,4,4,0,1
portuguese,1.0,1.0,1.0,4,4,0,1
located,1.0,1.0,1.0,4,4,0,1
france,1.0,1.0,1.0,4,4,0,1
requires,1.0,1.0,1.0,4,4,0,1
leaf,1.0,1.0,1.0,4,4,0,1
slightly,1.0,1.0,1.0,4,4,0,1
chicken,0.9,0.8,0.819047619047619,3,4,0,1
eggs,0.9,0.8,0.819047619047619,3,4,0,1
rice,0.9,0.8,0.819047619047619,3,4,0,1
ingredients,0.9,0.8,0.819047619047619,3,4,0,1
spicy,0.9,0.8,0.819047619047619,3,4,0,1
farm,0.9,0.8,0.819047619047619,3,4,0,1
boiled,0.9,0.8,0.819047619047619,3,4,0,1
vegetable,0.9,0.8,0.819047619047619,3,4,0,1
eat,0.9,0.8,0.819047619047619,3,4,0,1
farms,0.9,0.8,0.819047619047619,3,4,0,1
flavor,0.9,0.8,0.819047619047619,3,4,0,1
are,0.9,0.8,0.819047619047619,3,4,0,1
butter,0.9,0.8,0.819047619047619,3,4,0,1
potatoes,0.9,0.8,0.819047619047619,3,4,0,1
farming,0.9,0.8,0.819047619047619,3,4,0,1
feed,0.9,0.8,0.819047619047619,3,4,0,1
milk,0.9,0.8,0.819047619047619,3,4,0,1
beans,0.9,0.8,0.819047619047619,3,4,0,1
domesticated,0.9,0.8,0.819047619047619,3,4,0,1
products,0.9,0.8,0.819047619047619,3,4,0,1
taste,0.9,0.8,0.819047619047619,3,4,0,1
range,0.9,0.8,0.819047619047619,3,4,0,1
red,0.9,0.8,0.819047619047619,3,4,0,1
houses,0.9,0.8,0.819047619047619,3,4,0,1
product,0.9,0.8,0.819047619047619,3,4,0,1
varieties,0.9,0.8,0.819047619047619,3,4,0,1
lemon,0.9,0.8,0.819047619047619,3,4,0,1
beer,0.9,0.8,0.819047619047619,3,4,0,1
animated,0.9,0.8,0.819047619047619,3,4,0,1
skin,0.9,0.8,0.819047619047619,3,4,0,1
whole,0.9,0.8,0.819047619047619,3,4,0,1
cattle,0.9,0.8,0.819047619047619,3,4,0,1
variety,0.9,0.8,0.819047619047619,3,4,0,1
added,0.9,0.8,0.819047619047619,3,4,0,1
flavors,0.9,0.8,0.819047619047619,3,4,0,1
typically,0.9,0.8,0.819047619047619,3,4,0,1
commonly,0.9,0.8,0.819047619047619,3,4,0,1
large,0.9,0.8,0.819047619047619,3,4,0,1
filled,0.9,0.8,0.819047619047619,3,4,0,1
jam,0.9,0.8,0.819047619047619,3,4,0,1
dried,0.9,0.8,0.819047619047619,3,4,0,1
found,0.9,0.8,0.819047619047619,3,4,0,1
common,0.9,0.8,0.819047619047619,3,4,0,1
consumed,0.9,0.8,0.819047619047619,3,4,0,1
bred,0.9,0.8,0.819047619047619,3,4,0,1
wine,0.9,0.8,0.819047619047619,3,4,0,1
some,0.9,0.8,0.819047619047619,3,4,0,1
includes,0.9,0.8,0.819047619047619,3,4,0,1
use,0.9,0.8,0.819047619047619,3,4,0,1
yellow,0.9,0.8,0.819047619047619,3,4,0,1
flavored,0.9,0.8,0.819047619047619,3,4,0,1
contains,0.9,0.8,0.819047619047619,3,4,0,1
literally,0.9,0.8,0.819047619047619,3,4,0,1
small,0.9,0.8,0.819047619047619,3,4,0,1
traditional,0.9,0.8,0.819047619047619,3,4,0,1
specialty,0.9,0.8,0.819047619047619,3,4,0,1
flavoured,0.9,0.8,0.819047619047619,3,4,0,1
wheat,0.9,0.8,0.819047619047619,3,4,0,1
traditionally,0.9,0.8,0.819047619047619,3,4,0,1
grown,0.9,0.8,0.819047619047619,3,4,0,1
fruits,0.9,0.8,0.819047619047619,3,4,0,1
variations,0.9,0.8,0.819047619047619,3,4,0,1
china,0.9,0.8,0.819047619047619,3,4,0,1
breeding,0.9,0.8,0.819047619047619,3,4,0,1
commercial,0.9,0.8,0.819047619047619,3,4,0,1
specializes,0.9,0.8,0.819047619047619,3,4,0,1
oil,0.9,0.8,0.819047619047619,3,4,0,1
growing,0.9,0.8,0.819047619047619,3,4,0,1
french,0.9,0.8,0.819047619047619,3,4,0,1
sour,0.9,0.8,0.819047619047619,3,4,0,1
inside,0.9,0.8,0.819047619047619,3,4,0,1
variant,0.9,0.8,0.819047619047619,3,4,0,1
20th,0.9,0.8,0.819047619047619,3,4,0,1
festival,0.9,0.8,0.819047619047619,3,4,0,1
genome,0.9,0.8,0.819047619047619,3,4,0,1
resembles,0.9,0.8,0.819047619047619,3,4,0,1
produce,0.9,0.8,0.819047619047619,3,4,0,1
example,0.9,0.8,0.819047619047619,3,4,0,1
hybrid,0.9,0.8,0.819047619047619,3,4,0,1
juice,0.9,0.8,0.819047619047619,3,4,0,1
tomatoes,0.9,0.8,0.819047619047619,3,4,0,1
especially,0.9,0.8,0.819047619047619,3,4,0,1
flavour,0.9,0.8,0.819047619047619,3,4,0,1
mostly,0.9,0.8,0.819047619047619,3,4,0,1
sticks,0.9,0.8,0.819047619047619,3,4,0,1
formerly,0.9,0.8,0.819047619047619,3,4,0,1
banana,0.9,0.8,0.819047619047619,3,4,0,1
picking,0.9,0.8,0.819047619047619,3,4,0,1
