context,p,r,f1,n_pos,total_pos,n_neg,total_neg
yellow,0.8621817587090443,0.8461538461538461,0.8401056581416017,32,48,2,69
bird,0.8692307692307693,0.8461538461538461,0.8387612387612388,31,48,1,69
include,0.8053911900065746,0.8034188034188035,0.7992686022242672,32,48,7,69
nest,0.8461950034983744,0.811965811965812,0.7991253694118451,27,48,1,69
fish,0.8461950034983744,0.811965811965812,0.7991253694118451,27,48,1,69
birds,0.8005698005698005,0.7948717948717948,0.7884249084249084,30,48,6,69
green,0.8166224580017685,0.7948717948717948,0.7830374753451677,27,48,3,69
eggs,0.847808105872622,0.7948717948717948,0.7758784425451092,24,48,0,69
pacific,0.8297435897435897,0.7863247863247863,0.7679261377891515,24,48,1,69
warbler,0.8431533006001091,0.7863247863247863,0.7650920466957795,23,48,0,69
hawk,0.8129050436742744,0.7777777777777778,0.7600225225225226,24,48,2,69
duck,0.8190421973955739,0.7692307692307693,0.746299410431442,22,48,1,69
headed,0.7823599621352431,0.7606837606837606,0.7443413792514392,24,48,4,69
smaller,0.7585192585192585,0.7521367521367521,0.7413366106176563,26,48,7,69
black,0.7628734106603574,0.7521367521367521,0.7390604223597281,25,48,6,69
family,0.7471515019353431,0.7435897435897436,0.7335094302360028,26,48,8,69
billed,0.8297647369812319,0.7606837606837606,0.7315960675280307,20,48,0,69
winged,0.8297647369812319,0.7606837606837606,0.7315960675280307,20,48,0,69
dove,0.8297647369812319,0.7606837606837606,0.7315960675280307,20,48,0,69
rainbow,0.8297647369812319,0.7606837606837606,0.7315960675280307,20,48,0,69
waters,0.7841025641025642,0.7521367521367521,0.7307943198354158,22,48,3,69
atlantic,0.7949310941910387,0.7521367521367521,0.7275067741671042,21,48,2,69
freshwater,0.8084554334554334,0.7521367521367521,0.7239214891388805,20,48,1,69
little,0.7683854606931529,0.7435897435897436,0.7231029106029105,22,48,4,69
migratory,0.7775020678246485,0.7435897435897436,0.7198480531813866,21,48,3,69
raven,0.7888847994111152,0.7435897435897436,0.7162958992227286,20,48,2,69
genus,0.753656220322887,0.7350427350427351,0.7154458958232544,22,48,5,69
crab,0.8031720856463124,0.7435897435897436,0.7124243580657471,19,48,1,69
sea,0.7612820512820512,0.7350427350427351,0.712228410858548,21,48,4,69
eagle,0.7708199909865034,0.7350427350427351,0.7087141379027666,20,48,3,69
juvenile,0.7708199909865034,0.7350427350427351,0.7087141379027666,20,48,3,69
salmon,0.8212898212898213,0.7435897435897436,0.7082084582084581,18,48,0,69
common,0.7461256692025923,0.7264957264957265,0.7046431046431046,21,48,5,69
waterfowl,0.7540667218086572,0.7264957264957265,0.7011712567268125,20,48,4,69
uss,0.7540667218086572,0.7264957264957265,0.7011712567268125,20,48,4,69
trout,0.7978738053926023,0.7350427350427351,0.7007065089109955,18,48,1,69
reach,0.708808083010776,0.7094017094017094,0.6979773542674698,24,48,10,69
feathers,0.7640289535026377,0.7264957264957265,0.6973822925042437,19,48,3,69
crane,0.8171794871794872,0.7350427350427351,0.6961614322561068,17,48,0,69
crowned,0.8171794871794872,0.7350427350427351,0.6961614322561068,17,48,0,69
flies,0.8171794871794872,0.7350427350427351,0.6961614322561068,17,48,0,69
wood,0.7384615384615385,0.717948717948718,0.6936625018816799,20,48,5,69
feeds,0.7384615384615385,0.717948717948718,0.6936625018816799,20,48,5,69
related,0.7384615384615385,0.717948717948718,0.6936625018816799,20,48,5,69
owl,0.7467088877819683,0.717948717948718,0.6899215016384289,19,48,4,69
relatives,0.7185249207721117,0.7094017094017094,0.6895573890910334,21,48,7,69
bellied,0.7925407925407925,0.7264957264957265,0.6887556887556887,17,48,1,69
fly,0.7238658777120316,0.7094017094017094,0.6861832986832986,20,48,6,69
islands,0.7025987266047281,0.7008547008547008,0.6850729235376029,22,48,9,69
quail,0.8131505458238132,0.7264957264957265,0.6838612368024133,16,48,0,69
frequent,0.7306313757926661,0.7094017094017094,0.6824944602722381,19,48,5,69
ducks,0.7702635710154506,0.717948717948718,0.6813972514213823,17,48,2,69
olive,0.7702635710154506,0.717948717948718,0.6813972514213823,17,48,2,69
fishing,0.7391731075941602,0.7094017094017094,0.6784686857857589,18,48,4,69
name,0.6788297172912559,0.6837606837606838,0.6770842731433864,25,48,14,69
reed,0.7871493212669683,0.717948717948718,0.6765589440145654,16,48,1,69
closely,0.7156410256410257,0.7008547008547008,0.675096592904812,19,48,6,69
deep,0.7156410256410257,0.7008547008547008,0.675096592904812,19,48,6,69
goose,0.7499867829764737,0.7094017094017094,0.6740809391411801,17,48,3,69
eats,0.697246573651068,0.6923076923076923,0.6712960590375648,20,48,8,69
turtle,0.8092006033182505,0.717948717948718,0.6712936186620396,15,48,0,69
swan,0.7225977845774332,0.7008547008547008,0.6711288653740913,18,48,5,69
breeding,0.6807081807081806,0.6837606837606838,0.6699811928570099,22,48,11,69
tender,0.7637917637917637,0.7094017094017094,0.6693029193029193,16,48,2,69
fisheries,0.7637917637917637,0.7094017094017094,0.6693029193029193,16,48,2,69
commercially,0.7637917637917637,0.7094017094017094,0.6693029193029193,16,48,2,69
snake,0.7314178876678877,0.7008547008547008,0.6668017972365798,17,48,4,69
lakes,0.7314178876678877,0.7008547008547008,0.6668017972365798,17,48,4,69
darker,0.7314178876678877,0.7008547008547008,0.6668017972365798,17,48,4,69
native,0.6850333574471505,0.6837606837606838,0.6638796447713645,20,48,9,69
catch,0.707196029776675,0.6923076923076923,0.6638176638176637,18,48,6,69
egg,0.7426533366382989,0.7008547008547008,0.6620879939317692,16,48,3,69
willow,0.7426533366382989,0.7008547008547008,0.6620879939317692,16,48,3,69
refer,0.6716440422322776,0.6752136752136753,0.6596070596070597,21,48,11,69
grey,0.7143172616856828,0.6923076923076923,0.6595550790672743,17,48,5,69
bill,0.7143172616856828,0.6923076923076923,0.6595550790672743,17,48,5,69
red,0.7143172616856828,0.6923076923076923,0.6595550790672743,17,48,5,69
chain,0.805327358725417,0.7094017094017094,0.6584434570181007,14,48,0,69
laying,0.805327358725417,0.7094017094017094,0.6584434570181007,14,48,0,69
species,0.660472972972973,0.6666666666666666,0.6574022897749704,23,48,14,69
falcon,0.7571191553544495,0.7008547008547008,0.6569564557730239,15,48,2,69
virginia,0.7571191553544495,0.7008547008547008,0.6569564557730239,15,48,2,69
eastern,0.6928205128205128,0.6837606837606838,0.6565306839279442,18,48,7,69
