context,p,r,f1,n_pos,total_pos,n_neg,total_neg
player,1.0,1.0,1.0,4,4,0,3
players,1.0,1.0,1.0,4,4,0,3
chair,1.0,1.0,1.0,4,4,0,3
cape,1.0,1.0,1.0,4,4,0,3
remaining,1.0,1.0,1.0,4,4,0,3
martha,1.0,1.0,1.0,4,4,0,3
pan,1.0,1.0,1.0,4,4,0,3
sport,1.0,1.0,1.0,4,4,0,3
tea,1.0,1.0,1.0,4,4,0,3
filled,1.0,1.0,1.0,4,4,0,3
von,1.0,1.0,1.0,4,4,0,3
rice,1.0,1.0,1.0,4,4,0,3
join,1.0,1.0,1.0,4,4,0,3
write,1.0,1.0,1.0,4,4,0,3
invited,1.0,1.0,1.0,4,4,0,3
leaving,1.0,1.0,1.0,4,4,0,3
rainbow,1.0,1.0,1.0,4,4,0,3
speaker,1.0,1.0,1.0,4,4,0,3
representing,1.0,1.0,1.0,4,4,0,3
search,1.0,1.0,1.0,4,4,0,3
pro,1.0,1.0,1.0,4,4,0,3
served,1.0,1.0,1.0,4,4,0,3
evans,1.0,1.0,1.0,4,4,0,3
regional,1.0,1.0,1.0,4,4,0,3
martin,1.0,1.0,1.0,4,4,0,3
employed,1.0,1.0,1.0,4,4,0,3
ways,1.0,1.0,1.0,4,4,0,3
chance,1.0,1.0,1.0,4,4,0,3
daniels,1.0,1.0,1.0,4,4,0,3
bomb,1.0,1.0,1.0,4,4,0,3
skills,1.0,1.0,1.0,4,4,0,3
chamber,1.0,1.0,1.0,4,4,0,3
barry,1.0,1.0,1.0,4,4,0,3
insisted,1.0,1.0,1.0,4,4,0,3
jersey,1.0,1.0,1.0,4,4,0,3
murray,1.0,1.0,1.0,4,4,0,3
headed,1.0,1.0,1.0,4,4,0,3
controls,1.0,1.0,1.0,4,4,0,3
carter,1.0,1.0,1.0,4,4,0,3
teacher,1.0,1.0,1.0,4,4,0,3
monroe,1.0,1.0,1.0,4,4,0,3
industries,1.0,1.0,1.0,4,4,0,3
harry,1.0,1.0,1.0,4,4,0,3
opportunity,1.0,1.0,1.0,4,4,0,3
wayne,1.0,1.0,1.0,4,4,0,3
moore,1.0,1.0,1.0,4,4,0,3
sponsored,1.0,1.0,1.0,4,4,0,3
holmes,1.0,1.0,1.0,4,4,0,3
monitor,1.0,1.0,1.0,4,4,0,3
linda,1.0,1.0,1.0,4,4,0,3
mrs,1.0,1.0,1.0,4,4,0,3
professor,1.0,1.0,1.0,4,4,0,3
gordon,1.0,1.0,1.0,4,4,0,3
burns,1.0,1.0,1.0,4,4,0,3
fletcher,1.0,1.0,1.0,4,4,0,3
joseph,1.0,1.0,1.0,4,4,0,3
marshall,1.0,1.0,1.0,4,4,0,3
sunshine,1.0,1.0,1.0,4,4,0,3
sanders,1.0,1.0,1.0,4,4,0,3
francis,1.0,1.0,1.0,4,4,0,3
sue,1.0,1.0,1.0,4,4,0,3
adams,1.0,1.0,1.0,4,4,0,3
coffee,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
water,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
points,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
sitting,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
cards,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
play,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
games,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
note,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
each,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
sat,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
room,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
teams,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
urban,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
level,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
position,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
women,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
sits,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
chess,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
card,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
left,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
head,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
food,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
stored,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
sports,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
playing,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
put,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
then,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
bay,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
played,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
laid,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
cricket,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
index,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
individual,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
represents,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
provides,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
seat,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
keys,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
presented,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
virtual,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
indoor,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
dimensional,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
across,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
drop,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
standard,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
move,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
positions,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
center,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
rules,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
empty,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
leaders,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
dice,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
drawing,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
represent,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
differences,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
directly,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
minimum,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
boxing,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
frequencies,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
against,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
inter,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
addition,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
control,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
heading,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
blackpool,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
dollar,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
appropriate,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
arcade,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
get,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
beat,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
equipment,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
per,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
hat,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
cabinet,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
dealer,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
stack,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
did,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
zone,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
meetings,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
everyone,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
represented,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
boards,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
risk,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
fingers,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
managed,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
gaming,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
computer,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
lines,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
cooking,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
holding,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
looked,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
leeds,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
newcastle,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
stand,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
manager,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
allocated,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
board,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
environment,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
fish,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
secure,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
filter,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
constructing,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
representation,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
shake,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
accompanying,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
load,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
besides,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
voted,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
charge,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
require,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
stable,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
message,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
reserves,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
newly,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
whenever,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
picking,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
offer,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
ran,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
problem,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
gun,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
comfortable,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
cow,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
manage,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
expanded,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
oil,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
cheese,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
tony,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
breaks,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
complicated,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
riders,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
referee,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
portable,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
minutes,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
miniature,0.8928571428571429,0.8571428571428571,0.8571428571428571,3,4,0,3
