context,p,r,f1,n_pos,total_pos,n_neg,total_neg
grass,1.0,1.0,1.0,7,7,0,4
giant,1.0,1.0,1.0,7,7,0,4
native,1.0,1.0,1.0,7,7,0,4
consisting,1.0,1.0,1.0,7,7,0,4
black,1.0,1.0,1.0,7,7,0,4
birch,1.0,1.0,1.0,7,7,0,4
rich,1.0,1.0,1.0,7,7,0,4
mixed,1.0,1.0,1.0,7,7,0,4
especially,1.0,1.0,1.0,7,7,0,4
consist,1.0,1.0,1.0,7,7,0,4
typical,1.0,1.0,1.0,7,7,0,4
bamboo,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
wood,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
forest,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
species,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
deep,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
wooden,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
pine,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
dense,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
grow,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
tall,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
tea,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
natural,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
consists,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
lit,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
white,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
wind,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
feeds,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
feed,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
mixture,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
woodland,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
yellow,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
root,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
maple,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
ash,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
burning,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
sweet,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
sang,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
gray,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
rare,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
cedar,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
hook,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
produces,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
edge,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
dominant,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
pitch,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
contrast,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
reminiscent,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
massive,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
resemble,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
occasional,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
tends,0.9272727272727272,0.9090909090909091,0.9106449106449106,6,7,0,4
particularly,0.9204545454545454,0.9090909090909091,0.9056277056277057,7,7,1,4
strips,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
grove,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
trees,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
pole,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
organ,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
tree,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
grows,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
dried,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
piece,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
like,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
growing,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
theatre,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
planted,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
planting,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
thick,0.8787878787878788,0.8181818181818182,0.8212121212121212,5,7,0,4
